Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
755,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
814,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
879,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
947,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.29,3.42,0.70,0.00,0.68,0.00
1006,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1074,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1140,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1204,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1261,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1331,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1394,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1458,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1522,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1586,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.29,3.42,0.70,0.00,0.68,0.00
1652,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1711,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1776,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1835,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1899,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
1971,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2032,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2094,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2156,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2227,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2291,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2355,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2419,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2476,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
2547,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
4559,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
5172,0.00,0.00,16,14.70,138,0.15,1092,14.10,13.00,5.37,-9.38,5.27,1.42,0.00,0.64,0.00
5236,0.00,0.00,16,14.70,138,0.14,1096,14.10,13.00,5.37,-9.44,5.27,1.42,0.00,0.64,0.00
5294,0.00,0.00,16,14.70,138,0.15,1085,14.10,14.00,5.22,-9.44,5.33,1.42,0.00,0.64,0.00
5366,0.00,0.00,16,14.70,138,0.15,1089,14.10,14.00,5.22,-9.46,5.40,1.44,0.00,0.64,0.00
5425,0.00,0.00,16,14.70,138,0.15,1092,14.10,13.50,5.22,-9.44,5.43,1.44,0.00,0.64,0.00
5492,0.00,0.00,16,14.70,138,0.15,1102,14.10,13.50,5.22,-9.48,5.46,1.44,0.00,0.64,0.00
5556,0.00,0.00,16,14.70,138,0.15,1094,14.10,12.50,5.22,-9.44,5.40,1.44,0.00,0.64,0.00
5620,0.00,0.00,16,14.70,138,0.15,1094,14.10,13.50,5.22,-9.48,5.43,1.44,0.00,0.64,0.00
5684,0.00,0.00,16,14.70,138,0.15,1094,14.10,13.50,5.22,-9.48,5.46,1.44,0.00,0.64,0.00
5748,0.00,0.00,16,14.70,138,0.15,1084,14.10,13.50,5.22,-9.46,5.46,1.44,0.00,0.64,0.00
5810,0.00,0.00,16,14.70,138,0.15,1075,14.10,14.50,5.22,-9.46,5.46,1.44,0.00,0.64,0.00
5874,0.00,0.00,16,14.70,138,0.15,1091,14.10,15.50,5.22,-9.44,5.52,1.44,0.00,0.64,0.00
5938,0.00,0.00,16,14.70,138,0.15,1098,14.10,13.50,5.22,-9.44,5.49,1.44,0.00,0.64,0.00
6004,0.00,0.00,16,14.70,138,0.15,1094,14.10,13.00,5.22,-9.44,5.52,1.44,0.00,0.64,0.00
6068,0.00,0.00,16,14.70,138,0.15,1093,14.10,13.00,5.22,-9.46,5.46,1.44,0.00,0.64,0.00
6132,0.00,0.00,16,14.70,138,0.15,1092,14.10,13.50,5.22,-9.48,5.40,1.44,0.00,0.64,0.00
6196,0.00,0.00,16,14.70,138,0.15,1102,14.10,14.00,5.22,-9.48,5.46,1.44,0.00,0.64,0.00
6260,0.00,0.00,16,14.70,138,0.15,1105,14.10,12.50,5.22,-9.51,5.46,1.44,0.00,0.64,0.00
6325,0.00,0.00,16,14.70,138,0.15,1094,14.10,12.50,5.22,-9.49,5.40,1.42,0.00,0.64,0.00
6383,0.00,0.00,16,14.70,138,0.15,1097,14.10,14.00,5.22,-9.53,5.40,1.44,0.00,0.64,0.00
6447,0.00,0.00,16,14.70,138,0.15,1094,14.10,13.50,5.22,-9.55,5.33,1.42,0.00,0.64,0.00
6516,0.00,0.00,16,14.70,138,0.15,1103,14.10,14.00,5.22,-9.57,5.33,1.42,0.00,0.64,0.00
6604,0.00,0.00,16,14.70,138,0.15,1101,14.10,13.00,5.08,-9.57,5.30,1.42,0.00,0.64,0.00
6644,0.00,0.00,16,14.70,138,0.15,1087,14.10,13.00,5.08,-9.57,5.33,1.44,0.00,0.64,0.00
6708,0.00,0.00,16,14.70,138,0.15,1090,14.10,14.50,5.08,-9.61,5.33,1.42,0.00,0.64,0.00
6772,0.00,0.00,16,14.70,138,0.15,1088,14.10,14.00,5.08,-9.59,5.33,1.42,0.00,0.64,0.00
6830,0.00,0.00,16,14.70,138,0.15,1088,14.10,14.50,5.08,-9.59,5.30,1.44,0.00,0.64,0.00
6893,0.00,0.00,16,14.70,138,0.15,1092,14.10,14.00,5.08,-9.59,5.33,1.42,0.00,0.64,0.00
6958,0.00,0.00,16,14.70,138,0.15,1093,14.10,14.00,5.08,-9.59,5.33,1.44,0.00,0.64,0.00
7025,0.00,0.00,16,14.70,138,0.15,1090,14.10,13.00,5.08,-9.63,5.30,1.42,0.00,0.64,0.00
7089,0.00,0.00,16,14.70,138,0.14,1094,14.10,13.50,5.08,-9.63,5.30,1.42,0.00,0.64,0.00
7153,0.00,0.00,16,14.70,138,0.15,1087,14.10,14.50,5.08,-9.63,5.27,1.42,0.00,0.64,0.00
7215,0.00,0.00,16,14.70,138,0.14,1092,14.10,14.00,5.08,-9.65,5.27,1.42,0.00,0.64,0.00
7282,0.00,0.00,16,14.70,138,0.14,1095,14.10,13.50,5.08,-9.63,5.27,1.42,0.00,0.64,0.00
7342,0.00,0.00,16,14.70,138,0.14,1092,14.10,13.00,5.08,-9.65,5.27,1.42,0.00,0.64,0.00
7410,0.00,0.00,16,14.70,138,0.15,1085,14.10,14.50,5.08,-9.63,5.30,1.42,0.00,0.64,0.00
7467,0.00,0.00,16,14.70,138,0.15,1083,14.10,14.50,5.08,-9.63,5.33,1.44,0.00,0.64,0.00
7538,0.00,0.00,16,14.70,138,0.15,1097,14.10,13.00,5.08,-9.61,5.40,1.42,0.00,0.64,0.00
7595,0.00,0.00,16,14.70,138,0.15,1093,14.10,13.50,5.08,-9.59,5.40,1.44,0.00,0.64,0.00
7662,0.00,0.00,16,14.70,138,0.15,1098,14.10,13.00,5.08,-9.57,5.40,1.42,0.00,0.64,0.00
7726,0.00,0.00,16,14.70,138,0.15,1092,14.10,14.00,5.08,-9.57,5.40,1.44,0.00,0.64,0.00
7794,0.00,0.00,16,14.70,138,0.15,1096,14.10,13.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
7853,0.00,0.00,16,14.70,138,0.15,1106,14.10,12.50,5.08,-9.55,5.46,1.42,0.00,0.64,0.00
7919,0.00,0.00,16,14.70,138,0.15,1105,14.10,12.50,5.08,-9.57,5.40,1.44,0.00,0.64,0.00
7979,0.00,0.00,16,14.70,138,0.15,1104,14.10,12.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
8046,0.00,0.00,16,14.70,138,0.15,1100,14.10,13.00,5.08,-9.57,5.43,1.44,0.00,0.64,0.00
8107,0.00,0.00,16,14.70,138,0.15,1098,14.10,13.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
8171,0.00,0.00,16,14.70,138,0.15,1107,14.10,13.50,5.08,-9.55,5.43,1.44,0.00,0.64,0.00
8239,0.00,0.00,16,14.70,138,0.15,1097,14.10,12.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
8297,0.00,0.00,16,14.70,138,0.15,1103,14.10,14.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
8361,0.00,0.00,16,14.70,138,0.15,1098,14.10,13.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
8430,0.00,0.00,16,14.70,138,0.15,1098,14.10,13.50,5.22,-9.55,5.46,1.44,0.00,0.64,0.00
8493,0.00,0.00,16,14.70,138,0.15,1115,14.10,13.50,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
8557,0.00,0.00,16,14.70,138,0.15,1114,14.10,12.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
8624,0.00,0.00,16,14.70,138,0.15,1096,14.10,12.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
8688,0.00,0.00,16,14.70,138,0.15,1093,14.10,13.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
8748,0.00,0.00,16,14.70,138,0.15,1091,14.10,14.50,5.22,-9.53,5.46,1.44,0.00,0.64,0.00
8814,0.00,0.00,16,14.70,138,0.15,1113,14.10,14.50,5.08,-9.53,5.52,1.44,0.00,0.64,0.00
8873,0.00,0.00,16,14.70,138,0.15,1112,14.10,12.00,5.22,-9.55,5.52,1.44,0.00,0.64,0.00
8941,0.00,0.00,16,14.70,138,0.15,1097,14.10,12.50,5.22,-9.53,5.52,1.44,0.00,0.64,0.00
9006,0.00,0.00,16,14.70,138,0.15,1100,14.10,13.00,5.22,-9.55,5.46,1.44,0.00,0.64,0.00
9067,0.00,0.00,16,14.70,138,0.15,1106,14.10,14.00,5.08,-9.57,5.43,1.44,0.00,0.64,0.00
9149,0.00,0.00,16,14.70,138,0.15,1112,14.10,13.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
9197,0.00,0.00,16,14.70,138,0.15,1116,14.10,13.00,5.08,-9.57,5.43,1.44,0.00,0.64,0.00
9257,0.00,0.00,16,14.70,138,0.15,1107,14.10,12.50,5.08,-9.57,5.43,1.44,0.00,0.64,0.00
9321,0.00,0.00,16,14.70,138,0.15,1109,14.10,13.50,5.08,-9.57,5.43,1.42,0.00,0.64,0.00
9388,0.00,0.00,16,14.70,138,0.15,1109,14.10,13.00,5.08,-9.57,5.40,1.44,0.00,0.64,0.00
9452,0.00,0.00,16,14.70,138,0.15,1114,14.10,14.00,5.08,-9.59,5.40,1.44,0.00,0.64,0.00
9510,0.00,0.00,16,14.70,138,0.15,1111,14.10,13.00,5.08,-9.61,5.40,1.44,0.00,0.64,0.00
9574,0.00,0.00,16,14.70,138,0.15,1114,14.10,13.00,5.08,-9.57,5.43,1.44,0.00,0.64,0.00
9638,0.00,0.00,16,14.70,138,0.15,1110,14.10,13.00,5.08,-9.61,5.43,1.44,0.00,0.64,0.00
9710,0.00,0.00,16,14.70,138,0.14,1113,14.10,13.00,5.08,-9.61,5.40,1.44,0.00,0.64,0.00
9770,0.00,0.00,16,14.70,138,0.14,1124,14.10,12.00,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
9832,0.00,0.00,16,14.70,138,0.15,1113,14.10,13.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
9899,0.00,0.00,16,14.70,138,0.15,1108,14.10,13.50,5.08,-9.59,5.40,1.44,0.00,0.64,0.00
9959,0.00,0.00,16,14.70,138,0.15,1112,14.10,13.50,5.08,-9.63,5.43,1.44,0.00,0.64,0.00
10025,0.00,0.00,16,14.70,138,0.14,1117,14.10,13.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
10091,0.00,0.00,16,14.70,138,0.15,1116,14.10,13.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
10155,0.00,0.00,16,14.70,138,0.15,1116,14.10,13.00,5.08,-9.63,5.43,1.44,0.00,0.64,0.00
10219,0.00,0.00,16,14.70,138,0.15,1097,14.10,15.50,5.08,-9.59,5.40,1.42,0.00,0.64,0.00
10283,0.00,0.00,16,14.70,138,0.15,1064,14.10,18.50,5.08,-9.59,5.40,1.44,0.00,0.64,0.00
12311,0.00,0.00,16,14.70,138,0.15,1064,14.10,18.50,5.08,-9.59,5.40,1.44,0.00,0.64,0.00
12908,0.00,0.00,16,14.70,138,0.15,1114,14.10,13.50,5.08,-9.61,5.46,1.44,0.00,0.64,0.00
12971,0.00,0.00,16,14.70,138,0.15,1119,14.10,13.00,5.08,-9.63,5.46,1.44,0.00,0.64,0.00
13036,0.00,0.00,16,14.70,138,0.15,1117,14.10,13.00,5.08,-9.63,5.46,1.44,0.00,0.64,0.00
13094,0.00,0.00,16,14.70,138,0.15,1112,14.10,14.00,5.08,-9.63,5.46,1.44,0.00,0.64,0.00
13158,0.00,0.00,16,14.70,138,0.14,1122,14.10,13.50,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
13225,0.00,0.00,16,14.70,138,0.14,1124,14.10,12.50,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
13289,0.00,0.00,16,14.70,138,0.14,1127,14.10,12.50,5.08,-9.63,5.43,1.44,0.00,0.64,0.00
13353,0.00,0.00,16,14.70,138,0.14,1123,14.10,12.50,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
13416,0.00,0.00,16,14.70,138,0.15,1113,14.10,13.00,5.08,-9.67,5.40,1.44,0.00,0.64,0.00
13480,0.00,0.00,16,14.70,138,0.14,1112,14.10,14.00,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
13543,0.00,0.00,16,14.70,138,0.15,1106,14.10,14.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
13614,0.00,0.00,16,14.70,138,0.15,1094,14.10,14.50,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
13670,0.00,0.00,16,14.70,138,0.15,1106,14.10,16.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
13734,0.00,0.00,16,14.70,138,0.15,1103,14.10,14.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
13798,0.00,0.00,16,14.70,138,0.15,1112,14.10,15.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
13870,0.00,0.00,16,14.70,138,0.15,1110,14.10,14.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
13926,0.00,0.00,16,14.70,138,0.14,1102,14.10,14.00,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
13990,0.00,0.00,16,14.70,138,0.15,1109,14.10,14.50,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
14058,0.00,0.00,16,14.70,138,0.15,1118,14.10,14.00,5.08,-9.65,5.33,1.42,0.00,0.64,0.00
14122,0.00,0.00,16,14.70,138,0.14,1113,14.10,14.00,5.08,-9.63,5.30,1.42,0.00,0.64,0.00
14180,0.00,0.00,16,14.70,138,0.14,1111,14.10,13.50,5.08,-9.67,5.33,1.42,0.00,0.64,0.00
14252,0.00,0.00,16,14.70,138,0.14,1096,14.10,14.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
14308,0.00,0.00,16,14.70,138,0.15,1102,14.10,15.50,5.08,-9.65,5.40,1.44,0.00,0.64,0.00
14375,0.00,0.00,16,14.70,138,0.15,1115,14.10,14.50,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
14439,0.00,0.00,16,14.70,138,0.15,1117,14.10,13.00,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
14503,0.00,0.00,16,14.70,138,0.15,1106,14.10,13.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
14567,0.00,0.00,16,14.70,138,0.15,1090,14.10,14.00,5.08,-9.63,5.36,1.42,0.00,0.64,0.00
14631,0.00,0.00,16,14.70,138,0.15,1100,14.10,15.50,5.08,-9.63,5.33,1.42,0.00,0.64,0.00
14695,0.00,0.00,16,14.70,138,0.15,1115,14.10,14.50,5.08,-9.61,5.40,1.44,0.00,0.64,0.00
14759,0.00,0.00,16,14.70,138,0.15,1115,14.10,13.00,5.08,-9.61,5.40,1.44,0.00,0.64,0.00
14823,0.00,0.00,16,14.70,138,0.15,1111,14.10,13.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
14887,0.00,0.00,16,14.70,138,0.15,1106,14.10,13.00,5.08,-9.61,5.40,1.42,0.00,0.64,0.00
14949,0.00,0.00,16,14.70,138,0.15,1102,14.10,14.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
15015,0.00,0.00,16,14.70,138,0.15,1107,14.10,14.00,5.08,-9.63,5.43,1.44,0.00,0.64,0.00
15079,0.00,0.00,16,14.70,138,0.15,1117,14.10,12.50,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
15143,0.00,0.00,16,14.70,138,0.15,1120,14.10,12.50,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
15207,0.00,0.00,16,14.70,138,0.15,1096,14.10,15.00,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
15268,0.00,0.00,16,14.70,138,0.15,1095,14.10,15.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
15332,0.00,0.00,16,14.70,138,0.15,1104,14.10,14.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
15395,0.00,0.00,16,14.70,138,0.15,1116,14.10,12.50,5.08,-9.63,5.36,1.44,0.00,0.64,0.00
15460,0.00,0.00,16,14.70,138,0.15,1112,14.10,13.00,5.08,-9.65,5.33,1.44,0.00,0.64,0.00
15524,0.00,0.00,16,14.70,138,0.15,1094,14.10,15.00,5.08,-9.63,5.33,1.42,0.00,0.64,0.00
15591,0.00,0.00,16,14.70,138,0.15,1093,14.10,15.00,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
15655,0.00,0.00,16,14.70,138,0.15,1100,14.10,14.00,5.08,-9.63,5.40,1.42,0.00,0.64,0.00
15716,0.00,0.00,16,14.70,138,0.14,1104,14.10,14.00,5.08,-9.63,5.33,1.44,0.00,0.64,0.00
15780,0.00,0.00,16,14.70,138,0.15,1105,14.10,13.50,5.08,-9.63,5.40,1.44,0.00,0.64,0.00
15844,0.00,0.00,16,14.70,138,0.15,1098,14.10,14.00,5.08,-9.61,5.33,1.42,0.00,0.64,0.00
15914,0.00,0.00,16,14.70,138,0.15,1093,14.10,14.00,5.08,-9.63,5.33,1.44,0.00,0.64,0.00
15970,0.00,0.00,16,14.59,138,0.15,1098,14.10,15.00,5.08,-9.61,5.40,1.44,0.00,0.64,0.00
16034,0.00,0.00,16,14.59,138,0.15,1100,14.10,15.00,5.08,-9.61,5.40,1.44,0.00,0.64,0.00
16098,0.00,0.00,16,14.59,138,0.15,1106,14.10,14.00,5.08,-9.57,5.40,1.44,0.00,0.64,0.00
16166,0.00,0.00,16,14.59,138,0.15,1090,14.10,13.00,5.08,-9.59,5.43,1.44,0.00,0.64,0.00
16229,0.00,0.00,16,14.59,138,0.15,1090,14.10,15.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
16293,0.00,0.00,16,14.59,138,0.15,1093,14.10,15.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
16357,0.00,0.00,16,14.59,138,0.15,1099,14.10,14.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
16421,0.00,0.00,16,14.59,138,0.15,1102,14.10,14.00,5.08,-9.53,5.49,1.44,0.00,0.64,0.00
16485,0.00,0.00,16,14.59,138,0.15,1101,14.10,13.50,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
16549,0.00,0.00,16,14.59,138,0.15,1106,14.10,13.50,5.22,-9.55,5.46,1.44,0.00,0.64,0.00
16613,0.00,0.00,16,14.59,138,0.15,1122,14.10,13.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
16677,0.00,0.00,16,14.59,138,0.15,1120,14.10,12.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
16741,0.00,0.00,16,14.59,138,0.15,1104,14.10,11.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
16805,0.00,0.00,16,14.59,138,0.15,1105,14.10,13.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
16869,0.00,0.00,16,14.59,138,0.15,1105,14.10,13.50,5.08,-9.57,5.52,1.44,0.00,0.64,0.00
16933,0.00,0.00,16,14.59,138,0.15,1107,14.10,13.50,5.08,-9.57,5.52,1.44,0.00,0.64,0.00
16997,0.00,0.00,16,14.59,138,0.15,1114,14.10,13.50,5.08,-9.57,5.43,1.42,0.00,0.64,0.00
17062,0.00,0.00,16,14.59,138,0.15,1108,14.10,13.00,5.08,-9.55,5.40,1.44,0.00,0.64,0.00
17121,0.00,0.00,16,14.59,138,0.15,1101,14.10,13.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
17183,0.00,0.00,16,14.59,138,0.15,1100,14.10,14.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
17255,0.00,0.00,16,14.59,138,0.15,1108,14.10,14.00,5.22,-9.55,5.46,1.44,0.00,0.64,0.00
17319,0.00,0.00,16,14.59,138,0.15,1108,14.10,13.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
17383,0.00,0.00,16,14.59,138,0.15,1105,14.10,14.00,5.08,-9.53,5.46,1.44,0.00,0.64,0.00
17455,0.00,0.00,16,14.47,138,0.15,1093,14.10,14.00,5.22,-9.55,5.46,1.44,0.00,0.64,0.00
17503,0.00,0.00,16,14.47,138,0.15,1101,14.10,14.00,5.08,-9.53,5.52,1.44,0.00,0.64,0.00
21759,0.00,0.00,16,14.70,138,0.15,1107,14.10,15.00,5.22,-9.55,5.52,1.44,0.00,0.64,0.00
21823,0.00,0.00,16,14.70,138,0.15,1116,14.10,14.00,5.08,-9.55,5.52,1.44,0.00,0.64,0.00
21887,0.00,0.00,16,14.70,138,0.14,1138,14.10,11.50,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
21951,0.00,0.00,16,14.70,138,0.15,1140,14.10,11.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22015,0.00,0.00,16,14.70,136,0.15,1129,14.10,13.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22072,0.00,0.00,16,14.70,136,0.15,1118,14.10,14.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22144,0.00,0.00,16,14.70,136,0.15,1118,14.10,14.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22208,0.00,0.00,16,14.70,136,0.15,1122,14.10,13.50,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
22264,0.00,0.00,16,14.70,136,0.15,1116,14.10,13.00,5.08,-9.57,5.43,1.44,0.00,0.64,0.00
22328,0.00,0.00,16,14.70,136,0.15,1122,14.10,13.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22400,0.00,0.00,16,14.70,136,0.15,1117,14.10,14.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22456,0.00,0.00,16,14.70,136,0.15,1125,14.10,14.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
22520,0.00,0.00,16,14.70,136,0.14,1132,14.10,13.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22584,0.00,0.00,16,14.70,136,0.15,1120,14.10,12.50,5.08,-9.57,5.43,1.44,0.00,0.64,0.00
22652,0.00,0.00,16,14.70,136,0.15,1124,14.10,14.00,5.08,-9.55,5.46,1.44,0.00,0.64,0.00
22718,0.00,0.00,16,14.70,136,0.15,1130,14.10,13.50,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
22782,0.00,0.00,16,14.81,136,0.15,1122,14.10,13.00,5.08,-9.57,5.46,1.44,0.00,0.64,0.00
