Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F)
17534,14.58,0.13,1220,0.00,0.00,16,10.59,10.00,5.33,-1.39,0.64,199
17721,14.58,0.13,1222,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,199
17893,14.53,0.13,1216,0.00,0.00,16,10.59,10.50,5.36,-1.39,0.64,199
18081,14.56,0.13,1220,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,199
18268,14.65,0.13,1226,0.00,0.00,16,10.59,8.50,5.40,-1.39,0.64,199
18440,14.58,0.13,1224,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,199
18627,14.58,0.13,1230,0.00,0.00,16,10.59,9.50,5.52,-1.39,0.64,199
18815,14.58,0.13,1234,0.00,0.00,16,10.59,8.50,5.46,-1.39,0.64,199
18987,14.49,0.13,1233,0.00,0.00,16,10.59,10.00,5.52,-1.39,0.64,201
19174,14.54,0.14,1234,0.00,0.00,16,10.59,10.00,5.55,-1.39,0.64,199
19361,14.69,0.13,1232,0.00,0.00,16,10.59,9.50,5.55,-1.39,0.64,199
19533,14.65,0.13,1226,0.00,0.00,16,10.59,10.50,5.52,-1.39,0.64,201
19721,14.67,0.13,1233,0.00,0.00,16,10.59,9.50,5.43,-1.39,0.64,201
19908,14.77,0.13,1220,0.00,0.00,16,10.59,11.00,5.52,-1.39,0.64,201
20095,14.81,0.13,1226,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,201
20267,14.77,0.13,1229,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,201
20455,14.65,0.13,1231,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,201
20642,14.72,0.13,1232,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,201
20830,14.72,0.13,1232,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,201
21002,14.82,0.13,1243,0.00,0.00,16,10.59,9.00,5.46,-1.39,0.64,201
21189,14.79,0.13,1222,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,201
21377,14.79,0.13,1230,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,201
21549,14.69,0.13,1227,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,201
21736,14.63,0.13,1232,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,201
21924,14.49,0.13,1227,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,201
22096,14.53,0.13,1236,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,201
22283,14.75,0.13,1234,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,201
22471,14.73,0.13,1227,0.00,0.00,16,10.59,11.50,5.46,-1.39,0.64,201
22643,14.79,0.13,1231,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,201
22830,14.72,0.14,1226,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,201
23018,14.67,0.13,1231,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,201
23205,14.62,0.13,1227,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,201
23377,14.56,0.13,1238,0.00,0.00,16,10.59,10.50,5.49,-1.39,0.64,201
23564,14.64,0.13,1238,0.00,0.00,16,10.59,10.50,5.49,-1.39,0.64,201
23752,14.72,0.14,1216,0.00,0.00,16,10.59,11.00,5.52,-1.39,0.64,201
23924,14.77,0.13,1225,0.00,0.00,16,10.59,10.50,5.52,-1.39,0.64,201
24111,14.77,0.13,1223,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,201
24299,14.67,0.13,1227,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,201
24471,14.70,0.14,1216,0.00,0.00,16,10.59,10.50,5.49,-1.39,0.64,201
24658,14.67,0.13,1230,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,201
24845,14.74,0.13,1222,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,201
25017,14.72,0.14,1212,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,201
25205,14.75,0.13,1228,0.00,0.00,16,10.59,9.00,5.43,-1.39,0.64,201
25392,14.72,0.13,1232,0.00,0.00,16,10.59,9.50,5.49,-1.39,0.64,201
25564,14.69,0.13,1236,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,201
25752,14.63,0.14,1230,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,201
25939,14.63,0.13,1235,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,201
26127,14.56,0.13,1225,0.00,0.00,16,10.59,11.50,5.46,-1.39,0.64,201
26314,14.67,0.13,1230,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,201
26486,14.68,0.13,1230,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,201
26675,14.72,0.13,1226,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,201
26847,14.70,0.13,1230,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,201
27034,14.74,0.13,1226,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
27222,14.84,0.13,1224,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,201
27394,14.84,0.13,1221,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,201
27581,14.79,0.13,1220,0.00,0.00,16,10.59,9.50,5.43,-1.39,0.64,203
27753,14.79,0.13,1226,0.00,0.00,16,10.59,10.00,5.43,-1.39,0.64,203
27941,14.76,0.13,1227,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,203
28128,14.72,0.13,1218,0.00,0.00,16,10.59,11.00,5.43,-1.39,0.64,203
28316,14.74,0.13,1228,0.00,0.00,16,10.59,10.00,5.36,-1.39,0.64,203
28488,14.72,0.13,1212,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,203
28675,14.77,0.13,1222,0.00,0.00,16,10.59,10.00,5.43,-1.39,0.64,203
28862,14.84,0.13,1227,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,203
29050,14.74,0.13,1230,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,203
29222,14.74,0.13,1231,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,203
29413,14.65,0.13,1221,0.00,0.00,16,10.59,11.00,5.46,-1.39,0.64,203
29600,14.70,0.13,1222,0.00,0.00,16,10.59,10.00,5.40,-1.39,0.64,203
29772,14.72,0.14,1226,0.00,0.00,16,10.59,11.00,5.49,-1.39,0.64,203
29964,14.68,0.13,1236,0.00,0.00,16,10.59,10.50,5.52,-1.39,0.64,203
30136,14.69,0.13,1243,0.00,0.00,16,10.59,8.00,5.46,-1.39,0.64,203
30323,14.55,0.13,1238,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,203
30511,14.54,0.13,1239,0.00,0.00,16,10.59,10.50,5.52,-1.39,0.64,203
30683,14.67,0.13,1227,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,203
30886,14.72,0.13,1227,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,203
31058,14.74,0.13,1219,0.00,0.00,16,10.59,11.00,5.46,-1.39,0.64,203
31229,14.76,0.13,1232,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,203
31417,14.72,0.13,1224,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,203
31604,14.69,0.13,1227,0.00,0.00,16,10.59,10.50,5.49,-1.39,0.64,203
31792,14.74,0.13,1227,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
31964,14.70,0.13,1220,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
32152,14.67,0.13,1224,0.00,0.00,16,10.59,9.00,5.46,-1.39,0.64,203
32339,14.67,0.13,1244,0.00,0.00,16,10.59,8.50,5.40,-1.39,0.64,203
32511,14.74,0.13,1248,0.00,0.00,16,10.59,8.50,5.36,-1.39,0.64,203
32698,14.81,0.13,1216,0.00,0.00,16,10.59,11.00,5.43,-1.39,0.64,203
32886,14.82,0.13,1219,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,203
33058,14.81,0.13,1230,0.00,0.00,16,10.59,10.00,5.40,-1.39,0.64,203
33245,14.74,0.13,1230,0.00,0.00,16,10.59,10.00,5.40,-1.39,0.64,203
33433,14.68,0.13,1226,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
33605,14.72,0.13,1236,0.00,0.00,16,10.59,10.00,5.40,-1.39,0.64,203
33792,14.72,0.13,1226,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,203
33979,14.72,0.13,1242,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,203
34167,14.68,0.13,1232,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,203
34354,14.60,0.13,1234,0.00,0.00,16,10.59,9.50,5.43,-1.39,0.64,203
34526,14.58,0.13,1231,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,203
34714,14.53,0.13,1244,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
34901,14.70,0.13,1223,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
35077,14.77,0.13,1221,0.00,0.00,16,10.59,11.00,5.46,-1.39,0.64,203
35264,14.77,0.13,1224,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
35452,14.72,0.13,1231,0.00,0.00,16,10.59,10.00,5.46,-1.39,0.64,203
35624,14.67,0.13,1226,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,203
35811,14.67,0.13,1238,0.00,0.00,16,10.59,9.50,5.43,-1.39,0.64,203
35998,14.65,0.13,1224,0.00,0.00,16,10.59,11.50,5.40,-1.39,0.64,205
36170,14.51,0.13,1227,0.00,0.00,16,10.59,10.50,5.46,-1.39,0.64,205
36358,14.56,0.13,1226,0.00,0.00,16,10.59,10.00,5.43,-1.39,0.64,205
36545,14.70,0.13,1221,0.00,0.00,16,10.59,10.00,5.43,-1.39,0.64,205
36717,14.72,0.13,1240,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,205
36905,14.67,0.13,1223,0.00,0.00,16,10.59,10.00,5.36,-1.39,0.64,205
37077,14.65,0.13,1221,0.00,0.00,16,10.59,11.00,5.36,-1.39,0.64,205
37264,14.84,0.13,1229,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,205
37452,14.87,0.13,1231,0.00,0.00,16,10.59,10.00,5.40,-1.39,0.64,205
37623,14.77,0.13,1222,0.00,0.00,16,10.59,10.50,5.40,-1.39,0.64,205
37811,14.81,0.13,1232,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,205
37998,14.75,0.13,1224,0.00,0.00,16,10.59,11.00,5.40,-1.39,0.64,205
38186,14.75,0.13,1229,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,205
38358,14.79,0.13,1224,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,205
38545,14.74,0.13,1216,0.00,0.00,16,10.59,11.00,5.33,-1.39,0.64,205
38733,14.85,0.13,1207,0.00,0.00,16,10.59,12.50,5.46,-1.39,0.64,205
38909,14.90,0.13,1227,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,205
39097,14.90,0.13,1234,0.00,0.00,16,10.59,10.00,5.43,-1.39,0.64,205
39268,15.00,0.13,1226,0.00,0.00,16,10.59,10.50,5.43,-1.39,0.64,205
39456,15.09,0.13,1236,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,205
39643,15.11,0.13,1240,0.00,0.00,16,10.59,9.50,5.43,-1.39,0.64,205
39820,14.90,0.13,1239,0.00,0.00,16,10.59,10.00,5.36,-1.39,0.64,205
40007,14.85,0.15,1246,0.00,0.00,16,10.59,9.00,5.72,-1.39,0.68,205
40179,14.74,0.18,1229,0.00,0.00,16,12.34,10.50,7.37,-1.39,0.72,205
40367,14.27,0.20,1308,0.00,0.00,16,16.91,14.50,8.69,-1.39,0.74,205
40554,12.96,0.21,1392,0.00,0.00,16,23.59,19.00,9.88,-1.39,0.76,205
40726,13.34,0.26,1354,0.00,0.00,16,28.87,26.50,10.79,-1.39,0.80,205
40913,13.66,0.32,1324,0.00,0.00,16,29.57,28.50,13.58,-1.39,0.86,205
41089,12.51,0.34,1422,0.00,0.00,16,31.33,30.00,16.23,-1.39,0.90,205
41277,12.76,0.35,1472,0.00,0.00,16,32.03,31.50,16.96,-1.39,0.90,205
41465,13.56,0.36,1426,0.00,0.00,16,30.98,30.50,17.19,-1.39,0.92,205
41637,13.54,0.37,1402,0.00,0.00,16,28.87,28.50,17.19,-1.39,0.94,205
41824,13.35,0.38,1390,0.00,0.00,16,27.81,27.00,17.71,-1.39,0.94,205
42011,13.45,0.39,1368,0.00,0.00,16,26.76,26.00,17.95,-1.39,0.96,205
42183,13.42,0.39,1362,0.00,0.00,16,27.81,25.00,17.71,-1.39,0.96,205
42371,13.77,0.36,1579,0.00,0.00,16,34.14,30.50,18.26,-1.39,0.96,205
42558,14.72,0.35,1657,0.00,0.00,16,36.95,34.00,19.90,-1.08,0.98,205
42730,14.67,0.35,1868,0.00,0.00,16,38.71,37.50,21.62,-0.77,1.00,205
42918,14.56,0.35,2007,0.00,0.00,16,40.47,39.00,23.34,-0.77,1.02,205
43093,14.60,0.36,2187,0.00,0.00,16,41.52,40.00,23.43,0.15,1.06,205
43281,14.28,0.35,2371,0.00,0.00,16,42.58,41.50,26.83,0.15,1.06,205
43468,14.14,0.36,2486,0.00,0.00,16,42.58,42.00,29.47,-0.15,1.06,205
43655,14.06,0.35,2669,0.00,0.00,16,42.58,41.50,30.81,-0.77,1.04,205
43827,13.85,0.33,2833,0.00,0.00,16,42.93,41.50,30.81,-1.08,1.02,205
44015,13.64,0.30,2958,0.00,0.00,16,43.98,42.50,29.18,-3.87,0.90,205
44191,11.90,0.14,2957,0.00,0.00,16,26.05,36.00,10.79,-4.18,0.64,205
44379,11.21,0.14,2787,0.00,0.00,16,5.66,11.00,12.47,-4.18,0.64,205
44551,13.91,0.14,2470,0.00,0.00,16,4.26,4.00,11.71,-3.25,0.64,205
44738,18.90,0.15,2133,0.00,0.00,16,3.55,3.50,10.45,-2.63,0.64,205
44926,23.80,0.14,1824,0.00,0.00,16,4.96,3.50,9.26,-1.39,0.64,205
45113,23.85,0.15,1612,0.00,0.00,16,6.72,14.00,7.90,-1.39,0.64,205
45285,23.90,0.17,1270,0.00,0.00,16,7.42,15.50,6.95,-1.39,0.64,205
45472,23.87,0.19,1291,0.00,0.00,16,9.53,7.00,8.23,-1.39,0.74,205
45660,23.73,0.18,1521,0.00,0.00,16,17.62,12.50,9.35,-1.39,0.78,205
45832,15.07,0.19,1831,0.00,0.00,16,34.14,25.00,11.09,-1.39,0.80,205
46019,15.06,0.20,1830,0.00,0.00,16,33.44,33.00,11.82,-1.39,0.82,205
46195,15.19,0.22,1725,0.00,0.00,16,32.73,31.50,12.85,-1.39,0.84,205
46382,14.69,0.24,1771,0.00,0.00,16,33.79,33.00,14.15,-1.39,0.86,205
46570,14.37,0.26,1812,0.00,0.00,16,34.49,33.50,12.99,-1.39,0.88,205
46746,14.72,0.28,1851,0.00,0.00,16,36.25,35.00,16.44,-1.39,0.90,205
46934,14.72,0.29,1890,0.00,0.00,16,37.66,36.50,18.10,-1.39,0.94,205
47121,14.65,0.30,1924,0.00,0.00,16,38.36,37.50,19.27,-1.39,0.94,205
47293,14.66,0.31,1988,0.00,0.00,16,39.41,38.00,20.40,-1.39,0.96,205
47480,14.65,0.31,2025,0.00,0.00,16,40.12,39.00,20.67,-1.08,0.96,205
47652,14.37,0.29,2073,0.00,0.00,16,40.82,40.00,20.07,-1.70,0.84,205
47840,13.26,0.18,2080,0.00,0.00,16,37.66,38.00,10.85,-1.70,0.76,205
48027,12.12,0.14,2100,0.00,0.00,16,35.55,35.50,9.13,-2.01,0.74,205
48199,12.38,0.11,2098,0.00,0.00,16,33.79,33.00,9.77,-2.01,0.68,205
48387,13.27,0.10,2102,0.00,0.00,16,30.27,32.50,6.70,-2.01,0.68,205
48574,13.88,0.10,2116,0.00,0.00,16,23.59,25.50,7.17,-2.01,0.68,205
48761,17.06,0.10,2062,0.00,0.00,16,13.05,15.50,6.73,-1.70,0.66,205
48933,21.97,0.10,2010,0.00,0.00,16,3.55,7.00,6.55,-1.70,0.66,205
49121,25.70,0.10,1984,0.00,0.00,16,3.55,3.50,6.73,-1.39,0.66,205
49293,23.60,0.09,1954,0.00,0.00,16,3.91,3.50,6.18,-1.39,0.64,205
49480,23.76,0.09,1923,0.00,0.00,16,4.26,3.50,5.91,-1.39,0.64,205
49668,23.87,0.09,1896,0.00,0.00,16,4.26,4.00,5.87,-1.39,0.64,205
49840,23.93,0.10,1858,0.00,0.00,16,4.61,4.00,6.04,-1.39,0.64,205
50027,24.01,0.09,1817,0.00,0.00,16,4.61,4.50,5.33,-1.39,0.64,205
50215,24.00,0.10,1795,0.00,0.00,16,4.96,13.00,5.81,-1.39,0.64,205
50402,23.98,0.10,1751,0.00,0.00,16,5.31,13.00,5.98,-1.39,0.64,205
50574,23.81,0.11,1718,0.00,0.00,16,5.66,13.00,6.15,-1.39,0.64,205
50761,24.01,0.13,1691,0.00,0.00,16,6.72,13.50,7.17,-1.39,0.68,205
50949,23.84,0.13,1653,0.00,0.00,16,11.99,9.00,7.06,-1.39,0.70,205
51121,23.56,0.14,1639,0.00,0.00,16,17.97,15.00,7.46,-1.39,0.72,205
51308,21.36,0.14,1660,0.00,0.00,16,24.30,22.50,7.98,-1.39,0.74,205
51496,16.27,0.16,1624,0.00,0.00,16,28.52,26.50,8.44,-1.39,0.74,205
51668,15.75,0.20,1636,0.00,0.00,16,30.27,29.50,9.99,-1.39,0.80,205
51855,15.22,0.27,1677,0.00,0.00,16,31.68,30.50,14.22,-1.39,0.88,205
52042,13.70,0.30,1693,0.00,0.00,16,33.44,32.50,16.82,-1.39,0.90,205
52214,13.76,0.30,1730,0.00,0.00,16,34.49,33.00,17.11,-1.39,0.90,205
52402,14.60,0.32,1780,0.00,0.00,16,35.90,34.50,18.96,-1.39,0.94,205
52574,14.70,0.31,1796,0.00,0.00,16,36.60,35.50,18.96,-1.39,0.90,203
52761,14.07,0.24,1819,0.00,0.00,16,34.84,34.00,12.70,-1.39,0.76,203
