Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
1632,0.00,0.00,14.70,7,0.44,0,57.7,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
1728,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
1824,0.00,0.00,14.70,7,0.44,0,57.4,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
1920,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2017,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2113,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2208,0.00,0.00,14.70,7,0.44,0,57.1,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2304,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2401,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2496,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2593,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2688,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2784,0.00,0.00,14.70,7,0.44,0,57.2,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2880,0.00,0.00,14.70,7,0.44,0,57.1,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
2977,0.00,0.00,14.70,7,0.44,0,57.4,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3071,0.00,0.00,14.70,7,0.44,0,57.4,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3168,0.00,0.00,14.70,7,0.44,0,57.5,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3264,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3359,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3455,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3551,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3648,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3743,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3839,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.51,-0.23,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
3936,0.00,0.00,14.70,7,0.44,0,57.6,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
4032,0.00,0.00,14.70,7,0.44,0,57.7,20.3,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
4127,0.00,0.00,14.70,7,0.44,0,57.7,20.2,0.00,0.00,0.00,16,-20.00,9.50,73,14.36,-0.29,3.66,0.70,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
4223,0.00,0.00,14.70,7,0.44,0,57.4,20.2,0.00,0.00,12.22,16,13.40,9.50,73,14.36,-0.29,3.66,0.74,0.00,-1.70,0.00,0.68,0.00,0.00,11.40
4319,0.00,0.00,14.70,7,0.44,114,57.2,20.2,0.00,0.00,12.22,16,13.40,9.50,73,14.36,-0.29,1.65,1.04,0.00,-1.70,0.00,0.68,0.00,0.00,11.30
4415,0.00,0.00,14.70,7,0.44,169,57.2,20.2,0.00,0.00,12.22,16,13.40,9.50,73,14.36,-0.29,2.41,1.12,0.00,-1.70,0.00,0.68,0.00,0.00,11.40
4510,0.00,0.00,14.70,7,0.44,169,57.2,20.2,0.00,0.00,12.22,16,13.40,9.50,73,14.36,-0.29,2.41,1.22,0.00,-1.70,0.00,0.68,0.00,0.00,11.40
4606,0.00,0.00,14.70,7,0.44,204,57.2,20.2,0.00,0.00,7.08,16,13.40,9.50,73,14.36,-0.31,2.78,1.26,0.00,-1.70,0.00,0.68,0.00,0.00,11.50
4702,0.00,0.00,14.70,7,0.44,204,57.1,20.2,0.00,0.00,7.08,16,13.40,9.50,73,14.36,-0.31,2.78,1.14,0.00,-1.70,0.00,0.68,0.00,0.00,11.70
4798,0.00,0.00,14.70,7,0.44,213,57.2,20.2,0.00,0.00,7.08,16,13.40,9.50,73,14.36,-0.37,3.07,1.30,0.00,-1.70,0.00,0.68,0.00,0.00,11.90
4902,0.00,0.00,14.70,7,0.44,218,57.2,20.2,0.00,0.00,7.08,16,14.80,9.50,73,13.78,-0.87,4.52,1.44,0.00,-1.70,0.00,0.68,0.00,0.00,12.20
4990,0.00,0.00,14.70,7,0.44,218,57.2,20.2,0.00,0.00,7.08,16,14.80,9.50,73,13.78,-0.93,5.17,1.46,0.00,-1.70,0.00,0.68,0.00,0.00,12.20
5086,0.00,0.00,14.70,7,0.44,231,57.1,20.2,0.00,0.00,7.08,16,15.16,9.50,73,13.78,-0.93,5.17,1.46,0.00,-1.70,0.00,0.64,0.00,0.00,12.50
5182,0.00,0.00,14.70,7,0.44,216,57.1,20.2,0.00,0.00,7.09,16,15.16,9.50,73,13.78,-0.99,5.48,1.42,0.00,-1.70,0.00,0.68,0.00,0.00,13.40
5278,0.00,0.00,14.70,7,0.44,202,57.2,20.2,0.00,0.00,7.09,16,15.16,9.50,73,13.64,-1.04,5.91,1.46,0.00,-1.70,0.00,0.66,0.00,0.00,14.10
5374,0.00,0.00,14.70,7,0.44,202,57.1,20.2,0.00,0.00,7.09,16,13.75,9.50,73,14.22,-1.04,5.91,1.34,0.00,-1.70,0.00,0.66,0.00,0.00,15.00
5469,0.00,0.00,14.70,7,0.44,208,57.1,20.2,0.00,0.00,7.09,16,13.75,9.50,73,14.22,-0.48,5.91,1.42,0.00,-1.70,0.00,0.68,0.00,0.00,17.20
5565,0.00,0.00,14.70,7,0.44,208,57.1,20.1,0.00,0.00,7.09,16,13.75,9.50,75,14.22,-0.46,5.91,1.34,0.00,-1.70,0.00,0.68,0.00,0.00,18.00
5662,0.00,0.00,14.70,7,0.46,654,57.1,20.1,0.00,0.00,7.09,16,15.51,9.50,73,13.49,-1.16,5.50,1.28,0.00,-1.70,0.00,0.62,0.00,0.00,19.20
5758,0.00,0.00,14.70,7,0.50,954,57.1,20.1,0.00,0.00,7.09,16,15.16,19.00,73,12.33,-2.36,8.71,1.54,0.00,-1.70,0.00,0.62,0.00,0.00,21.10
5853,0.00,0.00,14.70,7,0.54,849,57.1,20.2,0.00,0.00,7.09,16,15.16,19.00,73,11.46,-3.29,9.00,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,20.10
5949,0.00,0.00,14.70,7,0.77,726,57.1,20.2,0.00,0.00,7.10,16,15.16,18.50,73,11.46,-3.21,8.82,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,20.90
6046,0.00,0.00,14.70,7,0.78,661,57.1,20.2,0.00,0.00,7.10,16,14.45,18.50,73,11.75,-3.09,8.56,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,22.20
6141,0.00,0.00,14.70,7,0.59,821,57.2,20.2,0.00,0.00,7.10,16,13.40,17.00,73,13.06,-1.64,6.30,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,19.20
6237,0.00,0.00,14.70,7,0.60,808,57.1,20.2,0.00,0.00,7.10,16,12.70,16.50,73,10.88,-3.38,8.23,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,19.30
6333,0.00,0.00,14.70,7,0.64,703,57.1,20.2,0.00,0.00,7.11,16,11.99,15.50,73,10.88,-3.62,8.95,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,19.10
6429,0.00,0.00,14.70,7,0.62,764,57.2,20.2,0.00,0.00,7.11,16,10.94,15.00,73,10.74,-3.77,9.22,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,18.80
6525,0.00,0.00,14.70,7,0.58,1128,57.2,20.2,0.00,0.00,7.34,16,10.23,13.50,73,9.72,-4.70,9.63,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,18.50
6621,0.00,0.00,14.70,7,0.53,1215,57.2,20.2,0.00,0.00,7.34,16,11.29,14.00,73,8.71,-5.28,9.99,1.72,0.00,-1.70,0.00,0.64,0.00,0.00,16.80
6716,0.00,0.00,14.70,7,0.47,1504,57.2,20.2,0.00,0.00,7.57,16,11.99,14.50,73,8.27,-6.25,10.46,1.74,0.00,-1.70,0.00,0.64,0.00,0.00,14.80
6812,0.00,0.00,14.70,7,0.43,1624,57.2,20.2,0.00,0.00,7.58,16,11.99,15.50,73,7.11,-7.12,10.60,1.74,0.00,-1.70,0.00,0.64,0.00,0.00,14.20
6909,0.00,0.00,14.70,7,0.39,1792,57.1,20.2,0.00,0.00,7.58,16,11.99,15.50,73,6.53,-7.93,10.50,1.74,0.00,-1.70,0.00,0.64,0.00,0.00,13.60
7004,0.00,0.00,14.70,7,0.37,1821,57.1,20.2,0.00,0.00,7.80,16,11.99,15.50,73,6.24,-8.53,10.50,1.74,0.00,-1.70,0.00,0.64,0.00,0.00,13.00
7100,0.00,0.00,14.70,7,0.36,1809,57.1,20.2,0.00,0.00,7.81,16,11.99,15.50,75,5.80,-8.84,10.39,1.74,0.00,-1.70,0.00,0.64,0.00,0.00,12.40
7197,0.00,0.00,14.70,7,0.35,1775,57.2,20.2,0.00,0.00,8.02,16,11.99,15.50,75,5.66,-9.07,10.19,1.72,0.00,-1.70,0.00,0.64,0.00,0.00,11.90
7292,0.00,0.00,14.70,7,0.35,1699,57.2,20.2,0.00,0.00,8.02,16,11.99,15.50,75,5.51,-9.17,9.99,1.70,0.00,-1.70,0.00,0.64,0.00,0.00,11.90
7388,0.00,0.00,14.70,7,0.37,1646,57.2,20.2,0.00,0.00,8.22,16,11.99,15.50,75,5.51,-9.17,10.08,1.70,0.00,-1.70,0.00,0.64,0.00,0.00,11.20
7484,0.00,0.00,14.70,7,0.37,1633,57.1,20.2,0.00,0.00,8.23,16,11.99,15.50,75,5.66,-9.09,9.90,1.70,0.00,-1.70,0.00,0.64,0.00,0.00,10.60
7580,0.00,0.00,14.70,7,0.37,1565,57.1,20.2,0.00,0.00,8.41,16,11.99,15.50,75,5.66,-8.97,9.81,1.70,0.00,-1.70,0.00,0.64,0.00,0.00,10.30
7676,0.00,0.00,14.70,7,0.37,1564,57.1,20.1,0.00,0.00,8.42,16,11.99,15.50,73,5.80,-8.89,9.63,1.68,0.00,-1.70,0.00,0.64,0.00,0.00,10.00
7772,0.00,0.00,14.70,7,0.36,1564,57.1,20.1,0.00,0.00,8.43,16,11.99,15.50,73,5.80,-8.88,9.45,1.68,0.00,-1.70,0.00,0.64,0.00,0.00,9.80
7867,0.00,0.00,14.70,7,0.36,1548,57.1,20.1,0.00,0.00,8.60,16,11.99,15.50,73,5.80,-8.89,9.36,1.68,0.00,-1.70,0.00,0.64,0.00,0.00,9.70
7963,0.00,0.00,14.70,7,0.36,1543,57.1,20.1,0.00,0.00,8.61,16,11.99,15.50,73,5.80,-8.89,9.27,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,9.70
8059,0.00,0.00,14.70,7,0.35,1538,57.1,20.2,0.00,0.00,8.77,16,11.99,15.50,73,5.80,-8.89,9.18,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,9.80
8155,0.00,0.00,14.70,7,0.35,1550,57.3,20.3,0.00,0.00,8.78,16,11.99,15.50,73,5.80,-8.93,9.09,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,10.00
8251,0.00,0.00,14.70,7,0.36,1540,57.5,20.3,0.00,0.00,8.79,16,11.99,15.50,73,5.80,-8.93,9.18,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,10.00
8346,0.00,0.00,14.70,7,0.36,1534,57.6,20.3,0.00,0.00,8.94,16,11.99,14.00,73,5.80,-8.95,9.09,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,10.10
8443,0.00,0.00,14.70,7,0.35,1522,57.6,20.3,0.00,0.00,8.95,16,11.99,15.50,73,5.80,-8.91,9.00,1.66,0.00,-1.70,0.00,0.64,0.00,0.00,10.20
8539,0.00,0.00,14.70,7,0.35,1528,57.6,20.3,0.00,0.00,9.10,16,11.99,15.50,73,5.80,-8.95,8.87,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,10.20
8635,0.00,0.00,14.70,7,0.35,1526,57.6,20.3,0.00,0.00,9.10,16,11.99,15.50,73,5.66,-8.97,8.73,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,10.20
8730,0.00,0.00,14.70,7,0.35,1526,57.6,20.3,0.00,0.00,9.24,16,11.99,14.00,73,5.66,-8.99,8.78,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,10.30
8827,0.00,0.00,14.70,7,0.34,1496,57.6,20.3,0.00,0.00,9.25,16,11.64,18.00,73,5.66,-9.01,8.73,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,10.30
8922,0.00,0.00,14.70,7,0.35,1504,57.6,20.3,0.00,0.00,9.25,16,11.99,17.00,73,5.66,-8.97,8.73,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9019,0.00,0.00,14.70,7,0.34,1503,57.3,20.2,0.00,0.00,9.38,16,11.99,17.00,73,5.66,-8.97,8.64,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9117,0.00,0.00,14.70,7,0.34,1522,57.3,20.2,0.00,0.00,9.39,16,11.99,14.50,73,5.66,-8.99,8.60,1.64,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9210,0.00,0.00,14.70,7,0.33,1521,57.3,20.2,0.00,0.00,9.51,16,11.99,15.00,73,5.66,-9.07,8.39,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.50
9306,0.00,0.00,14.70,7,0.34,1517,57.2,20.2,0.00,0.00,9.52,16,11.64,15.50,73,5.66,-9.11,8.36,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.50
9402,0.00,0.00,14.70,7,0.34,1485,57.2,20.2,0.00,0.00,9.52,16,11.64,17.00,73,5.66,-9.09,8.47,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.50
9498,0.00,0.00,14.70,7,0.34,1496,57.2,20.2,0.00,0.00,9.63,16,11.64,16.50,73,5.66,-9.09,8.47,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9594,0.00,0.00,14.70,7,0.34,1480,57.1,20.2,0.00,0.00,9.64,16,11.64,19.00,73,5.66,-9.05,8.47,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9690,0.00,0.00,14.70,7,0.33,1492,57.2,20.2,0.00,0.00,9.74,16,11.99,16.00,73,5.66,-9.05,8.39,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9786,0.00,0.00,14.70,7,0.33,1498,57.1,20.2,0.00,0.00,9.75,16,11.64,15.50,73,5.66,-9.07,8.31,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9882,0.00,0.00,14.70,7,0.33,1489,57.1,20.2,0.00,0.00,9.76,16,11.99,16.00,73,5.66,-9.09,8.23,1.62,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
9978,0.00,0.00,14.70,7,0.33,1494,57.2,20.2,0.00,0.00,9.85,16,11.64,16.00,73,5.51,-9.15,8.14,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.40
10074,0.00,0.00,14.70,7,0.32,1482,57.1,20.2,0.00,0.00,9.86,16,11.64,16.50,73,5.51,-9.17,8.11,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.50
10170,0.00,0.00,14.70,7,0.33,1474,57.2,20.2,0.00,0.00,9.95,16,11.64,17.00,73,5.51,-9.17,8.11,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.50
10266,0.00,0.00,14.70,7,0.33,1469,57.2,20.2,0.00,0.00,9.96,16,11.64,17.00,73,5.51,-9.18,8.03,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.60
10362,0.00,0.00,14.70,7,0.32,1481,57.2,20.2,0.00,0.00,9.97,16,11.64,15.50,73,5.51,-9.20,7.98,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.60
10457,0.00,0.00,14.70,7,0.33,1463,57.1,20.2,0.00,0.00,10.05,16,11.64,17.00,75,5.51,-9.22,7.90,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.60
10553,0.00,0.00,14.70,7,0.33,1453,57.1,20.2,0.00,0.00,10.06,16,11.64,17.50,73,5.51,-9.18,7.90,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,10.70
10650,0.00,0.00,14.70,7,0.34,1413,57.1,20.1,0.00,0.00,10.07,16,11.29,20.50,73,5.51,-9.18,7.90,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.60
10745,0.00,0.00,14.70,7,0.33,1409,57.1,20.1,0.00,0.00,10.14,16,11.64,20.50,73,5.66,-9.13,7.98,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.70
10841,0.00,0.00,14.70,7,0.33,1424,57.1,20.1,0.00,0.00,10.15,16,11.64,19.00,73,5.66,-9.11,7.90,1.60,0.00,-1.70,0.00,0.64,0.00,0.00,10.70
10937,0.00,0.00,14.70,7,0.33,1435,57.1,20.2,0.00,0.00,10.22,16,11.64,17.00,73,5.51,-9.15,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,10.90
11033,0.00,0.00,14.70,7,0.32,1420,57.1,20.2,0.00,0.00,10.23,16,11.64,17.50,73,5.51,-9.15,7.73,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,10.90
11129,0.00,0.00,14.70,7,0.33,1424,57.1,20.2,0.00,0.00,10.24,16,11.64,17.00,73,5.51,-9.18,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,10.90
11225,0.00,0.00,14.70,7,0.33,1419,57.2,20.2,0.00,0.00,10.30,16,11.64,18.00,73,5.51,-9.17,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.00
11320,0.00,0.00,14.70,7,0.33,1409,57.2,20.2,0.00,0.00,10.31,16,11.29,17.50,73,5.51,-9.17,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.20
11417,0.00,0.00,14.70,7,0.33,1414,57.1,20.2,0.00,0.00,10.32,16,11.64,16.50,73,5.51,-9.17,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.10
11513,0.00,0.00,14.70,7,0.33,1427,57.2,20.2,0.00,0.00,10.38,16,11.64,15.50,75,5.51,-9.17,7.78,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.10
11609,0.00,0.00,14.70,7,0.33,1416,57.2,20.2,0.00,0.00,10.39,16,11.64,16.00,73,5.51,-9.18,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.10
11704,0.00,0.00,14.70,7,0.33,1423,57.2,20.2,0.00,0.00,10.44,16,11.64,16.00,73,5.51,-9.18,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.10
11801,0.00,0.00,14.70,7,0.33,1410,57.2,20.2,0.00,0.00,10.45,16,11.29,16.50,73,5.51,-9.20,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.10
11896,0.00,0.00,14.70,7,0.33,1404,57.2,20.2,0.00,0.00,10.46,16,11.29,16.50,75,5.51,-9.18,7.81,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.10
11993,0.00,0.00,14.70,7,0.33,1417,57.2,20.2,0.00,0.00,10.52,16,11.29,15.50,75,5.51,-9.18,7.86,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.10
12088,0.00,0.00,14.70,7,0.33,1424,57.2,20.2,0.00,0.00,10.52,16,11.29,14.50,73,5.51,-9.18,7.73,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.30
12184,0.00,0.00,14.70,7,0.33,1416,57.2,20.2,0.00,0.00,10.53,16,11.64,15.00,73,5.51,-9.20,7.73,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.20
12280,0.00,0.00,14.70,7,0.33,1400,57.1,20.2,0.00,0.00,10.58,16,11.29,15.00,75,5.51,-9.24,7.65,1.58,0.00,-1.70,0.00,0.64,0.00,0.00,11.20
