Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Tip-in Throttle* (%),Tip-in Enrichment (Last Calculated)* (raw enrichment value)
13534,14.24,0.13,1120,0.00,0.00,16,14.10,14.00,4.93,5.01,-1.08,0.64,0.0,0
13733,14.36,0.13,1134,0.00,0.00,16,14.10,13.00,4.93,4.97,-1.08,0.64,0.0,0
13931,14.47,0.14,1117,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
14132,14.47,0.14,1112,0.00,0.00,16,14.10,15.00,5.08,5.08,-1.08,0.64,0.0,0
14333,14.47,0.14,1123,0.00,0.00,16,14.10,13.00,5.08,5.08,-1.08,0.64,0.0,0
14543,14.24,0.13,1117,0.00,0.00,16,14.10,13.50,4.93,5.01,-1.08,0.64,0.0,0
14729,14.36,0.13,1116,0.00,0.00,16,14.10,14.00,4.93,5.01,-1.08,0.64,0.0,0
14927,14.36,0.14,1124,0.00,0.00,16,14.10,15.00,4.93,5.08,-1.08,0.64,0.0,0
15128,14.47,0.13,1118,0.00,0.00,16,14.10,14.00,4.93,5.01,-1.08,0.64,0.0,0
15326,14.59,0.14,1113,0.00,0.00,16,14.10,14.50,5.08,5.01,-1.08,0.64,0.0,0
15525,14.70,0.14,1118,0.00,0.00,16,14.10,14.00,5.08,5.08,-1.08,0.64,0.0,0
15725,14.59,0.13,1131,0.00,0.00,16,14.10,13.00,4.93,5.01,-1.08,0.64,0.0,0
15926,14.59,0.13,1139,0.00,0.00,16,14.10,12.00,4.93,5.01,-1.08,0.64,0.0,0
16125,14.70,0.13,1133,0.00,0.00,16,14.10,13.00,4.93,5.04,-1.08,0.64,0.0,0
16324,14.59,0.13,1148,0.00,0.00,16,14.10,11.50,4.93,5.01,-1.08,0.64,0.0,0
16522,14.47,0.13,1134,0.00,0.00,16,14.10,13.50,4.93,5.01,-1.08,0.64,0.0,0
16724,14.47,0.13,1124,0.00,0.00,16,14.10,14.00,4.93,4.95,-1.08,0.64,0.0,0
16921,14.47,0.14,1110,0.00,0.00,16,14.10,15.00,4.93,5.01,-1.08,0.64,0.0,0
17122,14.59,0.13,1139,0.00,0.00,16,14.10,12.50,4.93,5.01,-1.08,0.64,0.0,0
17320,14.59,0.13,1119,0.00,0.00,16,14.10,14.50,4.93,5.01,-1.08,0.64,0.0,0
17523,14.59,0.13,1132,0.00,0.00,16,14.10,13.00,4.93,5.01,-1.08,0.64,0.0,0
17719,14.47,0.13,1143,0.00,0.00,16,14.10,12.00,4.93,4.95,-1.08,0.64,0.0,0
17923,14.47,0.13,1136,0.00,0.00,16,14.10,14.50,4.93,4.95,-1.08,0.64,0.0,0
18120,14.36,0.13,1124,0.00,0.00,16,14.10,14.00,4.93,4.97,-1.08,0.64,0.0,0
18319,14.59,0.13,1122,0.00,0.00,16,14.10,13.50,4.93,4.95,-1.08,0.64,0.0,0
18520,14.47,0.13,1136,0.00,0.00,16,14.10,13.00,4.93,4.95,-1.08,0.64,0.0,0
18720,14.47,0.13,1120,0.00,0.00,16,14.10,14.50,4.93,4.95,-1.08,0.64,0.0,0
18917,14.36,0.13,1128,0.00,0.00,16,14.10,14.00,4.93,4.88,-1.08,0.64,0.0,0
19119,14.36,0.13,1128,0.00,0.00,16,14.10,14.00,4.93,4.95,-1.08,0.64,0.0,0
19320,14.36,0.13,1124,0.00,0.00,16,14.10,14.50,4.93,4.95,-1.08,0.64,0.0,0
19521,14.47,0.13,1116,0.00,0.00,16,14.10,14.50,4.93,4.88,-1.08,0.64,0.0,0
19718,14.59,0.13,1108,0.00,0.00,16,14.10,15.50,4.93,4.88,-1.08,0.64,0.0,0
19918,14.59,0.13,1118,0.00,0.00,16,14.10,15.00,4.93,4.88,-1.08,0.64,0.0,0
20120,14.59,0.13,1102,0.00,0.00,16,14.10,15.50,4.93,4.88,-1.08,0.64,0.0,0
20321,14.70,0.13,1114,0.00,0.00,16,14.10,14.00,4.93,4.95,-1.08,0.64,0.0,0
20521,14.59,0.13,1121,0.00,0.00,16,14.10,13.00,4.93,4.88,-1.08,0.64,0.0,0
20718,14.59,0.13,1116,0.00,0.00,16,14.10,14.00,4.93,4.95,-1.08,0.64,0.0,0
20916,14.59,0.13,1118,0.00,0.00,16,14.10,13.50,4.93,4.95,-1.08,0.64,0.0,0
21119,14.47,0.13,1106,0.00,0.00,16,14.10,15.00,4.93,4.88,-1.08,0.64,0.0,0
21322,14.47,0.13,1104,0.00,0.00,16,14.10,15.00,4.93,4.95,-1.08,0.64,0.0,0
21520,14.47,0.13,1122,0.00,0.00,16,14.10,13.00,4.93,4.91,-1.08,0.64,0.0,0
21717,14.59,0.13,1106,0.00,0.00,16,14.10,14.50,5.08,4.88,-1.08,0.64,0.0,0
21917,14.47,0.13,1100,0.00,0.00,16,14.10,15.00,5.22,4.85,-1.08,0.64,0.0,0
22117,14.59,0.13,1102,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.08,0.64,0.0,0
22318,15.04,0.14,1083,0.00,0.00,16,14.10,15.00,5.22,4.95,-1.08,0.64,0.0,0
22519,15.27,0.13,1105,0.00,0.00,16,14.10,13.00,5.22,4.91,-1.08,0.64,0.0,0
22716,15.50,0.13,1097,0.00,0.00,16,14.10,13.00,5.37,4.95,-1.08,0.64,0.0,0
22918,15.39,0.14,1097,0.00,0.00,16,14.10,15.00,5.37,4.97,-1.08,0.64,0.0,0
23118,15.27,0.14,1096,0.00,0.00,16,14.10,13.50,5.37,4.97,-1.08,0.64,0.0,0
23317,15.39,0.13,1104,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.08,0.64,0.0,0
23514,15.50,0.13,1121,0.00,0.00,16,14.10,11.50,5.08,4.95,-1.08,0.64,0.0,0
23710,15.27,0.13,1134,0.00,0.00,16,14.10,10.50,5.08,4.95,-1.08,0.64,0.0,0
23916,14.81,0.13,1112,0.00,0.00,16,14.10,13.50,5.08,4.88,-1.08,0.64,0.0,0
24116,14.47,0.13,1127,0.00,0.00,16,14.10,12.00,4.93,4.95,-1.08,0.64,0.0,0
24312,13.78,0.13,1133,0.00,0.00,16,14.10,12.00,4.93,4.88,-1.08,0.64,0.0,0
24514,13.78,0.13,1114,0.00,0.00,16,14.10,14.00,4.93,4.95,-1.08,0.64,0.0,0
24712,13.78,0.13,1128,0.00,0.00,16,14.10,13.00,4.93,4.88,-1.08,0.64,0.0,0
24911,13.90,0.13,1129,0.00,0.00,16,14.10,13.00,4.93,4.88,-1.08,0.64,0.0,0
25115,13.67,0.13,1124,0.00,0.00,16,14.10,13.50,4.93,4.88,-1.08,0.64,0.0,0
25319,13.78,0.13,1120,0.00,0.00,16,14.10,14.00,4.93,4.91,-1.08,0.64,0.0,0
25520,13.90,0.13,1125,0.00,0.00,16,14.10,13.00,4.93,4.95,-1.08,0.64,0.0,0
25717,14.13,0.13,1117,0.00,0.00,16,14.10,14.00,4.93,4.88,-1.08,0.64,0.0,0
25918,14.13,0.13,1102,0.00,0.00,16,14.10,15.50,4.93,4.95,-1.08,0.64,0.0,0
26119,14.01,0.13,1118,0.00,0.00,16,14.10,14.00,4.93,4.88,-1.08,0.64,0.0,0
26319,14.01,0.13,1093,0.00,0.00,16,14.10,14.50,4.93,4.88,-1.08,0.64,0.0,0
26517,14.24,0.14,1094,0.00,0.00,16,14.10,15.00,4.93,4.88,-1.08,0.64,0.0,0
26715,14.24,0.13,1102,0.00,0.00,16,14.10,14.00,4.93,4.88,-1.08,0.64,0.0,0
26910,14.36,0.13,1106,0.00,0.00,16,14.10,14.00,4.93,4.85,-1.08,0.64,0.0,0
27110,14.36,0.13,1103,0.00,0.00,16,14.10,14.50,4.93,4.88,-1.08,0.64,0.0,0
27311,14.24,0.13,1098,0.00,0.00,16,14.10,14.00,4.93,4.88,-1.08,0.64,0.0,0
27507,14.47,0.13,1087,0.00,0.00,16,14.10,15.50,5.08,4.88,-1.08,0.64,0.0,0
27706,14.47,0.13,1090,0.00,0.00,16,14.10,14.50,5.08,4.88,-1.08,0.64,0.0,0
27908,14.59,0.14,1083,0.00,0.00,16,14.10,15.00,5.08,4.88,-1.08,0.64,0.0,0
28108,14.47,0.13,1102,0.00,0.00,16,14.10,13.00,5.08,4.95,-1.08,0.64,0.0,0
28307,14.47,0.14,1080,0.00,0.00,16,14.10,15.50,5.08,4.88,-1.08,0.64,0.0,0
28510,14.59,0.14,1086,0.00,0.00,16,14.10,13.50,5.08,4.95,-1.08,0.64,0.0,0
28708,14.59,0.13,1104,0.00,0.00,16,14.10,12.50,5.08,4.95,-1.08,0.64,0.0,0
28908,14.36,0.14,1100,0.00,0.00,16,14.10,13.00,5.08,4.95,-1.08,0.64,0.0,0
29106,14.47,0.14,1096,0.00,0.00,16,14.10,13.50,5.08,4.97,-1.08,0.64,0.0,0
29306,14.59,0.14,1091,0.00,0.00,16,14.10,14.00,5.08,4.95,-1.08,0.64,0.0,0
29508,14.47,0.14,1107,0.00,0.00,16,14.10,12.50,5.08,4.95,-1.08,0.64,0.0,0
29707,14.36,0.14,1097,0.00,0.00,16,14.10,14.00,5.08,4.97,-1.08,0.64,0.0,0
29906,14.24,0.13,1092,0.00,0.00,16,14.10,14.00,5.08,5.01,-1.08,0.64,0.0,0
30106,14.36,0.14,1085,0.00,0.00,16,14.10,14.50,5.08,4.95,-1.08,0.64,0.0,0
30302,14.59,0.14,1092,0.00,0.00,16,14.10,14.00,5.08,4.95,-1.08,0.64,0.0,0
30505,14.36,0.14,1086,0.00,0.00,16,14.10,15.00,5.08,4.95,-1.08,0.64,0.0,0
30703,14.36,0.13,1096,0.00,0.00,16,14.10,11.50,5.08,4.95,-1.08,0.64,0.0,0
30905,14.47,0.14,1088,0.00,0.00,16,14.10,14.00,5.08,4.95,-1.08,0.64,0.0,0
31102,14.59,0.14,1086,0.00,0.00,16,14.10,13.50,5.08,4.97,-1.08,0.64,0.0,0
31304,14.59,0.14,1089,0.00,0.00,16,14.10,14.50,5.08,4.95,-1.08,0.64,0.0,0
31503,14.47,0.14,1096,0.00,0.00,16,14.10,12.50,5.08,5.01,-1.08,0.64,0.0,0
31699,14.47,0.14,1088,0.00,0.00,16,14.10,14.00,5.08,4.95,-1.08,0.64,0.0,0
31897,14.47,0.14,1093,0.00,0.00,16,14.10,13.50,5.08,4.95,-1.08,0.64,0.0,0
32099,14.59,0.13,1105,0.00,0.00,16,14.10,12.50,5.08,4.95,-1.08,0.64,0.0,0
32296,14.70,0.14,1074,0.00,0.00,16,14.10,15.50,5.22,4.97,-1.08,0.64,0.0,0
32496,14.70,0.14,1076,0.00,0.00,16,14.10,15.00,5.22,5.01,-1.08,0.64,0.0,0
32694,14.81,0.14,1048,0.00,0.00,16,14.10,17.50,5.22,5.04,-1.08,0.64,0.0,0
32895,14.81,0.15,1066,0.00,0.00,16,14.10,15.00,5.37,5.33,-1.08,0.64,0.0,0
33096,14.70,0.15,1068,0.00,0.00,16,14.10,14.50,5.37,5.40,-1.08,0.64,0.0,0
33290,14.81,0.15,1088,0.00,0.00,16,14.10,13.00,5.51,5.46,-1.08,0.64,0.0,0
33494,14.70,0.15,1085,0.00,0.00,16,14.10,13.00,5.51,5.46,-1.08,0.64,0.0,0
33690,14.59,0.15,1094,0.00,0.00,16,14.10,12.50,5.66,5.46,-1.08,0.64,0.0,0
33893,14.70,0.15,1079,0.00,0.00,16,14.10,14.00,5.66,5.52,-1.08,0.64,0.0,0
34089,14.81,0.16,1082,0.00,0.00,16,14.10,14.00,5.66,5.65,-1.08,0.64,0.0,0
34287,14.93,0.15,1105,0.00,0.00,16,14.10,11.50,5.66,5.55,-1.08,0.64,0.0,0
34490,14.93,0.15,1110,0.00,0.00,16,14.10,11.50,5.66,5.59,-1.08,0.64,0.0,0
34688,15.04,0.15,1114,0.00,0.00,16,14.10,11.50,5.66,5.55,-1.08,0.64,0.0,0
34885,14.93,0.15,1110,0.00,0.00,16,14.10,13.50,5.51,5.59,-1.08,0.64,0.0,0
35084,14.93,0.15,1108,0.00,0.00,16,14.10,13.00,5.51,5.59,-1.08,0.64,0.0,0
35285,14.81,0.15,1126,0.00,0.00,16,14.10,11.50,5.51,5.49,-1.08,0.64,0.0,0
35486,14.59,0.15,1131,0.00,0.00,16,14.10,9.50,5.51,5.59,-1.08,0.64,0.0,0
35682,14.59,0.14,1159,0.00,0.00,16,14.10,9.50,5.37,5.40,-1.08,0.64,0.0,0
35885,14.59,0.14,1153,0.00,0.00,16,14.10,12.50,5.22,5.40,-1.08,0.64,0.0,0
36088,14.47,0.14,1152,0.00,0.00,16,14.10,13.00,5.22,5.46,-1.08,0.64,0.0,0
36291,14.47,0.14,1165,0.00,0.00,16,14.10,10.50,5.22,5.40,-1.08,0.64,0.0,0
36491,14.13,0.14,1168,0.00,0.00,16,14.10,11.00,5.08,5.27,-1.08,0.64,0.0,0
36687,13.90,0.14,1142,0.00,0.00,16,14.10,14.00,5.08,5.33,-1.08,0.64,0.0,0
36890,14.13,0.14,1160,0.00,0.00,16,14.10,12.50,5.08,5.27,-1.08,0.64,0.0,0
37086,14.13,0.13,1167,0.00,0.00,16,14.10,12.50,4.93,5.21,-1.08,0.64,0.0,0
37287,14.01,0.14,1162,0.00,0.00,16,14.10,13.00,4.93,5.21,-1.08,0.64,0.0,0
37486,14.01,0.13,1151,0.00,0.00,16,14.10,14.00,4.93,5.14,-1.08,0.64,0.0,0
37684,13.78,0.13,1144,0.00,0.00,16,14.10,14.50,4.93,5.17,-1.08,0.64,0.0,0
37883,13.67,0.14,1120,0.00,0.00,16,14.10,17.00,4.93,5.08,-1.08,0.64,0.0,0
38081,13.90,0.14,1103,0.00,0.00,16,14.10,18.00,5.08,5.14,-1.08,0.64,0.0,0
38282,14.01,0.14,1093,0.00,0.00,16,14.10,18.00,5.08,5.08,-1.08,0.64,0.0,0
38484,13.90,0.14,1086,0.00,0.00,16,14.10,17.50,5.08,5.08,-1.08,0.64,0.0,0
38682,14.01,0.15,1036,0.00,0.00,16,14.10,21.50,5.22,5.23,-1.08,0.64,0.0,0
38881,14.36,0.15,1102,0.00,0.00,16,14.10,14.00,5.37,5.40,-1.08,0.64,0.0,0
39083,14.59,0.14,1126,0.00,0.00,16,14.10,11.50,5.22,5.21,-1.08,0.64,0.0,0
39283,14.70,0.14,1109,0.00,0.00,16,14.10,13.50,5.22,5.33,-1.08,0.64,0.0,0
39480,14.81,0.14,1124,0.00,0.00,16,14.10,12.00,5.22,5.27,-1.08,0.64,0.0,0
39679,14.81,0.14,1135,0.00,0.00,16,14.10,13.00,5.08,5.14,-1.08,0.64,0.0,0
39879,14.70,0.14,1112,0.00,0.00,16,14.10,14.00,5.22,5.27,-1.08,0.64,0.0,0
40078,14.70,0.14,1122,0.00,0.00,16,14.10,13.50,5.08,5.21,-1.08,0.64,0.0,0
40277,14.59,0.14,1120,0.00,0.00,16,14.10,13.00,5.08,5.14,-1.08,0.64,0.0,0
40477,14.70,0.14,1111,0.00,0.00,16,14.10,15.50,5.08,5.21,-1.08,0.64,0.0,0
40677,14.47,0.14,1114,0.00,0.00,16,14.10,14.00,5.08,5.08,-1.08,0.64,0.0,0
40878,14.47,0.14,1113,0.00,0.00,16,14.10,14.00,5.08,5.14,-1.08,0.64,0.0,0
41078,14.47,0.14,1116,0.00,0.00,16,14.10,14.00,5.08,5.14,-1.08,0.64,0.0,0
41277,14.59,0.14,1110,0.00,0.00,16,14.10,14.00,5.08,5.14,-1.08,0.64,0.0,0
41478,14.59,0.13,1134,0.00,0.00,16,14.10,12.00,5.08,5.01,-1.08,0.64,0.0,0
41672,14.70,0.13,1108,0.00,0.00,16,14.10,14.50,5.08,5.08,-1.08,0.64,0.0,0
41876,14.47,0.14,1093,0.00,0.00,16,14.10,16.00,5.08,5.14,-1.08,0.64,0.0,0
42076,14.47,0.14,1113,0.00,0.00,16,14.10,13.50,5.08,5.08,-1.08,0.64,0.0,0
42275,14.47,0.14,1108,0.00,0.00,16,14.10,14.00,5.08,5.01,-1.08,0.64,0.0,0
42470,14.47,0.14,1109,0.00,0.00,16,14.10,14.00,5.08,4.97,-1.08,0.64,0.0,0
42669,14.47,0.14,1101,0.00,0.00,16,14.10,15.50,5.08,5.04,-1.08,0.64,0.0,0
42870,14.47,0.14,1098,0.00,0.00,16,14.10,14.00,5.08,5.01,-1.08,0.64,0.0,0
43074,14.59,0.14,1097,0.00,0.00,16,14.10,14.00,5.08,4.95,-1.08,0.64,0.0,0
43271,14.59,0.14,1094,0.00,0.00,16,14.10,14.50,5.08,4.95,-1.08,0.64,0.0,0
43472,14.47,0.14,1098,0.00,0.00,16,14.10,14.00,5.08,4.95,-1.08,0.64,0.0,0
43669,14.36,0.14,1079,0.00,0.00,16,14.10,15.50,5.08,4.95,-1.08,0.64,0.0,0
43865,14.36,0.13,1078,0.00,0.00,16,14.10,15.50,5.08,4.88,-1.08,0.64,0.0,0
44069,14.59,0.14,1091,0.00,0.00,16,14.10,13.00,5.08,4.95,-1.08,0.64,0.0,0
44267,14.59,0.14,1080,0.00,0.00,16,14.10,15.50,5.08,4.95,-1.08,0.64,0.0,0
44469,14.47,0.14,1094,0.00,0.00,16,14.10,13.00,5.08,5.01,-1.08,0.64,0.0,0
44665,14.24,0.14,1090,0.00,0.00,16,14.10,13.50,5.08,4.97,-1.08,0.64,0.0,0
44865,14.36,0.14,1093,0.00,0.00,16,14.10,14.00,5.08,5.01,-1.08,0.64,0.0,0
45063,14.59,0.14,1084,0.00,0.00,16,14.10,14.00,5.08,5.14,-1.08,0.64,0.0,0
45273,14.59,0.14,1079,0.00,0.00,16,14.10,14.50,5.22,5.08,-1.08,0.64,0.0,0
45465,14.47,0.14,1083,0.00,0.00,16,14.10,14.00,5.22,5.17,-1.08,0.64,0.0,0
45663,14.24,0.14,1077,0.00,0.00,16,14.10,14.50,5.22,5.14,-1.08,0.64,0.0,0
45857,14.47,0.14,1090,0.00,0.00,16,14.10,13.00,5.22,5.14,-1.08,0.64,0.0,0
46061,14.59,0.14,1090,0.00,0.00,16,14.10,13.00,5.22,5.14,-1.08,0.64,0.0,0
46260,14.70,0.14,1099,0.00,0.00,16,14.10,12.50,5.22,5.14,-1.08,0.64,0.0,0
46456,14.59,0.14,1106,0.00,0.00,16,14.10,12.00,5.22,5.17,-1.08,0.64,0.0,0
46654,14.70,0.14,1107,0.00,0.00,16,14.10,12.50,5.22,5.14,-1.08,0.64,0.0,0
46858,14.47,0.14,1108,0.00,0.00,16,14.10,13.00,5.22,5.17,-1.08,0.64,0.0,0
47056,14.47,0.14,1100,0.00,0.00,16,14.10,14.00,5.22,5.17,-1.08,0.64,0.0,0
47257,14.47,0.14,1102,0.00,0.00,16,14.10,14.00,5.22,5.14,-1.08,0.64,0.0,0
47453,14.47,0.14,1109,0.00,0.00,16,14.10,13.00,5.08,5.10,-1.08,0.64,0.0,0
47651,14.59,0.14,1103,0.00,0.00,16,14.10,14.00,5.08,5.14,-1.08,0.64,0.0,0
47851,14.36,0.14,1114,0.00,0.00,16,14.10,13.00,5.08,5.08,-1.08,0.64,0.0,0
48051,14.36,0.14,1111,0.00,0.00,16,14.10,13.00,5.08,5.08,-1.08,0.64,0.0,0
48251,14.24,0.14,1106,0.00,0.00,16,14.10,13.50,5.08,5.04,-1.08,0.64,0.0,0
48451,14.36,0.14,1104,0.00,0.00,16,14.10,14.00,5.08,5.04,-1.08,0.64,0.0,0
48646,14.47,0.14,1098,0.00,0.00,16,14.10,14.00,5.08,5.08,-1.08,0.64,0.0,0
48844,14.59,0.14,1103,0.00,0.00,16,14.10,14.00,5.08,5.08,-1.08,0.64,0.0,0
49043,14.59,0.14,1094,0.00,0.00,16,14.10,15.50,5.08,5.01,-1.08,0.64,0.0,0
49243,14.59,0.14,1079,0.00,0.00,16,14.10,15.00,5.22,4.97,-1.08,0.64,0.0,0
49441,14.70,0.14,1091,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.08,0.64,0.0,0
49640,14.81,0.14,1089,0.00,0.00,16,14.10,15.50,5.22,4.95,-1.08,0.64,0.0,0
49839,14.81,0.14,1094,0.00,0.00,16,14.10,15.00,5.22,5.01,-1.08,0.64,0.0,0
50042,14.81,0.14,1078,0.00,0.00,16,14.10,13.50,5.22,5.01,-1.08,0.64,0.0,0
50241,14.93,0.14,1079,0.00,0.00,16,14.10,14.50,5.22,5.01,-1.08,0.64,0.0,0
50441,14.93,0.14,1100,0.00,0.00,16,14.10,13.00,5.08,5.01,-1.08,0.64,0.0,0
50635,14.93,0.14,1089,0.00,0.00,16,14.10,14.00,5.22,5.04,-1.08,0.64,0.0,0
50838,14.70,0.14,1088,0.00,0.00,16,14.10,14.00,5.08,5.08,-1.08,0.64,0.0,0
51038,14.47,0.14,1096,0.00,0.00,16,14.10,13.50,5.08,5.01,-1.08,0.64,0.0,0
51236,14.47,0.14,1090,0.00,0.00,16,14.10,14.00,5.08,5.08,-1.08,0.64,0.0,0
