Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),CL/OL Fueling* (status),Primary Open Loop Map Enrichment* (estimated AFR),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
2937,14.70,0.13,900,0.00,0.00,16,14.10,16.50,4.79,3.80,-1.08,0.64,8,14.70,0,0.0
3156,14.70,0.12,906,0.00,0.00,16,14.10,16.50,4.93,3.70,-1.08,0.64,8,14.70,0,0.0
3391,14.81,0.12,911,0.00,0.00,16,14.10,15.00,4.93,3.70,-1.08,0.64,8,14.70,0,0.0
3609,14.81,0.12,905,0.00,0.00,16,14.10,14.50,4.93,3.73,-1.08,0.64,8,14.70,0,0.0
3828,14.70,0.12,912,0.00,0.00,16,14.10,14.00,4.93,3.70,-1.08,0.64,8,14.70,0,0.0
4063,14.36,0.12,907,0.00,0.00,16,14.10,14.00,4.93,3.73,-1.08,0.64,8,14.70,0,0.0
4281,14.47,0.12,908,0.00,0.00,16,14.10,14.00,4.93,3.73,-1.08,0.64,8,14.70,0,0.0
4516,14.47,0.12,892,0.00,0.00,16,14.10,14.00,4.93,3.75,-1.08,0.64,8,14.70,0,0.0
4734,14.47,0.12,902,0.00,0.00,16,14.10,14.00,4.93,3.75,-1.08,0.64,8,14.70,0,0.0
4969,14.59,0.12,912,0.00,0.00,16,14.10,13.00,4.93,3.75,-1.08,0.64,8,14.70,0,0.0
5187,14.70,0.12,911,0.00,0.00,16,14.10,13.50,4.93,3.75,-1.08,0.64,8,14.70,0,0.0
5422,14.70,0.12,910,0.00,0.00,16,14.10,13.00,4.93,3.75,-1.08,0.64,8,14.70,0,0.0
5641,14.59,0.13,891,0.00,0.00,16,14.10,14.00,4.93,3.75,-1.08,0.64,8,14.70,0,0.0
5875,14.59,0.12,900,0.00,0.00,16,14.10,14.00,4.93,3.75,-1.08,0.64,8,14.70,0,0.0
6094,14.70,0.13,892,0.00,0.00,16,14.10,15.50,4.93,3.80,-1.08,0.64,8,14.70,0,0.0
6312,14.47,0.13,902,0.00,0.00,16,14.10,14.00,4.93,3.80,-1.08,0.64,8,14.70,0,0.0
6547,14.47,0.13,903,0.00,0.00,16,14.10,13.50,4.93,3.78,-1.08,0.64,8,14.70,0,0.0
6765,14.47,0.13,902,0.00,0.00,16,14.10,14.00,4.93,3.78,-1.08,0.64,8,14.70,0,0.0
7000,14.36,0.13,894,0.00,0.00,16,14.10,15.00,4.93,3.80,-1.08,0.64,8,14.70,0,0.0
7219,14.47,0.13,888,0.00,0.00,16,14.10,15.50,4.93,3.85,-1.08,0.64,8,14.70,0,0.0
7453,14.47,0.13,892,0.00,0.00,16,14.10,14.00,5.08,3.80,-1.08,0.64,8,14.70,0,0.0
7672,14.36,0.13,904,0.00,0.00,16,14.10,14.00,5.08,3.80,-1.08,0.64,8,14.70,0,0.0
7906,14.47,0.13,899,0.00,0.00,16,14.10,13.50,5.08,3.83,-1.08,0.64,8,14.70,0,0.0
8125,14.59,0.13,895,0.00,0.00,16,14.10,13.00,5.08,3.83,-1.08,0.64,8,14.70,0,0.0
8359,14.81,0.13,872,0.00,0.00,16,14.10,16.50,5.08,3.85,-1.08,0.64,8,14.70,0,0.0
8578,14.93,0.14,846,0.00,0.00,16,14.10,17.50,5.22,4.02,-1.08,0.64,8,14.70,0,0.0
8797,15.04,0.15,832,0.00,0.00,16,14.10,19.00,5.51,4.26,-1.08,0.64,8,14.70,0,0.0
9031,15.04,0.15,891,0.00,0.00,16,14.10,13.50,5.66,4.46,-1.08,0.64,8,14.70,0,0.0
9250,14.93,0.15,918,0.00,0.00,16,14.10,9.50,5.66,4.40,-1.08,0.66,8,14.70,0,0.6
9484,14.70,0.17,933,0.00,0.00,16,14.80,14.00,6.09,5.43,-1.08,0.70,8,14.70,0,0.0
9703,14.36,0.18,986,0.00,0.00,16,16.91,16.00,6.24,5.78,-1.08,0.72,8,14.70,0,0.6
9937,13.90,0.20,1108,0.00,0.00,16,20.78,19.50,6.67,7.10,-1.08,0.76,8,14.70,0,0.0
12994,12.52,0.11,1263,0.00,0.00,16,14.10,22.00,3.63,4.75,-1.39,0.64,8,14.70,0,0.0
13213,12.29,0.12,1172,0.00,0.00,16,14.10,22.00,3.77,4.64,-1.08,0.64,8,14.70,0,0.0
13447,12.63,0.13,1088,0.00,0.00,16,14.10,22.00,3.92,4.55,-1.08,0.64,8,14.70,0,0.0
13682,12.63,0.13,1032,0.00,0.00,16,14.10,22.00,3.92,4.48,-1.08,0.64,8,14.70,0,0.0
13885,12.29,0.13,1021,0.00,0.00,16,14.10,22.00,4.06,4.29,-1.08,0.64,8,14.70,0,0.0
14119,11.94,0.13,1003,0.00,0.00,16,14.10,22.00,4.21,4.15,-1.08,0.64,8,14.70,0,0.0
14338,11.94,0.13,936,0.00,0.00,16,14.10,22.00,4.21,4.04,-1.08,0.64,8,14.70,0,0.0
14572,12.06,0.13,886,0.00,0.00,16,14.10,22.00,4.50,3.72,-1.08,0.64,8,14.70,0,0.0
14806,12.29,0.13,854,0.00,0.00,16,14.10,22.00,4.64,3.65,-1.08,0.64,8,14.70,0,0.0
15025,12.40,0.14,789,0.00,0.00,16,14.10,22.00,4.93,3.73,-1.08,0.64,8,14.70,0,0.0
15244,13.21,0.15,810,0.00,0.00,16,14.10,22.00,5.37,4.10,-1.08,0.64,8,14.70,0,0.0
15478,13.90,0.15,865,0.00,0.00,16,14.10,18.00,5.66,4.29,-1.08,0.64,8,14.70,0,0.0
15697,14.70,0.16,821,0.00,0.00,16,14.10,18.50,5.66,4.35,-1.08,0.64,8,14.70,0,0.0
15931,16.08,0.16,878,0.00,0.00,16,14.10,14.00,5.95,4.57,-1.08,0.64,8,14.70,0,0.0
16181,16.42,0.15,902,0.00,0.00,16,14.10,11.00,5.80,4.48,-1.08,0.64,8,14.70,0,0.0
16416,16.88,0.15,886,0.00,0.00,16,14.10,13.00,5.66,4.46,-1.08,0.64,8,14.70,0,0.0
16635,17.00,0.15,934,0.00,0.00,16,14.10,9.50,5.66,4.66,-1.08,0.64,8,14.70,0,0.0
16853,17.00,0.14,943,0.00,0.00,16,14.10,8.50,5.66,4.46,-1.08,0.64,8,14.70,0,0.0
17088,16.54,0.14,938,0.00,0.00,16,14.10,11.00,5.51,4.43,-1.08,0.64,8,14.70,0,0.0
17306,16.08,0.14,941,0.00,0.00,16,14.10,10.00,5.51,4.48,-1.08,0.64,8,14.70,0,0.0
17540,15.96,0.16,970,0.00,0.00,16,14.10,10.00,5.66,5.08,-1.08,0.68,8,14.70,0,0.0
17759,15.50,0.15,1042,0.00,0.00,16,15.51,14.50,5.80,5.01,-1.08,0.68,8,14.70,0,0.0
17993,15.39,0.16,1050,0.00,0.00,16,17.62,16.50,5.66,5.49,-1.08,0.72,8,14.70,0,0.6
18212,15.39,0.18,1130,0.00,0.00,16,20.78,19.00,6.09,6.88,-1.08,0.74,8,14.70,0,0.0
18446,15.16,0.20,1208,0.00,0.00,16,22.19,21.00,6.53,7.74,-1.39,0.78,8,14.70,0,0.6
18665,14.70,0.22,1343,0.00,0.00,16,25.00,25.00,6.96,9.39,-1.39,0.80,8,14.70,0,0.0
18884,14.70,0.20,1405,0.00,0.00,16,26.05,25.50,6.96,9.53,-1.39,0.80,8,14.70,0,0.0
19118,14.81,0.20,1438,0.00,0.00,16,26.76,26.50,6.96,9.70,-1.39,0.80,8,14.70,0,0.0
19337,15.27,0.20,1455,0.00,0.00,16,26.76,26.50,6.96,9.93,-1.39,0.80,8,14.70,0,0.0
19571,15.04,0.20,1472,0.00,0.00,16,27.11,27.00,6.96,9.79,-1.39,0.80,8,14.70,0,0.0
19790,14.93,0.20,1449,0.00,0.00,16,26.76,26.50,6.96,9.84,-1.39,0.82,8,14.70,0,0.0
20024,14.81,0.20,1432,0.00,0.00,16,26.41,26.00,7.11,9.61,-1.39,0.80,8,14.70,0,0.0
20243,14.70,0.21,1400,0.00,0.00,16,26.41,26.00,7.11,10.03,-1.39,0.80,8,14.70,0,0.0
20477,14.70,0.22,1371,0.00,0.00,16,26.05,26.00,7.25,10.08,-1.39,0.80,8,14.70,0,0.0
20696,14.47,0.23,1299,0.00,0.00,16,26.05,26.00,7.40,10.03,-1.39,0.80,8,14.70,0,0.0
20915,14.59,0.24,1228,0.00,0.00,16,26.05,26.50,7.69,9.93,-1.39,0.76,8,14.70,0,-0.6
21149,14.24,0.15,1260,0.00,0.00,16,16.91,26.00,5.66,3.53,-1.08,0.64,8,14.70,0,0.0
21368,13.09,0.10,1302,0.00,0.00,16,14.10,10.50,4.21,3.50,-1.39,0.64,8,14.70,0,0.0
21602,12.52,0.10,1200,0.00,0.00,16,14.10,21.00,3.92,4.02,-1.39,0.64,8,14.70,0,0.0
21821,12.29,0.11,1164,0.00,0.00,16,14.10,22.00,3.92,4.10,-1.08,0.64,8,14.70,0,0.0
22055,12.75,0.11,1095,0.00,0.00,16,14.10,22.00,3.92,4.10,-1.08,0.64,8,14.70,0,0.0
22274,13.09,0.12,1061,0.00,0.00,16,14.10,22.00,3.92,4.07,-1.08,0.64,8,14.70,0,0.0
22508,13.09,0.12,1031,0.00,0.00,16,14.10,22.00,4.06,3.99,-1.08,0.64,8,14.70,0,0.0
22727,12.75,0.13,1013,0.00,0.00,16,14.10,22.00,4.06,4.13,-1.08,0.66,8,14.70,0,0.0
22946,12.52,0.14,1020,0.00,0.00,16,14.10,22.00,4.64,4.79,-1.08,0.68,8,14.70,0,0.0
23180,12.52,0.15,1090,0.00,0.00,16,15.16,15.00,4.93,5.43,-1.08,0.70,8,14.70,0,0.0
23399,12.63,0.16,1135,0.00,0.00,16,17.62,17.00,5.51,6.18,-1.08,0.74,8,14.70,0,0.0
23633,13.44,0.19,1163,0.00,0.00,16,21.48,20.00,6.09,7.14,-1.08,0.76,8,14.70,0,0.0
23852,14.70,0.20,1194,0.00,0.00,16,21.84,21.50,6.82,8.14,-1.39,0.78,8,14.70,0,0.0
24086,15.62,0.22,1146,0.00,0.00,16,23.95,23.50,7.11,8.52,-1.08,0.78,8,14.70,0,0.0
24305,15.62,0.22,1161,0.00,0.00,16,24.30,23.50,7.55,8.69,-1.08,0.78,8,14.70,0,0.0
24524,15.50,0.22,1181,0.00,0.00,16,24.30,24.50,7.69,8.91,-1.08,0.78,8,14.70,0,0.0
24758,15.73,0.22,1231,0.00,0.00,16,24.30,24.00,7.69,9.00,-1.39,0.78,8,14.70,0,0.0
24977,15.73,0.22,1284,0.00,0.00,16,24.65,25.00,7.55,9.26,-1.39,0.78,8,14.70,0,0.0
25211,15.62,0.21,1328,0.00,0.00,16,24.65,24.50,7.25,9.18,-1.39,0.80,8,14.70,0,0.0
25430,15.27,0.20,1397,0.00,0.00,16,25.35,25.00,7.11,9.31,-1.39,0.80,8,14.70,0,0.0
25664,15.04,0.20,1459,0.00,0.00,16,26.41,26.00,6.96,9.44,-1.39,0.80,8,14.70,0,0.0
25883,14.93,0.19,1489,0.00,0.00,16,27.11,26.50,6.82,9.56,-1.39,0.80,8,14.70,0,0.0
26118,14.81,0.19,1543,0.00,0.00,16,28.16,28.00,6.82,9.84,-1.39,0.80,8,14.70,0,0.0
26336,14.70,0.20,1621,0.00,0.00,16,29.92,29.50,6.82,10.85,-1.39,0.82,8,14.70,0,0.0
26571,14.47,0.21,1664,0.00,0.00,16,31.33,30.50,6.96,11.40,-1.39,0.86,8,14.70,0,0.0
26789,14.47,0.30,1772,0.00,0.00,16,34.49,32.50,7.55,15.13,-1.39,0.96,8,14.70,0,0.0
27008,13.90,0.32,1846,0.00,0.00,16,37.30,37.00,9.58,19.89,-0.77,1.00,8,14.70,0,0.0
27243,14.36,0.29,2012,0.00,0.00,16,40.12,39.00,9.72,19.74,-0.77,1.00,8,14.70,0,0.0
27461,15.27,0.29,2127,0.00,0.00,16,41.52,41.50,9.43,20.50,-0.77,1.00,10,14.66,0,0.0
27696,15.16,0.30,2282,0.00,0.00,16,43.28,43.00,9.43,22.31,-1.39,1.00,10,14.61,0,0.0
27914,14.81,0.30,2397,0.00,0.00,16,44.69,44.50,9.58,24.23,-1.70,1.00,10,14.57,0,0.0
28149,14.81,0.30,2522,0.00,0.00,16,44.34,44.50,9.29,25.30,-2.32,1.00,10,14.56,0,0.0
28367,14.81,0.28,2704,0.00,0.00,16,44.34,44.00,9.00,25.01,-2.63,0.98,10,14.54,0,0.0
28586,14.59,0.25,2802,0.00,0.00,16,44.34,44.00,7.84,22.58,-4.18,0.90,10,14.49,0,-0.6
28821,12.98,0.19,2864,0.00,0.00,16,35.90,44.00,6.53,16.96,-4.18,0.80,10,14.47,0,-0.6
29055,12.17,0.15,2894,0.00,0.00,16,8.12,11.50,5.37,14.08,-4.18,0.78,10,14.47,0,-0.6
29274,12.75,0.13,2822,0.00,0.00,16,0.74,1.50,4.64,12.10,-4.18,0.74,10,14.47,0,0.0
29492,13.21,0.13,2767,0.00,0.00,16,-1.37,-1.00,4.21,11.45,-4.18,0.68,10,14.47,0,0.0
29727,12.98,0.11,2693,0.00,0.00,16,-9.45,-9.50,3.63,10.27,-4.18,0.64,10,14.47,0,0.0
29946,15.39,0.12,2613,0.00,0.00,16,-10.16,-10.50,3.92,10.47,-3.87,0.68,10,14.47,0,0.0
30180,22.05,0.15,2489,0.00,0.00,16,-5.59,-8.00,4.21,11.40,-3.56,0.72,10,14.47,0,0.0
30399,14.81,0.15,2444,0.00,0.00,16,7.42,4.50,4.64,12.58,-3.25,0.78,10,14.47,0,0.0
30633,11.94,0.10,2324,0.00,0.00,16,-2.42,-2.50,3.63,7.74,-2.63,0.64,10,14.51,0,0.0
30852,12.98,0.10,2243,0.00,0.00,16,15.51,15.50,3.63,8.35,-2.63,0.64,10,14.56,0,0.0
31086,14.81,0.11,2179,0.00,0.00,16,13.05,15.00,3.77,7.78,-2.32,0.68,10,14.59,0,0.0
31305,20.67,0.12,2116,0.00,0.00,16,16.56,15.50,3.77,8.52,-2.01,0.70,10,14.63,0,0.0
31524,20.56,0.11,2058,0.00,0.00,16,21.48,22.00,3.77,7.70,-1.70,0.72,10,14.66,0,0.0
31758,13.09,0.11,2025,0.00,0.00,16,28.52,26.00,3.77,7.78,-1.70,0.72,10,14.68,0,0.0
31977,11.71,0.11,2032,0.00,0.00,16,30.98,29.00,3.77,7.33,-1.70,0.72,8,14.70,0,0.0
32195,11.83,0.10,1990,0.00,0.00,16,32.73,32.50,3.77,7.33,-1.39,0.72,8,14.70,0,0.0
32430,12.52,0.11,1946,0.00,0.00,16,32.38,32.00,3.77,7.41,-1.39,0.72,8,14.70,0,0.0
32648,13.21,0.11,1928,0.00,0.00,16,31.68,31.50,3.77,7.24,-1.39,0.72,8,14.70,0,0.0
32883,14.36,0.11,1910,0.00,0.00,16,31.68,31.50,3.77,7.21,-1.39,0.72,8,14.70,0,0.0
33102,14.93,0.11,1874,0.00,0.00,16,30.98,30.50,3.77,7.10,-1.39,0.72,8,14.70,0,0.0
33336,15.50,0.10,1833,0.00,0.00,16,30.27,30.50,3.77,6.37,-1.39,0.68,8,14.70,0,0.0
33555,15.85,0.10,1814,0.00,0.00,16,26.41,28.00,3.48,6.07,-1.39,0.68,10,14.70,0,0.0
33789,16.31,0.11,1692,0.00,0.00,16,20.78,22.00,3.48,6.07,-1.39,0.68,10,14.70,0,0.0
34008,18.95,0.11,1673,0.00,0.00,16,16.91,18.50,3.92,5.94,-1.39,0.68,10,14.70,0,0.0
34242,20.67,0.10,1551,0.00,0.00,16,14.10,14.00,4.21,5.68,-1.39,0.64,10,14.70,0,0.0
34461,22.28,0.10,1398,0.00,0.00,16,14.10,14.00,3.92,4.69,-1.39,0.64,10,14.70,0,0.0
34680,22.51,0.11,1202,0.00,0.00,16,14.10,22.00,3.92,4.69,-1.39,0.64,10,14.70,0,0.0
34914,22.39,0.11,1193,0.00,0.00,16,14.10,22.00,3.77,4.35,-1.39,0.64,10,14.70,0,0.0
35133,22.39,0.11,1142,0.00,0.00,16,14.10,22.00,3.77,4.24,-1.08,0.64,10,14.70,0,0.0
35367,21.94,0.12,1057,0.00,0.00,16,14.10,22.00,3.92,4.15,-1.08,0.64,10,14.70,0,0.0
35586,17.11,0.12,1017,0.00,0.00,16,14.10,22.00,4.06,4.13,-1.08,0.64,10,14.70,0,0.0
35820,13.67,0.12,992,0.00,0.00,16,14.10,22.00,4.21,4.10,-1.08,0.64,8,14.70,0,0.0
36039,12.40,0.12,977,0.00,0.00,16,14.10,22.00,4.35,3.82,-1.08,0.64,8,14.70,0,0.0
36273,12.06,0.12,956,0.00,0.00,16,14.10,22.00,4.35,3.72,-1.08,0.64,8,14.70,0,0.0
36492,12.06,0.12,939,0.00,0.00,16,14.10,22.00,4.50,3.70,-1.08,0.64,8,14.70,0,0.0
36726,12.17,0.12,916,0.00,0.00,16,14.10,22.00,4.50,3.58,-1.08,0.64,8,14.70,0,0.0
36945,12.63,0.12,872,0.00,0.00,16,14.10,22.00,4.64,3.62,-1.08,0.64,8,14.70,0,0.0
37179,13.09,0.12,875,0.00,0.00,16,14.10,22.00,4.79,3.62,-1.08,0.64,8,14.70,0,0.0
37398,13.90,0.12,896,0.00,0.00,16,14.10,20.00,4.79,3.58,-1.08,0.64,8,14.70,0,0.0
37631,14.24,0.15,870,0.00,0.00,16,14.10,21.00,4.93,4.21,-1.08,0.66,8,14.70,0,0.0
37850,14.70,0.16,988,0.00,0.00,16,15.16,14.00,5.51,5.10,-1.08,0.70,8,14.70,0,0.0
38069,14.93,0.18,1061,0.00,0.00,16,17.62,16.50,6.09,6.44,-1.08,0.74,8,14.70,0,0.6
38303,15.04,0.20,1144,0.00,0.00,16,21.13,20.00,6.53,7.33,-1.08,0.76,8,14.70,0,0.0
38522,15.39,0.23,1189,0.00,0.00,16,25.35,24.00,7.11,9.26,-1.08,0.80,8,14.70,0,0.6
38756,15.73,0.25,1184,0.00,0.00,16,26.41,26.00,7.84,9.61,-1.08,0.80,8,14.70,0,0.0
38975,15.50,0.25,1158,0.00,0.00,16,27.11,27.00,8.27,9.70,-1.08,0.80,8,14.70,0,0.0
39209,15.39,0.25,1201,0.00,0.00,16,27.11,27.00,8.56,10.03,-1.08,0.80,8,14.70,0,0.0
39428,15.62,0.24,1268,0.00,0.00,16,26.76,26.50,8.42,9.99,-1.39,0.80,8,14.70,0,0.0
39647,15.73,0.23,1324,0.00,0.00,16,26.41,26.00,7.98,10.08,-1.39,0.82,8,14.70,0,0.0
39881,15.62,0.22,1414,0.00,0.00,16,26.76,26.50,7.69,10.17,-1.39,0.82,8,14.70,0,0.0
40100,14.93,0.21,1476,0.00,0.00,16,27.46,27.00,7.25,9.61,-1.39,0.78,8,14.70,0,0.0
40334,14.70,0.15,1510,0.00,0.00,16,26.41,26.00,5.95,6.26,-1.39,0.70,8,14.70,0,0.0
40569,13.67,0.12,1493,0.00,0.00,16,23.95,25.00,4.93,5.08,-1.39,0.68,8,14.70,0,0.0
40787,13.09,0.10,1432,0.00,0.00,16,19.73,18.00,4.21,4.73,-1.39,0.68,8,14.70,0,0.0
41006,13.21,0.10,1450,0.00,0.00,16,16.21,13.50,4.06,4.95,-1.39,0.68,8,14.70,0,0.0
41241,13.67,0.11,1408,0.00,0.00,16,14.10,16.00,3.92,5.08,-1.39,0.68,8,14.70,0,0.0
41459,14.01,0.11,1377,0.00,0.00,16,14.10,18.50,3.92,5.10,-1.39,0.68,8,14.70,0,0.0
41694,14.01,0.11,1389,0.00,0.00,16,14.10,15.50,3.92,5.04,-1.39,0.68,8,14.70,0,0.0
41912,13.67,0.11,1363,0.00,0.00,16,14.10,16.50,3.92,5.01,-1.39,0.68,8,14.70,0,0.0
42131,13.21,0.11,1359,0.00,0.00,16,14.10,17.50,3.77,4.32,-1.39,0.64,8,14.70,0,0.0
42366,13.32,0.10,1324,0.00,0.00,16,14.10,17.50,3.48,4.46,-1.39,0.64,8,14.70,0,0.0
42584,13.21,0.11,1312,0.00,0.00,16,14.10,19.50,3.48,4.88,-1.39,0.66,10,14.70,0,0.0
42818,13.21,0.12,1293,0.00,0.00,16,14.10,19.50,3.77,5.46,-1.39,0.68,8,14.70,0,0.0
43037,12.75,0.13,1296,0.00,0.00,16,14.10,18.50,3.92,5.46,-1.39,0.68,8,14.70,0,0.0
43256,12.29,0.13,1297,0.00,0.00,16,14.10,16.50,4.06,5.46,-1.39,0.68,8,14.70,0,0.0
43490,11.94,0.13,1294,0.00,0.00,16,14.80,17.50,4.21,5.52,-1.39,0.68,8,14.70,0,0.0
43709,12.17,0.13,1288,0.00,0.00,16,15.16,14.50,4.21,5.43,-1.39,0.68,8,14.70,0,0.0
43943,12.75,0.13,1286,0.00,0.00,16,17.62,17.00,4.21,5.40,-1.39,0.68,8,14.70,0,0.0
44162,13.44,0.13,1288,0.00,0.00,16,20.08,19.00,4.35,5.40,-1.39,0.68,8,14.70,0,0.0
44396,13.78,0.12,1297,0.00,0.00,16,22.54,21.50,4.35,5.43,-1.39,0.68,8,14.70,0,0.0
44615,14.47,0.13,1299,0.00,0.00,16,22.89,22.50,4.35,5.46,-1.39,0.70,8,14.70,0,0.0
44850,14.59,0.12,1310,0.00,0.00,16,23.24,23.00,4.50,5.46,-1.39,0.70,8,14.70,0,0.0
45068,14.81,0.13,1312,0.00,0.00,16,22.89,22.50,4.50,5.46,-1.39,0.70,8,14.70,0,0.0
45303,15.04,0.12,1329,0.00,0.00,16,23.24,23.00,4.50,5.43,-1.39,0.70,8,14.70,0,0.0
45522,15.27,0.12,1329,0.00,0.00,16,23.24,23.00,4.35,5.40,-1.39,0.70,8,14.70,0,0.0
45756,15.39,0.12,1316,0.00,0.00,16,23.24,23.00,4.35,5.46,-1.39,0.70,8,14.70,0,0.0
45975,15.50,0.12,1352,0.00,0.00,16,23.59,23.00,4.35,5.46,-1.39,0.70,8,14.70,0,0.0
46209,15.39,0.12,1332,0.00,0.00,16,23.59,23.00,4.35,5.40,-1.39,0.70,8,14.70,0,0.0
46428,15.39,0.12,1318,0.00,0.00,16,23.24,23.00,4.35,5.46,-1.39,0.70,8,14.70,0,0.0
46646,15.27,0.12,1313,0.00,0.00,16,23.24,23.00,4.35,5.40,-1.39,0.70,8,14.70,0,0.0
46881,15.27,0.13,1312,0.00,0.00,16,22.89,23.00,4.50,5.46,-1.39,0.70,8,14.70,0,0.0
47100,15.16,0.13,1277,0.00,0.00,16,22.54,22.50,4.50,5.33,-1.39,0.70,8,14.70,0,0.0
47334,15.16,0.13,1236,0.00,0.00,16,22.19,22.00,4.64,5.30,-1.39,0.70,8,14.70,0,0.0
47553,14.93,0.13,1225,0.00,0.00,16,21.84,22.00,4.64,5.27,-1.39,0.70,8,14.70,0,0.0
47787,14.81,0.13,1206,0.00,0.00,16,21.48,21.00,4.93,5.21,-1.08,0.70,8,14.70,0,0.0
48006,14.81,0.13,1171,0.00,0.00,16,21.13,21.00,5.08,5.23,-1.08,0.70,8,14.70,0,0.0
48240,14.81,0.14,1160,0.00,0.00,16,21.13,21.00,5.08,5.27,-1.08,0.70,8,14.70,0,0.0
48459,14.81,0.14,1144,0.00,0.00,16,20.78,20.50,5.22,5.21,-1.08,0.70,8,14.70,0,0.0
48678,14.81,0.14,1144,0.00,0.00,16,21.13,21.00,5.37,5.23,-1.08,0.70,8,14.70,0,0.0
48912,14.81,0.14,1166,0.00,0.00,16,21.13,21.00,5.37,5.23,-1.08,0.70,8,14.70,0,0.0
49131,15.16,0.13,1171,0.00,0.00,16,21.13,21.00,5.22,5.21,-1.08,0.70,8,14.70,0,0.0
49365,15.50,0.13,1208,0.00,0.00,16,21.84,21.00,5.08,5.21,-1.39,0.70,8,14.70,0,0.0
49584,15.85,0.13,1264,0.00,0.00,16,22.19,22.00,4.93,5.23,-1.39,0.70,8,14.70,0,0.0
49818,15.96,0.12,1305,0.00,0.00,16,22.89,22.50,4.64,5.23,-1.39,0.70,8,14.70,0,0.0
50037,15.85,0.11,1399,0.00,0.00,16,23.95,23.50,4.50,5.30,-1.39,0.70,8,14.70,0,0.0
50271,15.62,0.11,1422,0.00,0.00,16,24.65,24.00,4.35,5.23,-1.39,0.70,8,14.70,0,0.0
50490,15.50,0.10,1545,0.00,0.00,16,25.70,25.50,4.21,4.91,-1.39,0.70,8,14.70,0,0.0
50709,15.27,0.10,1610,0.00,0.00,16,26.76,26.00,4.06,5.40,-1.39,0.70,8,14.70,0,0.0
50943,15.16,0.10,1672,0.00,0.00,16,27.81,27.00,3.77,5.43,-1.39,0.68,8,14.70,0,0.0
51162,15.04,0.10,1755,0.00,0.00,16,29.22,28.50,3.48,5.78,-1.39,0.68,10,14.70,0,0.0
51396,14.70,0.09,1782,0.00,0.00,16,20.08,21.50,3.19,5.10,-1.39,0.64,10,14.70,0,0.0
51615,15.04,0.08,1820,0.00,0.00,16,14.10,14.00,3.19,4.95,-1.39,0.64,10,14.70,0,0.0
51849,17.23,0.07,1790,0.00,0.00,16,14.10,14.00,3.34,4.51,-1.39,0.64,10,14.70,0,0.0
52068,20.33,0.08,1814,0.00,0.00,16,14.10,14.00,3.34,4.97,-1.39,0.64,10,14.70,0,0.0
52302,22.51,0.10,1836,0.00,0.00,16,16.56,16.00,3.77,6.15,-1.39,0.70,10,14.70,0,0.0
52537,22.74,0.10,1857,0.00,0.00,16,21.48,20.00,3.48,6.15,-1.39,0.70,10,14.70,0,0.6
52755,21.94,0.10,1940,0.00,0.00,16,26.76,26.00,3.48,6.22,-1.39,0.70,10,14.70,0,-0.6
