Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Defogger Switch (On/Off)
5298,-0.78,-4.69,14.81,8,0.25,823,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
5370,-0.78,-4.69,14.81,8,0.25,832,0.00,0.00,16,14.70,9.88,8.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
5438,-0.78,-4.69,14.70,8,0.25,826,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
5510,0.00,-4.69,14.70,8,0.25,825,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
5586,0.00,-4.69,14.81,8,0.25,815,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
5652,0.00,-4.69,14.81,8,0.25,819,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
5724,0.00,-4.69,14.81,8,0.25,818,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
5796,0.00,-4.69,14.81,8,0.25,819,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.24,0.00,-9.57,0
5865,-0.78,-4.69,14.81,8,0.25,824,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.42,1.26,0.00,-9.57,0
5937,0.00,-4.69,14.59,8,0.25,824,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
6009,-0.78,-4.69,14.59,8,0.25,822,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.28,0.00,-9.61,0
6081,-0.78,-4.69,14.59,8,0.25,823,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.24,0.00,-9.59,0
6145,-0.78,-4.69,14.59,8,0.25,820,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.63,0
6221,-0.78,-4.69,14.59,8,0.26,804,0.00,0.00,16,14.70,9.88,11.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
6289,-0.78,-4.69,14.47,8,0.25,811,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
6362,-0.78,-4.69,14.59,8,0.25,815,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
6435,-0.78,-4.69,14.47,8,0.25,826,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.24,0.00,-9.61,0
6500,-0.78,-4.69,14.47,8,0.26,812,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
6577,-0.78,-4.69,14.59,8,0.25,817,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
6643,-0.78,-4.69,14.59,8,0.25,821,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.42,1.26,0.00,-9.57,0
6715,-0.78,-4.69,14.70,8,0.25,826,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.45,1.24,0.00,-9.61,0
6783,0.00,-4.69,14.59,8,0.25,815,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
6859,0.00,-4.69,14.70,8,0.25,820,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.40,1.26,0.00,-9.63,0
6927,0.00,-4.69,14.81,8,0.26,804,0.00,0.00,16,14.70,9.88,11.50,0.64,5.08,3.45,1.28,0.00,-9.59,0
6999,0.00,-4.69,14.70,8,0.26,808,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.24,0.00,-9.57,0
7063,0.00,-4.69,14.70,8,0.26,795,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.45,1.26,0.00,-9.48,0
7136,-0.78,-4.69,14.70,8,0.25,804,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.40,1.26,0.00,-9.46,0
7207,-0.78,-4.69,14.59,8,0.25,818,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.40,1.26,0.00,-9.46,0
7279,-0.78,-4.69,14.70,8,0.25,828,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.40,1.24,0.00,-9.46,0
7351,0.00,-4.69,14.59,8,0.26,794,0.00,0.00,16,14.70,9.88,11.50,0.64,5.22,3.40,1.26,0.00,-9.44,0
7423,0.00,-4.69,14.70,8,0.26,803,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.42,1.26,0.00,-9.46,0
7496,0.00,-4.69,14.70,8,0.26,806,0.00,0.00,16,14.70,9.88,10.50,0.64,5.22,3.45,1.26,0.00,-9.46,0
7568,0.00,-4.69,14.70,8,0.25,817,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.45,1.24,0.00,-9.46,0
7632,0.00,-4.69,14.81,8,0.25,821,0.00,0.00,16,14.70,9.88,9.00,0.64,5.22,3.45,1.26,0.00,-9.46,0
7708,0.00,-4.69,14.81,8,0.25,824,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.42,1.26,0.00,-9.48,0
7772,0.78,-4.69,14.93,8,0.25,822,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.42,1.26,0.00,-9.48,0
7847,0.78,-4.69,15.04,8,0.25,824,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.40,1.24,0.00,-9.49,0
7919,0.78,-4.69,15.04,8,0.25,832,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.40,1.24,0.00,-9.53,0
7991,1.56,-4.69,15.16,8,0.24,834,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.40,1.26,0.00,-9.55,0
8055,1.56,-4.69,15.16,8,0.25,834,0.00,0.00,16,14.70,9.88,8.00,0.64,5.08,3.40,1.26,0.00,-9.57,0
8135,1.56,-4.69,15.27,8,0.25,803,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.42,1.26,0.00,-9.55,0
8199,1.56,-4.69,15.27,8,0.25,818,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.42,1.24,0.00,-9.59,0
8269,1.56,-4.69,15.27,8,0.24,835,0.00,0.00,16,14.70,9.88,8.00,0.64,5.08,3.40,1.24,0.00,-9.59,0
8343,1.56,-4.69,15.27,8,0.25,833,0.00,0.00,16,14.70,9.88,8.00,0.64,5.08,3.40,1.26,0.00,-9.63,0
8412,2.34,-4.69,15.16,8,0.24,835,0.00,0.00,16,14.70,9.88,8.00,0.64,5.08,3.40,1.26,0.00,-9.63,0
8483,1.56,-4.69,15.27,8,0.25,840,0.00,0.00,16,14.70,9.88,7.50,0.64,5.08,3.45,1.26,0.00,-9.63,0
8555,2.34,-4.69,15.04,8,0.25,843,0.00,0.00,16,14.70,9.88,7.00,0.64,5.08,3.45,1.26,0.00,-9.63,0
8627,2.34,-4.69,15.16,8,0.25,844,0.00,0.00,16,14.70,9.88,7.50,0.66,5.08,3.58,1.26,0.00,-9.65,0
8691,2.34,-4.69,15.27,8,0.27,834,0.00,0.00,16,13.42,9.88,8.50,0.66,5.08,3.76,1.28,0.00,-9.55,0
8763,2.34,-4.69,15.04,8,0.29,836,0.00,0.00,16,13.54,9.88,8.50,0.68,5.22,3.99,1.34,0.00,-9.49,0
8835,2.34,-4.69,15.04,8,0.31,826,0.00,0.00,16,13.72,9.88,9.50,0.68,5.37,4.29,1.36,0.00,-9.32,0
8913,2.34,-4.69,15.04,8,0.31,838,0.00,0.00,16,14.69,9.88,8.00,0.70,5.51,4.49,1.36,0.00,-9.18,0
8981,2.34,-4.69,14.93,8,0.35,858,0.00,0.00,16,13.02,10.94,10.50,0.72,5.80,5.08,1.42,0.00,-8.88,0
9045,1.56,-4.69,14.81,8,0.38,870,0.00,0.00,16,13.26,11.64,11.50,0.72,6.09,5.65,1.46,0.00,-8.66,0
9117,1.56,-4.69,14.70,8,0.39,932,0.00,0.00,16,14.67,13.40,12.50,0.74,6.38,6.05,1.48,0.00,-8.35,0
9189,-0.78,-4.69,14.13,8,0.39,984,0.00,0.00,16,14.67,14.10,13.00,0.74,6.53,6.33,1.50,0.00,-8.04,0
9263,-2.34,-4.69,14.13,8,0.36,1034,0.00,0.00,16,14.68,15.51,14.50,0.74,6.67,6.44,1.52,0.00,-7.95,0
9331,-2.34,-4.69,13.55,8,0.36,1113,0.00,0.00,16,14.68,17.27,15.50,0.74,6.82,6.62,1.52,0.00,-7.91,0
9403,-3.12,-4.69,13.78,8,0.36,1138,0.00,0.00,16,14.68,19.02,17.00,0.76,6.82,6.77,1.52,0.00,-7.91,0
9475,-3.12,-4.69,13.55,8,0.37,1143,0.00,0.00,16,14.68,19.73,19.00,0.76,6.82,6.92,1.54,0.00,-7.85,0
9547,-2.34,-4.69,13.78,8,0.40,1118,0.00,0.00,16,13.65,21.48,20.00,0.76,6.96,7.46,1.56,0.00,-7.73,0
9619,-1.56,-4.69,14.36,8,0.41,1128,0.00,0.00,16,14.67,22.19,21.00,0.78,7.11,7.82,1.60,0.00,-7.60,0
9683,0.00,-4.69,14.70,8,0.43,1140,0.00,0.00,16,14.67,23.95,22.00,0.82,7.25,8.19,1.64,0.00,-7.43,0
9755,1.56,-4.69,15.04,8,0.49,1152,0.00,0.00,16,12.94,26.76,22.50,0.84,7.84,9.72,1.74,0.00,-6.88,0
9827,3.12,-4.69,15.39,8,0.54,1164,0.00,0.00,16,13.75,29.57,26.50,0.86,8.42,11.19,1.78,0.00,-6.25,0
9899,3.91,-4.69,15.73,8,0.53,1221,0.00,0.00,16,15.08,28.87,29.00,0.86,8.71,11.35,1.80,0.00,-5.92,0
9971,1.56,-4.69,15.96,8,0.50,1283,0.00,0.00,16,15.02,28.52,28.50,0.86,8.85,11.71,1.82,0.00,-5.84,0
10043,0.78,-4.69,15.04,8,0.49,1466,0.00,0.00,16,14.66,28.87,28.50,0.86,8.85,12.04,1.82,0.00,-5.88,0
10111,0.00,-4.69,14.70,8,0.48,1504,0.00,0.00,16,14.66,28.87,28.50,0.86,8.71,11.99,1.82,0.00,-5.96,0
10183,1.56,-4.69,14.70,8,0.47,1520,0.00,0.00,16,14.67,28.87,28.50,0.86,8.71,12.15,1.82,0.00,-6.05,0
10255,4.69,-4.69,14.81,8,0.47,1543,0.00,0.00,16,14.67,28.87,28.50,0.86,8.56,12.20,1.82,0.00,-6.09,0
10319,7.81,-4.69,15.50,8,0.48,1549,0.00,0.00,16,14.67,29.22,29.00,0.88,8.56,12.31,1.84,0.00,-6.13,0
10396,9.38,-4.69,16.19,8,0.48,1543,0.00,0.00,16,14.67,29.22,29.00,0.88,8.56,12.48,1.84,0.00,-6.15,0
10484,9.38,-4.69,16.08,8,0.48,1554,0.00,0.00,16,14.67,29.22,29.00,0.88,8.56,12.53,1.84,0.00,-6.17,0
10539,7.81,-4.69,15.96,8,0.49,1572,0.00,0.00,16,14.67,29.22,29.00,0.88,8.56,12.70,1.86,0.00,-6.19,0
10603,7.03,-4.69,15.50,8,0.48,1570,0.00,0.00,16,14.67,29.22,29.00,0.88,8.56,12.70,1.84,0.00,-6.21,0
10675,7.81,-4.69,15.39,8,0.48,1578,0.00,0.00,16,14.68,29.22,29.00,0.88,8.42,12.79,1.86,0.00,-6.23,0
10747,7.81,-4.69,15.27,8,0.48,1590,0.00,0.00,16,14.68,29.22,29.00,0.88,8.56,12.64,1.84,0.00,-6.21,0
10819,7.81,-4.69,15.04,8,0.49,1579,0.00,0.00,16,14.68,29.22,29.00,0.88,8.56,12.79,1.86,0.00,-6.17,0
10891,8.59,-4.69,14.93,8,0.49,1563,0.00,0.00,16,14.68,29.22,29.00,0.88,8.56,12.79,1.86,0.00,-6.13,0
10955,8.59,-4.69,14.93,8,0.50,1551,0.00,0.00,16,14.68,29.22,29.00,0.88,8.56,12.79,1.86,0.00,-6.09,0
11027,8.59,-4.69,14.81,8,0.51,1513,0.00,0.00,16,14.67,29.22,29.00,0.88,8.71,12.90,1.86,0.00,-6.01,0
11100,8.59,-4.69,14.93,8,0.52,1479,0.00,0.00,16,14.67,29.22,29.00,0.88,8.71,12.79,1.86,0.00,-5.90,0
11172,7.81,-4.69,14.81,8,0.53,1458,0.00,0.00,16,14.67,29.57,29.00,0.88,9.00,12.79,1.86,0.00,-5.78,0
11244,7.81,-3.91,14.70,8,0.55,1425,0.00,0.00,16,14.67,29.57,29.50,0.88,9.14,12.75,1.86,0.00,-5.65,0
11314,6.25,-3.91,14.24,8,0.55,1408,0.00,0.00,16,14.67,29.92,29.50,0.88,9.14,10.29,1.86,0.00,-5.51,0
11382,6.25,-3.91,14.24,8,0.56,1383,0.00,0.00,16,14.67,29.57,29.50,0.88,9.29,12.75,1.86,0.00,-5.38,0
11454,7.03,-3.12,14.47,8,0.56,1375,0.00,0.00,16,14.67,29.57,29.50,0.88,9.43,12.79,1.86,0.00,-5.30,0
11523,7.03,-3.12,14.47,8,0.57,1358,0.00,0.00,16,14.67,29.92,29.50,0.88,9.43,12.85,1.86,0.00,-5.22,0
11595,7.03,-3.12,14.36,8,0.57,1357,0.00,0.00,16,14.67,29.57,29.50,0.88,9.58,12.75,1.86,0.00,-5.18,0
11668,6.25,-3.12,14.47,8,0.57,1345,0.00,0.00,16,14.67,29.57,29.50,0.88,9.58,12.75,1.84,0.00,-5.10,0
11740,6.25,-3.12,14.59,8,0.57,1342,0.00,0.00,16,14.67,29.57,29.50,0.88,9.72,12.75,1.86,0.00,-5.05,0
11812,7.03,-3.12,14.59,8,0.57,1328,0.00,0.00,16,14.67,29.57,29.50,0.88,9.72,12.70,1.84,0.00,-4.97,0
11876,7.03,-3.12,14.59,8,0.57,1330,0.00,0.00,16,14.68,29.57,29.50,0.88,9.72,12.75,1.84,0.00,-4.97,0
11948,7.03,-2.34,14.70,8,0.54,1439,0.00,0.00,16,14.69,29.57,29.50,0.80,9.72,12.59,1.84,0.00,-5.07,0
12020,7.03,-2.34,14.59,8,0.48,1620,0.00,0.00,16,15.62,34.49,29.50,0.64,7.11,11.98,1.76,0.00,-6.50,0
12096,0.00,-4.69,14.59,10,0.37,1862,0.00,0.00,16,16.57,33.09,35.00,0.64,5.66,6.98,1.46,0.00,-8.72,0
12164,0.00,-4.69,14.47,10,0.26,2016,0.00,0.00,16,15.95,24.65,31.00,0.64,4.93,4.35,1.38,0.00,-9.65,0
12236,0.00,-3.91,14.24,10,0.19,2066,0.00,0.00,16,15.38,19.38,23.00,0.64,4.35,4.29,1.34,0.00,-10.38,0
12304,0.00,-3.91,14.24,10,0.16,2037,0.00,0.00,16,14.70,13.05,19.00,0.64,4.06,4.45,1.36,0.00,-10.65,0
12376,0.00,-3.91,14.13,10,0.14,1957,0.00,0.00,16,13.57,11.99,13.00,0.64,3.92,4.82,1.40,0.00,-10.79,0
12448,0.00,-3.91,14.70,10,0.17,1854,0.00,0.00,16,13.78,11.99,11.50,0.64,3.92,5.14,1.42,0.00,-10.85,0
12520,0.00,-3.12,15.16,10,0.19,1742,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,5.33,1.44,0.00,-10.81,0
12584,0.00,-3.12,16.08,10,0.21,1663,0.00,0.00,16,14.70,11.64,11.50,0.64,3.92,5.46,1.44,0.00,-10.69,0
12660,0.00,-3.12,17.57,10,0.23,1432,0.00,0.00,16,14.70,11.29,11.50,0.64,4.06,5.40,1.42,0.00,-10.60,0
12740,0.00,-3.12,18.95,10,0.24,1336,0.00,0.00,16,14.70,10.94,19.00,0.64,4.06,5.21,1.42,0.00,-10.58,0
