Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Alternator Duty (%),Battery Voltage (V)
62688,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
62876,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.08
63078,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.08
63268,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.08
63457,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.08
63652,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
63842,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
64017,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
64220,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
64408,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
64595,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
64798,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,10.00
64983,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,7.92
65171,14.70,0.21,114,0.00,0.00,16,15.86,9.50,14.22,1.45,-1.18,0.68,0.00,8.32
65374,14.70,0.21,366,0.00,0.00,16,17.27,17.00,13.35,1.77,-1.18,0.66,0.00,8.16
65561,14.70,0.18,1706,0.00,0.00,16,17.27,18.00,10.59,7.94,-1.49,0.64,0.00,8.96
65749,14.70,0.14,1976,0.00,0.00,16,15.51,17.50,6.82,8.47,-1.80,0.64,0.00,10.64
65936,14.70,0.12,2028,0.00,0.00,16,14.10,14.50,5.22,8.06,-1.80,0.64,0.00,11.44
66131,14.70,0.12,1920,0.00,0.00,16,14.10,14.50,4.79,7.82,-1.49,0.64,0.00,11.84
66317,14.70,0.13,1806,0.00,0.00,16,14.10,14.50,4.79,7.82,-1.49,0.64,0.00,13.60
66504,14.70,0.13,1728,0.00,0.00,16,14.10,14.50,4.64,7.54,-1.49,0.64,0.00,13.68
66707,14.70,0.14,1634,0.00,0.00,16,14.10,15.50,4.64,7.46,-1.49,0.64,0.00,13.68
66895,14.70,0.13,1602,0.00,0.00,16,14.10,17.50,4.79,7.17,-1.49,0.64,0.00,13.60
67082,14.70,0.13,1588,0.00,0.00,16,14.10,17.50,4.79,7.06,-1.49,0.64,0.00,13.76
67270,14.70,0.14,1563,0.00,0.00,16,14.10,19.00,4.79,7.24,-1.49,0.64,0.00,13.68
67457,14.70,0.14,1529,0.00,0.00,16,14.10,19.50,4.64,7.03,-1.49,0.64,0.00,13.76
67660,14.70,0.13,1510,0.00,0.00,16,14.10,21.00,4.64,6.88,-1.49,0.64,0.00,13.76
67848,14.70,0.14,1484,0.00,0.00,16,14.10,22.00,4.64,6.81,-1.49,0.64,0.00,13.76
68035,14.70,0.13,1460,0.00,0.00,16,14.10,22.50,4.64,6.40,-1.49,0.64,0.00,13.68
68223,14.70,0.14,1430,0.00,0.00,16,14.10,22.50,4.64,6.48,-1.49,0.64,0.00,13.76
68410,14.70,0.13,1332,0.00,0.00,16,14.10,22.50,4.64,6.26,-1.49,0.64,0.00,13.76
68613,14.70,0.14,1320,0.00,0.00,16,14.10,22.50,4.64,6.11,-1.49,0.64,0.00,13.76
68801,14.81,0.13,1293,0.00,0.00,16,14.10,22.50,4.50,5.78,-1.49,0.64,0.00,13.68
71665,14.70,0.15,1165,0.00,0.00,16,14.10,14.50,5.22,5.98,-1.18,0.64,0.00,13.76
71853,14.70,0.16,1159,0.00,0.00,16,14.10,15.00,5.22,6.04,-1.18,0.64,0.00,13.84
72040,14.70,0.16,1170,0.00,0.00,16,14.10,14.50,5.37,6.11,-1.18,0.64,0.00,13.76
72228,14.70,0.16,1159,0.00,0.00,16,14.10,15.00,5.37,6.18,-1.18,0.64,0.00,13.76
72414,14.70,0.16,1162,0.00,0.00,16,14.10,14.50,5.37,6.22,-1.18,0.64,0.00,13.76
72617,14.70,0.16,1182,0.00,0.00,16,14.10,12.00,5.37,6.22,-1.18,0.64,0.00,13.76
72805,14.70,0.16,1177,0.00,0.00,16,14.10,13.50,5.37,6.18,-1.18,0.64,0.00,13.76
72992,14.70,0.16,1174,0.00,0.00,16,14.10,14.00,5.37,6.22,-1.18,0.64,0.00,13.76
73180,14.70,0.16,1167,0.00,0.00,16,14.10,15.00,5.37,6.18,-1.18,0.64,0.00,13.76
73383,14.70,0.16,1169,0.00,0.00,16,14.10,14.50,5.37,6.15,-1.18,0.64,0.00,13.68
73570,14.70,0.16,1180,0.00,0.00,16,14.10,13.50,5.37,6.18,-1.18,0.64,0.00,13.76
73758,14.70,0.16,1173,0.00,0.00,16,14.10,14.50,5.37,6.15,-1.18,0.64,0.00,13.76
73945,14.70,0.16,1175,0.00,0.00,16,14.10,14.00,5.37,6.22,-1.18,0.64,0.00,13.76
74133,14.70,0.16,1173,0.00,0.00,16,14.10,14.50,5.37,6.11,-1.18,0.64,0.00,13.84
77012,14.70,0.16,1170,0.00,0.00,16,14.10,15.00,5.37,6.22,-1.18,0.64,0.00,13.84
77200,14.70,0.14,1176,0.00,0.00,16,14.10,14.00,5.37,6.15,-1.18,0.64,0.00,13.76
77387,14.70,0.16,1166,0.00,0.00,16,14.10,15.50,5.37,6.15,-1.18,0.64,0.00,13.76
77575,14.70,0.15,1173,0.00,0.00,16,14.10,14.00,5.37,6.00,-1.18,0.64,0.00,13.68
77778,14.59,0.15,1173,0.00,0.00,16,14.10,14.00,5.37,6.04,-1.18,0.64,0.00,13.84
77965,14.59,0.16,1173,0.00,0.00,16,14.10,14.00,5.37,6.22,-1.18,0.64,0.00,13.76
78153,14.59,0.15,1180,0.00,0.00,16,14.10,13.50,5.37,6.04,-1.18,0.64,0.00,13.76
78340,14.59,0.15,1187,0.00,0.00,16,14.10,14.00,5.37,6.04,-1.18,0.64,0.00,13.76
78528,14.59,0.16,1162,0.00,0.00,16,14.10,16.00,5.37,6.04,-1.18,0.64,0.00,13.76
78731,14.59,0.15,1165,0.00,0.00,16,14.10,14.00,5.37,6.04,-1.18,0.64,0.00,13.84
78924,14.59,0.15,1175,0.00,0.00,16,14.10,14.00,5.37,6.00,-1.18,0.64,0.00,13.76
79113,14.47,0.15,1168,0.00,0.00,16,14.10,14.50,5.37,6.04,-1.18,0.64,0.00,13.76
79306,14.47,0.15,1166,0.00,0.00,16,14.10,15.00,5.37,5.98,-1.18,0.64,0.00,13.84
79495,14.47,0.16,1153,0.00,0.00,16,14.10,16.00,5.37,6.15,-1.18,0.64,0.00,13.76
79689,14.47,0.16,1162,0.00,0.00,16,14.10,14.00,5.37,6.15,-1.18,0.64,0.00,13.76
79878,14.47,0.16,1184,0.00,0.00,16,14.10,12.50,5.37,6.11,-1.18,0.64,0.00,13.76
80059,14.47,0.16,1161,0.00,0.00,16,14.10,15.50,5.37,6.11,-1.18,0.64,0.00,13.68
80247,14.47,0.16,1183,0.00,0.00,16,14.10,13.50,5.37,6.11,-1.18,0.64,0.00,13.76
80450,14.36,0.16,1168,0.00,0.00,16,14.10,14.50,5.37,6.18,-1.18,0.64,0.00,13.68
80653,14.36,0.16,1171,0.00,0.00,16,14.10,14.00,5.37,6.11,-1.18,0.64,0.00,13.76
80825,14.36,0.16,1159,0.00,0.00,16,14.10,15.00,5.37,6.11,-1.18,0.64,0.00,13.76
81013,14.36,0.15,1172,0.00,0.00,16,14.10,13.00,5.37,6.00,-1.18,0.64,0.00,13.76
81200,14.36,0.16,1158,0.00,0.00,16,14.10,15.50,5.37,6.11,-1.18,0.64,0.00,13.76
81403,14.36,0.16,1169,0.00,0.00,16,14.10,14.00,5.37,6.11,-1.18,0.64,0.00,13.76
81588,14.24,0.16,1166,0.00,0.00,16,14.10,14.00,5.37,6.11,-1.18,0.64,0.00,13.84
81775,14.24,0.16,1173,0.00,0.00,16,14.10,13.50,5.37,6.15,-1.18,0.64,0.00,13.76
81978,14.24,0.16,1161,0.00,0.00,16,14.10,15.00,5.51,6.18,-1.18,0.64,0.00,13.84
82166,14.13,0.16,1186,0.00,0.00,16,14.10,13.50,5.37,6.18,-1.18,0.64,0.00,13.68
82353,14.13,0.16,1165,0.00,0.00,16,14.10,15.00,5.37,6.26,-1.18,0.64,0.00,13.84
82540,14.13,0.16,1186,0.00,0.00,16,14.10,13.00,5.37,6.29,-1.18,0.64,0.00,13.76
82743,14.01,0.16,1174,0.00,0.00,16,14.10,14.50,5.37,6.29,-1.18,0.64,0.00,13.84
82930,14.01,0.16,1190,0.00,0.00,16,14.10,13.00,5.37,6.26,-1.18,0.64,0.00,13.76
83118,13.90,0.17,1194,0.00,0.00,16,14.10,13.00,5.37,6.18,-1.18,0.64,0.00,13.76
83305,13.90,0.16,1183,0.00,0.00,16,14.10,15.50,5.37,6.18,-1.18,0.64,0.00,13.76
83493,13.78,0.16,1159,0.00,0.00,16,14.10,16.50,5.37,6.22,-1.18,0.64,0.00,13.84
83680,13.78,0.16,1170,0.00,0.00,16,14.10,15.00,5.51,6.26,-1.18,0.64,0.00,13.68
83883,13.78,0.16,1170,0.00,0.00,16,14.10,13.50,5.37,6.22,-1.18,0.64,0.00,13.84
84071,13.78,0.16,1174,0.00,0.00,16,14.10,15.00,5.37,6.11,-1.18,0.64,0.00,13.68
84258,13.90,0.16,1168,0.00,0.00,16,14.10,15.50,5.37,6.15,-1.18,0.64,0.00,13.76
84446,13.90,0.16,1166,0.00,0.00,16,14.10,15.50,5.51,6.18,-1.18,0.64,0.00,13.76
84649,13.90,0.16,1156,0.00,0.00,16,14.10,16.00,5.51,6.29,-1.18,0.64,0.00,13.84
84836,14.01,0.16,1166,0.00,0.00,16,14.10,14.00,5.66,6.33,-1.18,0.64,0.00,13.76
85024,14.01,0.16,1164,0.00,0.00,16,14.10,14.50,5.66,6.37,-1.18,0.64,0.00,13.84
85211,14.13,0.16,1170,0.00,0.00,16,14.10,14.00,5.66,6.29,-1.18,0.64,0.00,13.84
85414,14.24,0.17,1139,0.00,0.00,16,14.10,16.00,5.66,6.26,-1.18,0.64,0.00,13.76
85602,14.24,0.16,1152,0.00,0.00,16,14.10,14.50,5.66,6.33,-1.18,0.64,0.00,13.76
85790,14.36,0.17,1156,0.00,0.00,16,14.10,14.50,5.66,6.29,-1.18,0.64,0.00,13.76
85977,14.36,0.17,1155,0.00,0.00,16,14.10,14.50,5.66,6.40,-1.18,0.64,0.00,13.76
86164,14.47,0.16,1160,0.00,0.00,16,14.10,14.00,5.66,6.40,-1.18,0.64,0.00,13.84
86367,14.47,0.17,1144,0.00,0.00,16,14.10,16.00,5.66,6.48,-1.18,0.64,0.00,13.68
86555,14.59,0.17,1165,0.00,0.00,16,14.10,13.50,5.66,6.33,-1.18,0.64,0.00,13.84
86740,14.59,0.17,1171,0.00,0.00,16,14.10,13.00,5.66,6.40,-1.18,0.64,0.00,13.68
86943,14.59,0.16,1177,0.00,0.00,16,14.10,13.00,5.66,6.48,-1.18,0.64,0.00,13.84
87131,14.59,0.16,1179,0.00,0.00,16,14.10,13.00,5.66,6.48,-1.18,0.64,0.00,13.76
87318,14.59,0.17,1173,0.00,0.00,16,14.10,14.00,5.66,6.44,-1.18,0.64,0.00,13.76
87506,14.59,0.17,1158,0.00,0.00,16,14.10,15.50,5.66,6.44,-1.18,0.64,0.00,13.84
87693,14.59,0.16,1183,0.00,0.00,16,14.10,13.00,5.66,6.44,-1.18,0.64,0.00,13.76
87896,14.59,0.16,1182,0.00,0.00,16,14.10,14.00,5.66,6.44,-1.18,0.64,0.00,13.76
88084,14.59,0.17,1175,0.00,0.00,16,14.10,14.00,5.66,6.44,-1.18,0.64,0.00,13.76
88271,14.59,0.16,1169,0.00,0.00,16,14.10,15.00,5.66,6.48,-1.18,0.64,0.00,13.84
88459,14.70,0.17,1183,0.00,0.00,16,14.10,13.50,5.66,6.51,-1.18,0.64,0.00,13.68
88662,14.59,0.17,1186,0.00,0.00,16,14.10,13.50,5.66,6.55,-1.18,0.64,0.00,13.84
88849,14.59,0.16,1210,0.00,0.00,16,14.10,11.50,5.66,6.48,-1.49,0.64,0.00,13.76
89041,14.59,0.16,1201,0.00,0.00,16,14.10,13.00,5.51,6.51,-1.49,0.64,0.00,13.84
89234,14.59,0.16,1199,0.00,0.00,16,14.10,13.50,5.51,6.51,-1.18,0.64,0.00,13.84
89427,14.59,0.16,1207,0.00,0.00,16,14.10,13.00,5.51,6.40,-1.49,0.64,0.00,13.76
92297,14.47,0.15,1204,0.00,0.00,16,14.10,14.00,5.22,6.18,-1.18,0.64,0.00,13.76
92500,14.47,0.15,1200,0.00,0.00,16,14.10,14.00,5.22,6.07,-1.18,0.64,0.00,13.84
92688,14.47,0.15,1189,0.00,0.00,16,14.10,15.50,5.37,6.04,-1.18,0.64,0.00,13.84
92875,14.36,0.16,1186,0.00,0.00,16,14.10,15.50,5.37,6.11,-1.18,0.64,0.00,13.84
93063,14.47,0.15,1180,0.00,0.00,16,14.10,14.00,5.37,6.04,-1.18,0.64,0.00,13.68
93250,14.59,0.15,1187,0.00,0.00,16,14.10,14.00,5.22,6.00,-1.18,0.64,0.00,13.84
93453,14.47,0.15,1191,0.00,0.00,16,14.10,14.00,5.37,6.15,-1.18,0.64,0.00,13.68
93641,14.47,0.15,1188,0.00,0.00,16,14.10,14.50,5.37,6.04,-1.18,0.64,0.00,13.84
93828,14.36,0.16,1181,0.00,0.00,16,14.10,15.00,5.37,6.11,-1.18,0.64,0.00,13.76
94025,14.36,0.15,1185,0.00,0.00,16,14.10,15.50,5.37,6.00,-1.18,0.64,0.00,13.76
94218,14.36,0.15,1171,0.00,0.00,16,14.10,15.50,5.37,6.00,-1.18,0.64,0.00,13.76
94411,14.36,0.16,1171,0.00,0.00,16,14.10,15.50,5.37,6.18,-1.18,0.64,0.00,13.84
94599,14.47,0.16,1178,0.00,0.00,16,14.10,14.50,5.37,6.11,-1.18,0.64,0.00,13.76
94789,14.47,0.16,1185,0.00,0.00,16,14.10,13.00,5.37,6.18,-1.18,0.64,0.00,13.76
94976,14.47,0.16,1196,0.00,0.00,16,14.10,13.00,5.37,6.22,-1.18,0.64,0.00,13.76
97792,14.36,0.15,1197,0.00,0.00,16,14.10,15.00,5.37,6.11,-1.18,0.64,0.00,13.76
97983,14.36,0.15,1186,0.00,0.00,16,14.10,15.50,5.37,6.11,-1.18,0.64,0.00,13.76
98171,14.36,0.15,1186,0.00,0.00,16,14.10,15.50,5.37,6.07,-1.18,0.64,0.00,13.84
98358,14.36,0.15,1186,0.00,0.00,16,14.10,15.50,5.37,6.11,-1.18,0.64,0.00,13.76
98546,14.36,0.15,1191,0.00,0.00,16,14.10,14.50,5.37,6.11,-1.18,0.64,0.00,13.84
98733,14.47,0.15,1182,0.00,0.00,16,14.10,15.50,5.22,6.07,-1.18,0.64,0.00,13.68
98938,14.47,0.15,1196,0.00,0.00,16,14.10,14.00,5.37,6.04,-1.18,0.64,0.00,13.84
99127,14.47,0.15,1189,0.00,0.00,16,14.10,14.50,5.37,6.00,-1.18,0.64,0.00,13.84
99315,14.36,0.15,1189,0.00,0.00,16,14.10,14.50,5.37,6.01,-1.18,0.64,0.00,13.76
99502,14.36,0.15,1190,0.00,0.00,16,14.10,14.00,5.37,6.07,-1.18,0.64,0.00,13.76
99690,14.47,0.15,1191,0.00,0.00,16,14.10,14.50,5.37,6.07,-1.18,0.64,0.00,13.84
99893,14.47,0.15,1180,0.00,0.00,16,14.10,15.50,5.37,6.00,-1.18,0.64,0.00,13.68
100081,14.59,0.15,1192,0.00,0.00,16,14.10,13.50,5.37,6.11,-1.18,0.64,0.00,13.76
100268,14.59,0.15,1193,0.00,0.00,16,14.10,14.00,5.37,6.11,-1.18,0.64,0.00,13.68
100456,14.59,0.15,1197,0.00,0.00,16,14.10,13.50,5.22,6.11,-1.18,0.64,0.00,13.84
100658,14.59,0.15,1207,0.00,0.00,16,14.10,13.00,5.22,6.00,-1.49,0.64,0.00,13.68
100846,14.47,0.15,1200,0.00,0.00,16,14.10,14.00,5.22,5.98,-1.18,0.64,0.00,13.84
101034,14.47,0.15,1190,0.00,0.00,16,14.10,14.50,5.22,6.04,-1.18,0.64,0.00,13.76
101221,14.47,0.15,1188,0.00,0.00,16,14.10,14.50,5.22,5.98,-1.18,0.64,0.00,13.84
101409,14.47,0.15,1190,0.00,0.00,16,14.10,14.00,5.37,5.98,-1.18,0.64,0.00,13.76
101612,14.47,0.15,1192,0.00,0.00,16,14.10,14.00,5.22,5.98,-1.18,0.64,0.00,13.84
101799,14.47,0.15,1189,0.00,0.00,16,14.10,14.50,5.22,6.00,-1.18,0.64,0.00,13.76
101985,14.59,0.15,1185,0.00,0.00,16,14.10,15.00,5.37,6.00,-1.18,0.64,0.00,13.68
102173,14.59,0.15,1205,0.00,0.00,16,14.10,13.50,5.37,5.98,-1.18,0.64,0.00,13.84
102376,14.59,0.15,1207,0.00,0.00,16,14.10,13.00,5.22,6.00,-1.49,0.64,0.00,13.76
102563,14.59,0.15,1195,0.00,0.00,16,14.10,14.50,5.22,5.98,-1.18,0.64,0.00,13.76
102750,14.47,0.15,1193,0.00,0.00,16,14.10,14.50,5.22,6.00,-1.49,0.64,0.00,13.84
102937,14.47,0.15,1194,0.00,0.00,16,14.10,14.50,5.22,5.98,-1.18,0.64,0.00,13.68
103140,14.47,0.15,1192,0.00,0.00,16,14.10,14.50,5.22,6.07,-1.49,0.64,0.00,13.84
103328,14.47,0.15,1203,0.00,0.00,16,14.10,13.50,5.22,6.00,-1.49,0.64,0.00,13.68
103515,14.36,0.15,1190,0.00,0.00,16,14.10,15.50,5.22,6.04,-1.18,0.64,0.00,13.76
103709,14.36,0.15,1211,0.00,0.00,16,14.10,13.00,5.22,6.00,-1.49,0.64,0.00,13.76
103897,14.24,0.15,1202,0.00,0.00,16,14.10,14.00,5.22,6.00,-1.18,0.64,0.00,13.84
104084,14.36,0.15,1199,0.00,0.00,16,14.10,14.50,5.22,6.00,-1.49,0.64,0.00,13.84
104272,14.36,0.15,1199,0.00,0.00,16,14.10,14.00,5.22,5.91,-1.18,0.64,0.00,13.68
104459,14.36,0.15,1200,0.00,0.00,16,14.10,15.50,5.22,5.98,-1.18,0.64,0.00,13.84
104662,14.36,0.15,1198,0.00,0.00,16,14.10,14.00,5.22,5.98,-1.18,0.64,0.00,13.76
104850,14.47,0.15,1190,0.00,0.00,16,14.10,15.50,5.22,6.00,-1.18,0.64,0.00,13.84
105037,14.47,0.15,1202,0.00,0.00,16,14.10,14.00,5.22,6.00,-1.18,0.64,0.00,13.76
105225,14.47,0.15,1190,0.00,0.00,16,14.10,15.50,5.22,5.94,-1.18,0.64,0.00,13.84
105428,14.47,0.15,1200,0.00,0.00,16,14.10,14.00,5.22,6.01,-1.49,0.64,0.00,13.76
105615,14.47,0.15,1202,0.00,0.00,16,14.10,13.50,5.22,6.04,-1.18,0.64,0.00,13.76
105803,14.36,0.15,1202,0.00,0.00,16,14.10,14.00,5.22,6.00,-1.49,0.64,0.00,13.84
105990,14.36,0.15,1200,0.00,0.00,16,14.10,14.00,5.22,6.01,-1.18,0.64,0.00,13.76
106178,14.36,0.15,1188,0.00,0.00,16,14.10,15.50,5.22,5.98,-1.18,0.64,0.00,13.68
106381,14.47,0.15,1196,0.00,0.00,16,14.10,14.00,5.22,5.94,-1.18,0.64,0.00,13.92
106568,14.47,0.15,1201,0.00,0.00,16,14.10,14.00,5.22,5.98,-1.18,0.64,0.00,13.68
106756,14.47,0.15,1200,0.00,0.00,16,14.10,14.00,5.22,5.98,-1.49,0.64,0.00,13.84
106956,14.47,0.15,1190,0.00,0.00,16,14.10,15.00,5.22,5.91,-1.18,0.64,0.00,13.60
107144,14.47,0.15,1186,0.00,0.00,16,14.10,15.50,5.22,5.98,-1.18,0.64,0.00,13.84
107331,14.47,0.15,1208,0.00,0.00,16,14.10,13.00,5.22,6.00,-1.18,0.64,0.00,13.76
107519,14.47,0.15,1198,0.00,0.00,16,14.10,14.00,5.22,5.98,-1.18,0.64,0.00,13.84
107706,14.36,0.15,1189,0.00,0.00,16,14.10,15.00,5.22,5.94,-1.18,0.64,0.00,13.76
107909,14.36,0.15,1184,0.00,0.00,16,14.10,15.50,5.22,5.94,-1.18,0.64,0.00,13.84
108097,14.47,0.15,1196,0.00,0.00,16,14.10,14.00,5.22,5.94,-1.18,0.64,0.00,13.68
108284,14.47,0.15,1181,0.00,0.00,16,14.10,15.50,5.22,5.94,-1.18,0.64,0.00,13.84
108472,14.47,0.15,1172,0.00,0.00,16,14.10,16.50,5.37,5.94,-1.18,0.64,0.00,13.84
108659,14.36,0.15,1176,0.00,0.00,16,14.10,15.50,5.37,6.00,-1.18,0.64,0.00,13.76
108862,14.36,0.15,1179,0.00,0.00,16,14.10,13.00,5.37,5.94,-1.18,0.64,0.00,13.84
109050,14.36,0.15,1176,0.00,0.00,16,14.10,15.50,5.37,6.00,-1.18,0.64,0.00,13.84
109237,14.36,0.15,1187,0.00,0.00,16,14.10,14.00,5.37,5.91,-1.18,0.64,0.00,13.76
109425,14.36,0.15,1170,0.00,0.00,16,14.10,16.00,5.37,5.94,-1.18,0.64,0.00,13.84
109628,14.36,0.15,1174,0.00,0.00,16,14.10,15.50,5.37,5.98,-1.18,0.64,0.00,13.76
109815,14.36,0.15,1182,0.00,0.00,16,14.10,14.50,5.37,5.91,-1.18,0.64,0.00,13.84
110003,14.47,0.15,1179,0.00,0.00,16,14.10,15.00,5.37,5.91,-1.18,0.64,0.00,13.68
110190,14.47,0.15,1191,0.00,0.00,16,14.10,13.50,5.37,5.94,-1.18,0.64,0.00,13.84
110378,14.59,0.15,1186,0.00,0.00,16,14.10,14.00,5.37,5.87,-1.18,0.64,0.00,13.76
110597,14.47,0.15,1188,0.00,0.00,16,14.10,14.00,5.22,5.91,-1.18,0.64,0.00,13.76
110769,14.36,0.15,1188,0.00,0.00,16,14.10,14.00,5.37,5.98,-1.18,0.64,0.00,13.84
113613,14.47,0.15,1179,0.00,0.00,16,14.10,14.00,5.37,5.87,-1.18,0.64,0.00,13.76
113803,14.47,0.15,1180,0.00,0.00,16,14.10,14.00,5.37,5.85,-1.18,0.64,0.00,13.84
114006,14.47,0.15,1181,0.00,0.00,16,14.10,14.00,5.37,5.91,-1.18,0.64,0.00,13.76
114184,14.47,0.15,1189,0.00,0.00,16,14.10,14.50,5.37,5.94,-1.18,0.64,0.00,13.76
114387,14.47,0.15,1174,0.00,0.00,16,14.10,15.00,5.37,5.91,-1.18,0.64,0.00,13.76
114574,14.36,0.15,1162,0.00,0.00,16,14.10,16.50,5.37,5.85,-1.18,0.64,0.00,13.84
114762,14.47,0.15,1166,0.00,0.00,16,14.10,15.50,5.37,5.87,-1.18,0.64,0.00,13.84
114949,14.36,0.15,1173,0.00,0.00,16,14.10,14.00,5.37,5.91,-1.18,0.64,0.00,13.68
115152,14.24,0.15,1196,0.00,0.00,16,14.10,14.50,5.37,5.94,-1.18,0.64,0.00,13.76
115340,14.24,0.15,1174,0.00,0.00,16,14.10,15.00,5.37,5.87,-1.18,0.64,0.00,13.76
115527,14.36,0.15,1165,0.00,0.00,16,14.10,15.50,5.37,5.85,-1.18,0.64,0.00,13.84
115715,14.36,0.15,1175,0.00,0.00,16,14.10,14.50,5.37,5.85,-1.18,0.64,0.00,13.76
115918,14.47,0.15,1180,0.00,0.00,16,14.10,14.00,5.37,5.78,-1.18,0.64,0.00,13.84
116105,14.47,0.15,1173,0.00,0.00,16,14.10,14.50,5.37,5.72,-1.18,0.64,0.00,13.84
116293,14.59,0.15,1170,0.00,0.00,16,14.10,15.00,5.37,5.78,-1.18,0.64,0.00,13.68
119160,14.47,0.15,1170,0.00,0.00,16,14.10,14.50,5.37,5.85,-1.18,0.64,0.00,13.76
119347,14.24,0.15,1166,0.00,0.00,16,14.10,15.00,5.37,5.85,-1.18,0.64,0.00,13.76
119551,14.24,0.15,1171,0.00,0.00,16,14.10,14.00,5.37,5.85,-1.18,0.64,0.00,13.76
119738,14.36,0.15,1181,0.00,0.00,16,14.10,14.50,5.37,5.91,-1.18,0.64,0.00,13.84
