Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Fuel Pump Duty (%),Injector Duty Cycle (%),Alternator Duty (%),Battery Voltage (V)
996,14.36,0.17,1263,0.00,0.00,16,10.94,11.50,5.51,6.95,-1.49,0.64,74.90,2.69,0.00,13.92
1073,14.24,0.16,1269,0.00,0.00,16,10.94,11.00,5.51,6.99,-1.49,0.64,74.90,2.71,0.00,14.00
1136,14.24,0.17,1258,0.00,0.00,16,10.94,12.00,5.51,6.95,-1.49,0.64,74.90,2.68,0.00,13.92
1199,14.36,0.16,1266,0.00,0.00,16,10.94,11.50,5.51,6.95,-1.49,0.64,74.90,2.70,0.00,14.00
1261,14.36,0.16,1262,0.00,0.00,16,10.94,11.50,5.51,6.92,-1.49,0.64,74.90,2.69,0.00,13.92
1324,14.24,0.17,1248,0.00,0.00,16,10.59,13.00,5.51,6.88,-1.49,0.64,74.90,2.66,0.00,14.00
1402,14.36,0.17,1259,0.00,0.00,16,10.94,11.50,5.51,6.95,-1.49,0.64,74.90,2.69,0.00,13.92
1464,14.47,0.17,1258,0.00,0.00,16,10.94,12.00,5.51,6.99,-1.49,0.64,74.90,2.68,0.00,14.00
1527,14.24,0.16,1261,0.00,0.00,16,10.94,11.50,5.51,6.99,-1.49,0.64,74.90,2.69,0.00,13.92
1589,14.24,0.16,1271,0.00,0.00,16,10.94,10.50,5.51,6.99,-1.49,0.64,74.90,2.71,0.00,14.00
1667,14.36,0.16,1264,0.00,0.00,16,10.94,11.50,5.51,6.95,-1.49,0.64,74.90,2.70,0.00,13.92
1730,14.24,0.16,1267,0.00,0.00,16,10.94,11.00,5.37,6.95,-1.49,0.64,74.90,2.70,0.00,14.00
1792,14.13,0.16,1262,0.00,0.00,16,10.94,11.50,5.37,6.88,-1.49,0.64,74.90,2.69,0.00,13.92
1855,14.36,0.16,1268,0.00,0.00,16,10.94,11.00,5.37,6.92,-1.49,0.64,74.90,2.71,0.00,14.00
1918,14.24,0.16,1270,0.00,0.00,16,10.94,11.00,5.37,6.92,-1.49,0.64,74.90,2.71,0.00,13.92
1996,14.13,0.16,1252,0.00,0.00,16,10.94,13.00,5.37,6.88,-1.49,0.64,74.90,2.67,0.00,14.00
2058,14.36,0.16,1251,0.00,0.00,16,10.94,13.00,5.37,6.84,-1.49,0.64,74.90,2.67,0.00,13.92
2120,14.36,0.16,1262,0.00,0.00,16,10.94,11.50,5.37,6.84,-1.49,0.64,74.90,2.69,0.00,14.00
2183,14.24,0.16,1250,0.00,0.00,16,10.94,13.00,5.37,6.84,-1.49,0.64,74.90,2.67,0.00,14.00
2250,14.36,0.16,1246,0.00,0.00,16,10.59,13.00,5.37,6.92,-1.49,0.64,74.90,2.66,0.00,14.00
2328,14.36,0.16,1258,0.00,0.00,16,10.94,11.50,5.37,6.88,-1.49,0.64,74.90,2.68,0.00,14.00
2391,14.36,0.16,1246,0.00,0.00,16,10.59,12.50,5.37,6.81,-1.49,0.64,74.90,2.66,0.00,14.00
2453,14.24,0.16,1240,0.00,0.00,16,10.59,13.00,5.37,6.81,-1.49,0.64,74.90,2.65,0.00,14.00
2516,14.36,0.16,1246,0.00,0.00,16,10.59,12.50,5.37,6.84,-1.49,0.64,74.90,2.66,0.00,14.00
2594,14.24,0.16,1246,0.00,0.00,16,10.59,12.00,5.51,6.84,-1.49,0.64,74.90,2.66,0.00,14.00
2656,14.24,0.16,1251,0.00,0.00,16,10.94,11.50,5.37,6.81,-1.49,0.64,74.90,2.67,0.00,14.00
2719,14.36,0.16,1247,0.00,0.00,16,10.59,12.00,5.37,6.77,-1.49,0.64,74.90,2.66,0.00,14.00
2782,14.24,0.16,1257,0.00,0.00,16,10.94,12.50,5.37,6.81,-1.49,0.64,74.90,2.68,0.00,14.00
2844,14.24,0.16,1254,0.00,0.00,16,10.59,11.50,5.37,6.70,-1.49,0.64,74.90,2.67,0.00,14.00
2922,14.47,0.16,1242,0.00,0.00,16,10.59,12.50,5.37,6.77,-1.49,0.64,74.90,2.65,0.00,14.00
2985,14.24,0.16,1241,0.00,0.00,16,10.59,12.50,5.37,6.66,-1.49,0.64,74.90,2.65,0.00,14.00
3047,14.24,0.16,1236,0.00,0.00,16,10.59,13.00,5.37,6.70,-1.49,0.64,74.90,2.64,0.00,14.00
3110,14.47,0.16,1245,0.00,0.00,16,10.59,11.50,5.37,6.77,-1.49,0.64,74.90,2.66,0.00,14.00
3188,14.36,0.16,1253,0.00,0.00,16,10.94,11.00,5.37,6.66,-1.49,0.64,74.90,2.67,0.00,14.00
3250,14.36,0.16,1236,0.00,0.00,16,10.59,11.50,5.37,6.66,-1.49,0.64,74.90,2.64,0.00,13.92
3313,14.47,0.16,1238,0.00,0.00,16,10.59,12.50,5.37,6.70,-1.49,0.64,74.90,2.64,0.00,14.00
3375,14.36,0.16,1242,0.00,0.00,16,10.59,11.50,5.37,6.66,-1.49,0.64,74.90,2.65,0.00,13.92
3453,14.36,0.17,1218,0.00,0.00,16,10.59,14.00,5.37,6.73,-1.49,0.64,74.90,2.60,0.00,14.00
3516,14.47,0.17,1216,0.00,0.00,16,10.59,14.00,5.37,6.73,-1.49,0.64,74.90,2.59,0.00,13.92
3578,14.36,0.16,1237,0.00,0.00,16,10.59,11.50,5.51,6.73,-1.49,0.64,74.90,2.64,0.00,14.00
3641,14.24,0.16,1237,0.00,0.00,16,10.59,11.50,5.51,6.66,-1.49,0.64,74.90,2.64,0.00,13.92
3703,14.47,0.16,1236,0.00,0.00,16,10.59,11.50,5.51,6.70,-1.49,0.64,74.90,2.64,0.00,14.00
3781,14.36,0.16,1236,0.00,0.00,16,10.59,11.50,5.37,6.70,-1.49,0.64,74.90,2.64,0.00,13.92
3844,14.24,0.16,1220,0.00,0.00,16,10.59,13.00,5.51,6.73,-1.49,0.64,74.90,2.60,0.00,14.00
3907,14.36,0.17,1227,0.00,0.00,16,10.59,12.50,5.37,6.73,-1.49,0.64,74.90,2.62,0.00,13.92
3969,14.36,0.17,1218,0.00,0.00,16,10.59,13.00,5.51,6.70,-1.49,0.64,74.90,2.60,0.00,14.00
4047,14.24,0.16,1213,0.00,0.00,16,10.59,13.50,5.51,6.70,-1.49,0.64,74.90,2.59,0.00,13.92
4110,14.47,0.17,1220,0.00,0.00,16,10.59,13.00,5.51,6.77,-1.49,0.64,74.90,2.60,0.00,14.00
4173,14.36,0.17,1220,0.00,0.00,16,10.59,12.50,5.51,6.70,-1.49,0.64,74.90,2.60,0.00,13.92
4235,14.36,0.16,1206,0.00,0.00,16,10.59,14.00,5.51,6.66,-1.49,0.64,74.90,2.57,0.00,14.00
4313,14.59,0.16,1218,0.00,0.00,16,10.59,12.50,5.51,6.73,-1.49,0.64,74.90,2.60,0.00,13.92
4376,14.47,0.16,1229,0.00,0.00,16,10.59,11.00,5.51,6.62,-1.49,0.64,74.90,2.62,0.00,14.00
4438,14.36,0.16,1212,0.00,0.00,16,10.59,13.00,5.51,6.70,-1.49,0.64,74.90,2.59,0.00,13.92
4501,14.47,0.17,1219,0.00,0.00,16,10.59,12.00,5.51,6.73,-1.49,0.64,74.90,2.60,0.00,14.00
4579,14.36,0.17,1217,0.00,0.00,16,10.59,12.00,5.51,6.73,-1.49,0.64,74.90,2.60,0.00,13.92
4630,14.24,0.17,1212,0.00,0.00,16,10.59,12.50,5.51,6.81,-1.49,0.64,74.90,2.59,0.00,14.00
4708,14.47,0.17,1218,0.00,0.00,16,10.59,11.50,5.51,6.77,-1.49,0.64,74.90,2.60,0.00,13.92
4770,14.36,0.17,1224,0.00,0.00,16,10.59,11.00,5.51,6.73,-1.49,0.64,74.90,2.61,0.00,14.00
4833,14.36,0.17,1210,0.00,0.00,16,10.59,12.50,5.51,6.73,-1.49,0.64,74.90,2.58,0.00,13.92
4895,14.47,0.17,1220,0.00,0.00,16,10.59,11.50,5.51,6.70,-1.49,0.64,74.90,2.59,0.00,14.00
4973,14.47,0.17,1220,0.00,0.00,16,10.59,11.50,5.66,6.73,-1.49,0.64,74.90,2.60,0.00,13.92
5036,14.36,0.17,1215,0.00,0.00,16,10.59,12.50,5.66,6.73,-1.49,0.64,74.90,2.58,0.00,14.00
5099,14.59,0.17,1218,0.00,0.00,16,10.59,11.50,5.66,6.73,-1.49,0.64,74.90,2.59,0.00,13.92
5166,14.36,0.17,1210,0.00,0.00,16,10.59,11.50,5.66,6.70,-1.49,0.64,74.90,2.60,0.00,14.00
5228,14.36,0.17,1210,0.00,0.00,16,10.59,12.00,5.66,6.77,-1.49,0.64,74.90,2.58,0.00,13.92
5306,14.47,0.17,1216,0.00,0.00,16,10.59,12.00,5.66,6.81,-1.49,0.64,74.90,2.58,0.00,14.00
5369,14.47,0.17,1198,0.00,0.00,16,10.59,11.50,5.66,6.81,-1.49,0.64,74.90,2.59,0.00,13.92
5433,14.36,0.17,1199,0.00,0.00,16,10.59,12.00,5.66,6.88,-1.49,0.64,74.90,2.56,0.00,14.00
5495,14.59,0.17,1209,0.00,0.00,16,10.59,13.00,5.66,6.88,-1.49,0.64,74.90,2.56,0.00,13.92
5561,14.47,0.17,1204,0.00,0.00,16,10.59,11.50,5.66,6.84,-1.49,0.64,74.90,2.58,0.00,14.00
5624,14.59,0.17,1196,0.00,0.00,16,10.59,12.00,5.66,6.88,-1.49,0.64,74.90,2.57,0.00,14.00
5702,14.59,0.17,1209,0.00,0.00,16,10.59,13.00,5.66,6.88,-1.49,0.64,74.90,2.55,0.00,14.00
5764,14.47,0.17,1208,0.00,0.00,16,10.59,11.50,5.80,6.92,-1.49,0.64,74.90,2.58,0.00,14.00
5827,14.59,0.17,1208,0.00,0.00,16,10.59,11.50,5.80,6.92,-1.49,0.64,74.90,2.58,0.00,14.00
5889,14.59,0.17,1220,0.00,0.00,16,10.59,11.50,5.80,6.95,-1.49,0.64,74.90,2.58,0.00,14.00
5967,14.47,0.17,1212,0.00,0.00,16,10.59,10.00,5.80,6.92,-1.49,0.64,74.90,2.60,0.00,14.00
6030,14.59,0.17,1204,0.00,0.00,16,10.59,11.00,5.80,6.95,-1.49,0.64,74.90,2.58,0.00,14.08
6092,14.59,0.17,1210,0.00,0.00,16,10.59,11.50,5.80,6.95,-1.49,0.64,74.90,2.57,0.00,14.00
6155,14.59,0.17,1212,0.00,0.00,16,10.59,12.50,5.80,6.92,-1.49,0.64,74.90,2.58,0.00,14.00
6233,14.59,0.17,1210,0.00,0.00,16,10.59,11.00,5.80,6.92,-1.49,0.64,74.90,2.58,0.00,14.00
6295,14.47,0.17,1197,0.00,0.00,16,10.59,11.00,5.80,6.92,-1.49,0.64,74.90,2.58,0.00,14.00
6358,14.70,0.17,1204,0.00,0.00,16,10.59,12.50,5.80,6.92,-1.49,0.64,74.90,2.55,0.00,14.00
6420,14.70,0.17,1218,0.00,0.00,16,10.59,11.50,5.80,6.95,-1.49,0.64,74.90,2.57,0.00,14.00
6483,14.59,0.17,1222,0.00,0.00,16,10.59,10.50,5.80,6.95,-1.49,0.64,74.90,2.60,0.00,14.00
6561,14.59,0.17,1219,0.00,0.00,16,10.59,10.00,5.80,6.92,-1.49,0.64,74.90,2.61,0.00,14.00
6624,14.59,0.17,1210,0.00,0.00,16,10.59,10.50,5.80,6.88,-1.49,0.64,74.90,2.60,0.00,13.92
6686,14.47,0.17,1200,0.00,0.00,16,10.59,11.50,5.80,6.84,-1.49,0.64,74.90,2.58,0.00,14.00
6749,14.47,0.17,1209,0.00,0.00,16,10.59,12.50,5.80,6.84,-1.49,0.64,74.90,2.58,0.00,13.92
6827,14.59,0.17,1216,0.00,0.00,16,10.59,11.50,5.80,6.92,-1.49,0.64,74.90,2.58,0.00,14.00
6890,14.59,0.17,1202,0.00,0.00,16,10.59,10.50,5.80,6.95,-1.49,0.64,74.90,2.70,0.00,13.84
6952,14.70,0.17,1220,0.00,0.00,16,10.59,12.00,5.80,6.95,-1.49,0.64,74.90,2.47,0.00,14.00
7015,14.70,0.17,1227,0.00,0.00,16,10.59,10.50,5.80,6.99,-1.49,0.64,74.90,2.62,0.00,13.92
7093,14.81,0.17,1208,0.00,0.00,16,10.59,9.50,5.80,7.03,-1.49,0.64,74.90,2.71,0.00,14.00
7155,14.81,0.17,1223,0.00,0.00,16,10.59,11.50,5.80,7.03,-1.49,0.64,74.90,2.72,0.00,13.92
7218,14.81,0.17,1240,0.00,0.00,16,10.59,10.50,5.80,7.03,-1.49,0.64,74.90,2.65,0.00,14.00
7280,14.70,0.17,1234,0.00,0.00,16,10.59,8.50,5.80,6.99,-1.49,0.64,74.90,2.63,0.00,13.92
7343,14.81,0.17,1220,0.00,0.00,16,10.59,9.50,5.80,6.95,-1.49,0.64,74.90,2.60,0.00,14.00
7410,14.81,0.17,1226,0.00,0.00,16,10.59,11.00,5.66,6.99,-1.49,0.64,74.90,2.62,0.00,13.92
7488,14.70,0.17,1225,0.00,0.00,16,10.59,10.50,5.66,7.10,-1.49,0.64,74.90,2.61,0.00,14.00
7550,14.70,0.17,1242,0.00,0.00,16,10.59,10.50,5.80,7.14,-1.49,0.64,74.90,2.91,0.00,13.92
7613,14.81,0.18,1252,0.00,0.00,16,10.94,9.00,5.80,7.21,-1.49,0.66,74.90,2.94,0.00,14.00
7675,14.70,0.19,1249,0.00,0.00,16,10.59,8.50,5.66,7.41,-1.49,0.66,74.90,2.93,0.00,13.92
7753,14.70,0.19,1244,0.00,0.00,16,10.59,9.50,5.80,7.74,-1.49,0.66,74.90,2.92,0.00,14.00
7816,14.59,0.19,1240,0.00,0.00,16,10.59,10.00,5.80,7.82,-1.49,0.66,74.90,2.91,0.00,13.92
7879,14.47,0.20,1224,0.00,0.00,16,10.59,11.50,5.95,7.94,-1.49,0.68,74.90,3.13,0.00,14.00
7941,14.36,0.20,1212,0.00,0.00,16,10.59,13.00,5.95,7.98,-1.49,0.68,74.90,3.10,0.00,13.92
8019,14.36,0.20,1180,0.00,0.00,16,10.59,16.50,6.09,7.98,-1.18,0.68,74.90,3.02,0.00,14.00
8082,14.01,0.20,1163,0.00,0.00,16,10.23,17.50,6.24,7.98,-1.18,0.68,74.90,2.98,0.00,13.92
8148,13.90,0.21,1160,0.00,0.00,16,10.23,17.00,6.38,7.98,-1.18,0.68,74.90,2.97,0.00,14.00
8211,13.90,0.21,1150,0.00,0.00,16,10.23,16.50,6.38,7.98,-1.18,0.68,74.90,2.95,0.00,13.92
8276,13.67,0.20,1142,0.00,0.00,16,10.94,10.50,6.53,8.14,-1.18,0.70,74.90,2.92,0.00,13.92
8339,13.90,0.20,1126,0.00,0.00,16,11.64,11.50,6.67,7.99,-1.18,0.70,74.90,2.64,0.00,13.92
8401,13.67,0.21,1099,0.00,0.00,16,12.70,12.50,6.67,7.57,-1.18,0.70,74.90,3.05,0.00,14.00
8480,13.55,0.23,1070,0.00,0.00,16,14.10,14.00,6.82,7.70,-1.18,0.72,74.90,3.42,0.00,13.92
8542,13.90,0.24,1061,0.00,0.00,16,15.51,15.50,6.82,8.03,-1.18,0.74,74.90,2.94,0.00,14.00
8604,13.67,0.24,1076,0.00,0.00,16,17.97,17.50,7.25,8.39,-1.18,0.74,74.90,2.98,0.00,13.92
8672,14.01,0.24,1097,0.00,0.00,16,19.73,19.50,7.40,8.60,-1.18,0.74,74.90,3.28,0.00,14.00
8734,14.01,0.24,1142,0.00,0.00,16,22.19,22.00,7.55,8.82,-1.18,0.74,74.90,3.17,0.00,13.92
8812,13.90,0.24,1153,0.00,0.00,16,23.59,23.50,7.69,9.13,-1.18,0.74,74.90,3.20,0.00,14.00
8875,14.01,0.24,1176,0.00,0.00,16,26.05,26.00,7.69,9.18,-1.18,0.76,74.90,3.26,0.00,14.00
8937,13.78,0.23,1202,0.00,0.00,16,25.70,25.50,7.69,9.44,-1.18,0.76,74.90,3.33,0.00,14.00
9000,14.01,0.23,1237,0.00,0.00,16,25.70,25.50,7.69,9.44,-1.49,0.76,74.90,3.43,0.00,13.92
9078,14.47,0.23,1245,0.00,0.00,16,25.70,25.50,7.55,9.61,-1.49,0.76,74.90,3.45,0.00,14.00
9140,14.70,0.23,1267,0.00,0.00,16,25.70,25.50,7.55,9.61,-1.49,0.76,74.90,3.51,0.00,14.00
9203,14.81,0.23,1275,0.00,0.00,16,25.70,25.50,7.40,9.66,-1.49,0.74,74.90,3.54,0.00,14.00
9265,15.04,0.20,1321,0.00,0.00,16,24.65,24.50,7.25,9.66,-1.49,0.64,74.90,3.10,0.00,14.00
9343,15.16,0.17,1413,0.00,0.00,16,22.19,15.50,6.24,8.58,-1.49,0.64,74.90,3.32,0.00,14.00
9395,15.27,0.15,1472,0.00,0.00,16,19.38,12.50,5.66,5.98,-1.49,0.64,74.90,2.83,0.00,14.08
9473,15.27,0.13,1458,0.00,0.00,16,15.86,8.50,5.22,5.21,-1.49,0.64,74.90,2.49,0.00,14.00
9536,15.16,0.12,1451,0.00,0.00,16,12.70,5.50,4.93,4.88,-1.49,0.64,74.90,2.48,0.00,14.00
9598,14.93,0.11,1394,0.00,0.00,16,11.29,4.00,4.79,4.95,-1.49,0.64,74.90,2.38,0.00,14.16
9661,14.70,0.12,1334,0.00,0.00,16,11.29,8.00,4.64,5.23,-1.49,0.64,74.90,2.56,0.00,14.00
9739,14.36,0.13,1254,0.00,0.00,16,10.94,16.50,4.79,5.46,-1.49,0.64,74.90,2.68,0.00,14.00
9801,14.24,0.13,1246,0.00,0.00,16,10.94,16.50,4.79,5.55,-1.49,0.64,74.90,2.13,0.00,14.00
9864,13.90,0.13,1264,0.00,0.00,16,10.94,14.50,4.79,5.55,-1.49,0.64,74.90,2.16,0.00,14.00
9926,13.78,0.13,1251,0.00,0.00,16,10.94,15.50,4.79,5.55,-1.49,0.64,74.90,2.14,0.00,14.00
10004,13.78,0.13,1248,0.00,0.00,16,10.59,15.50,4.79,5.52,-1.49,0.64,74.90,2.13,0.00,14.00
10067,13.67,0.13,1248,0.00,0.00,16,10.59,15.00,4.79,5.46,-1.49,0.64,74.90,2.13,0.00,13.68
10129,13.44,0.14,1229,0.00,0.00,16,10.59,16.50,4.79,5.59,-1.49,0.64,74.90,2.10,0.00,14.16
10192,13.44,0.14,1217,0.00,0.00,16,10.59,17.50,4.79,5.55,-1.49,0.64,74.90,2.08,0.00,13.84
10270,13.32,0.14,1226,0.00,0.00,16,10.59,16.00,4.79,5.59,-1.49,0.64,74.90,2.09,0.00,13.92
10332,13.09,0.14,1194,0.00,0.00,16,10.59,19.00,4.79,5.59,-1.49,0.64,74.90,2.04,0.00,13.92
10395,13.44,0.14,1193,0.00,0.00,16,10.59,18.00,4.93,5.59,-1.49,0.64,74.90,2.04,0.00,14.00
10457,13.44,0.14,1192,0.00,0.00,16,10.59,17.50,4.93,5.62,-1.18,0.64,74.90,2.04,0.00,13.92
10523,13.44,0.14,1181,0.00,0.00,16,10.59,18.50,4.93,5.72,-1.18,0.64,74.90,2.27,0.00,14.00
10601,13.78,0.15,1182,0.00,0.00,16,10.59,17.50,4.93,5.72,-1.18,0.64,74.90,2.27,0.00,13.92
10651,13.78,0.15,1194,0.00,0.00,16,10.59,16.00,5.08,5.72,-1.18,0.64,74.90,2.29,0.00,14.00
10729,13.67,0.15,1180,0.00,0.00,16,10.59,17.00,5.08,5.78,-1.18,0.64,74.90,2.26,0.00,13.92
10792,14.13,0.15,1186,0.00,0.00,16,10.59,16.00,5.08,5.85,-1.18,0.64,74.90,2.28,0.00,14.00
10854,14.13,0.15,1176,0.00,0.00,16,10.23,16.50,5.08,5.85,-1.18,0.64,74.90,2.26,0.00,13.92
10932,14.24,0.15,1169,0.00,0.00,16,10.23,17.00,5.08,5.91,-1.18,0.64,74.90,2.24,0.00,14.00
10995,14.36,0.16,1165,0.00,0.00,16,10.59,16.50,5.22,5.98,-1.18,0.64,74.90,2.24,0.00,13.84
11058,14.13,0.16,1164,0.00,0.00,16,10.59,16.50,5.22,6.04,-1.18,0.64,74.90,2.23,0.00,14.00
11120,14.36,0.16,1173,0.00,0.00,16,10.23,15.50,5.37,6.11,-1.18,0.64,74.90,2.25,0.00,13.92
11183,14.47,0.16,1165,0.00,0.00,16,10.23,15.00,5.37,6.22,-1.18,0.64,74.90,2.24,0.00,13.92
11260,14.36,0.16,1164,0.00,0.00,16,10.59,15.00,5.51,6.26,-1.18,0.64,74.90,2.48,0.00,13.92
11328,14.47,0.16,1185,0.00,0.00,16,10.59,13.00,5.51,6.37,-1.18,0.64,74.90,2.53,0.00,13.92
11390,14.47,0.16,1197,0.00,0.00,16,10.59,11.50,5.51,6.37,-1.18,0.64,74.90,2.30,0.00,13.92
11453,14.36,0.16,1174,0.00,0.00,16,10.59,14.00,5.51,6.37,-1.18,0.64,74.90,2.49,0.00,14.00
11515,14.59,0.17,1182,0.00,0.00,16,10.59,13.50,5.51,6.48,-1.18,0.64,74.90,2.50,0.00,13.92
11593,14.59,0.17,1182,0.00,0.00,16,10.59,12.50,5.66,6.44,-1.18,0.64,74.90,2.52,0.00,14.00
11656,14.59,0.17,1160,0.00,0.00,16,10.59,13.00,5.66,6.48,-1.18,0.64,74.90,2.48,0.00,13.92
11718,14.70,0.17,1179,0.00,0.00,16,10.23,14.00,5.66,6.48,-1.18,0.64,74.90,2.47,0.00,13.92
11781,14.70,0.17,1178,0.00,0.00,16,10.59,12.00,5.66,6.55,-1.18,0.64,74.90,2.52,0.00,13.84
11843,14.70,0.17,1166,0.00,0.00,16,10.23,12.00,5.80,6.66,-1.18,0.64,74.90,2.51,0.00,14.00
11921,14.70,0.17,1166,0.00,0.00,16,10.59,13.00,5.80,6.66,-1.18,0.64,74.90,2.49,0.00,13.92
11984,14.59,0.17,1175,0.00,0.00,16,10.59,13.00,5.80,6.66,-1.18,0.64,74.90,2.49,0.00,14.00
12047,14.70,0.17,1184,0.00,0.00,16,10.23,12.00,5.80,6.62,-1.18,0.64,74.90,2.51,0.00,14.00
12109,14.70,0.17,1176,0.00,0.00,16,10.59,11.00,5.80,6.59,-1.18,0.64,74.90,2.52,0.00,14.00
12187,14.70,0.17,1188,0.00,0.00,16,10.59,11.50,5.80,6.62,-1.18,0.64,74.90,2.51,0.00,14.00
12250,14.81,0.17,1192,0.00,0.00,16,10.59,10.50,5.80,6.59,-1.18,0.64,74.90,2.53,0.00,14.00
12313,14.70,0.17,1185,0.00,0.00,16,10.59,10.50,5.80,6.62,-1.18,0.64,74.90,2.54,0.00,14.00
12375,14.70,0.17,1189,0.00,0.00,16,10.59,11.00,5.80,6.66,-1.18,0.64,74.90,2.53,0.00,13.92
12440,14.81,0.17,1192,0.00,0.00,16,10.59,10.50,5.66,6.70,-1.18,0.64,74.90,2.54,0.00,14.00
12518,14.81,0.17,1170,0.00,0.00,16,10.59,10.50,5.80,6.62,-1.18,0.64,74.90,2.54,0.00,14.00
12581,14.93,0.17,1178,0.00,0.00,16,10.59,13.00,5.80,6.62,-1.18,0.64,74.90,2.49,0.00,14.00
12644,14.81,0.17,1193,0.00,0.00,16,10.59,12.00,5.80,6.62,-1.18,0.64,74.90,2.51,0.00,14.00
12706,14.93,0.17,1192,0.00,0.00,16,10.59,10.50,5.80,6.55,-1.18,0.64,74.90,2.54,0.00,14.00
12769,14.93,0.17,1183,0.00,0.00,16,10.59,10.50,5.80,6.59,-1.18,0.64,74.90,2.54,0.00,14.00
12847,14.81,0.17,1186,0.00,0.00,16,10.59,11.50,5.66,6.62,-1.18,0.64,74.90,2.52,0.00,14.00
12909,14.93,0.17,1188,0.00,0.00,16,10.59,12.50,5.80,6.59,-1.18,0.64,74.90,2.53,0.00,14.00
12972,14.93,0.17,1186,0.00,0.00,16,10.59,11.00,5.80,6.59,-1.18,0.64,74.90,2.53,0.00,14.00
13034,14.81,0.17,1180,0.00,0.00,16,10.59,11.00,5.80,6.62,-1.18,0.64,74.90,2.53,0.00,14.00
13112,14.81,0.17,1182,0.00,0.00,16,10.59,11.50,5.80,6.62,-1.18,0.64,74.90,2.52,0.00,14.00
13175,14.81,0.17,1184,0.00,0.00,16,10.59,11.50,5.80,6.70,-1.18,0.64,74.90,2.52,0.00,13.92
13237,14.81,0.17,1178,0.00,0.00,16,10.59,11.50,5.80,6.70,-1.18,0.64,74.90,2.52,0.00,14.00
13300,14.81,0.17,1189,0.00,0.00,16,10.59,11.50,5.80,6.77,-1.18,0.64,74.90,2.51,0.00,13.92
13378,14.81,0.17,1194,0.00,0.00,16,10.59,10.50,5.80,6.88,-1.18,0.64,74.90,2.55,0.00,14.00
13440,14.70,0.18,1136,0.00,0.00,16,10.59,10.00,5.95,6.88,-1.18,0.64,74.90,2.56,0.00,13.84
13503,14.81,0.18,1164,0.00,0.00,16,10.23,16.00,5.95,6.88,-1.18,0.64,74.90,2.82,0.00,14.00
13565,14.81,0.17,1212,0.00,0.00,16,10.59,13.00,5.95,6.92,-1.18,0.64,74.90,2.84,0.00,13.92
13643,14.70,0.17,1204,0.00,0.00,16,10.59,8.00,5.95,6.99,-1.49,0.64,74.90,2.57,0.00,14.00
13706,14.70,0.17,1208,0.00,0.00,16,10.59,8.50,5.95,6.92,-1.49,0.64,74.90,2.58,0.00,13.92
