Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%)
7265,16.42,0.11,1080,0.00,0.00,16,14.10,22.00,3.63,3.91,-1.30,0.64,13.60,0.00
7461,15.04,0.11,1050,0.00,0.00,16,14.10,22.00,3.77,3.85,-1.30,0.64,13.68,0.00
7652,13.21,0.10,1047,0.00,0.00,16,14.10,22.00,3.77,3.62,-1.30,0.64,13.60,0.00
7834,12.40,0.11,1003,0.00,0.00,16,14.10,22.00,3.77,3.52,-1.30,0.64,13.68,0.00
8022,12.17,0.11,952,0.00,0.00,16,14.10,22.00,3.77,3.56,-1.30,0.64,13.76,0.00
8209,12.29,0.12,900,0.00,0.00,16,14.10,22.00,3.92,3.52,-1.30,0.64,13.68,0.00
8412,12.52,0.12,871,0.00,0.00,16,14.10,22.00,4.06,3.36,-1.30,0.64,13.68,0.00
8601,12.86,0.11,857,0.00,0.00,16,14.10,22.00,4.21,3.23,-1.30,0.64,13.68,0.00
8788,13.09,0.11,826,0.00,0.00,16,14.10,22.00,4.21,3.08,-1.30,0.64,13.68,0.00
8976,13.21,0.12,772,0.00,0.00,16,14.10,22.00,4.35,3.08,-1.30,0.64,13.68,0.00
9163,13.55,0.12,765,0.00,0.00,16,14.10,22.00,4.50,3.13,-1.30,0.64,13.60,0.00
9366,13.90,0.13,754,0.00,0.00,16,14.10,22.00,4.79,3.17,-1.30,0.64,13.68,0.00
9554,14.36,0.13,768,0.00,0.00,16,14.10,22.00,4.79,3.21,-1.30,0.64,13.60,0.00
9741,14.81,0.13,770,0.00,0.00,16,14.10,21.00,4.93,3.25,-1.30,0.64,13.68,0.00
9945,15.27,0.13,792,0.00,0.00,16,14.10,17.50,4.93,3.31,-1.30,0.64,13.60,0.00
10132,15.85,0.12,808,0.00,0.00,16,14.10,15.50,4.93,3.33,-1.30,0.64,13.68,0.00
10320,16.08,0.12,810,0.00,0.00,16,14.10,15.00,4.93,3.25,-1.30,0.64,13.52,0.00
10507,16.19,0.12,818,0.00,0.00,16,14.10,14.00,4.93,3.25,-1.30,0.64,13.68,0.00
10695,16.19,0.12,835,0.00,0.00,16,14.10,12.00,4.79,3.25,-1.30,0.64,13.60,0.00
10898,16.19,0.12,828,0.00,0.00,16,14.10,13.00,4.79,3.28,-1.30,0.64,13.76,0.00
11085,16.31,0.13,838,0.00,0.00,16,14.10,12.50,4.79,3.78,-1.30,0.68,13.60,0.00
11273,16.19,0.18,890,0.00,0.00,16,15.16,14.50,5.08,5.27,-1.30,0.74,13.68,0.00
11462,15.85,0.20,1107,0.00,0.00,16,18.32,17.50,6.09,7.22,-1.30,0.78,13.68,0.00
11650,14.59,0.22,1437,0.00,0.00,16,26.76,26.50,6.82,10.54,-1.60,0.84,13.76,0.00
11854,14.01,0.23,1762,0.00,0.00,16,32.38,32.50,7.40,12.59,-1.60,0.88,13.68,0.00
12035,15.62,0.21,1997,0.00,0.00,16,37.66,37.50,7.25,14.09,-1.60,0.90,13.76,0.00
12225,15.73,0.22,2045,0.00,0.00,16,38.71,38.00,7.11,14.73,-1.90,0.90,13.68,0.00
12413,14.93,0.23,2032,0.00,0.00,16,38.71,38.50,7.25,15.55,-1.90,0.90,13.68,0.00
12616,14.47,0.23,2000,0.00,0.00,16,38.36,38.00,7.40,15.26,-1.60,0.90,13.60,0.00
12810,14.24,0.25,1900,0.00,0.00,16,36.60,36.00,7.69,15.78,-1.60,0.90,13.68,0.00
12998,14.36,0.27,1786,0.00,0.00,16,34.14,33.50,7.98,16.00,-1.60,0.92,13.60,0.00
13186,14.47,0.27,1661,0.00,0.00,16,31.33,30.50,8.42,15.19,-1.60,0.92,13.68,0.00
13373,14.47,0.29,1597,0.00,0.00,16,30.98,30.50,8.71,15.41,-1.60,0.92,13.60,0.00
13561,14.13,0.29,1578,0.00,0.00,16,31.33,30.50,9.14,15.48,-1.60,0.92,13.68,0.00
13749,14.36,0.30,1550,0.00,0.00,16,31.33,30.50,9.29,15.41,-1.60,0.92,13.60,0.00
13952,14.81,0.30,1518,0.00,0.00,16,30.98,30.50,9.43,15.19,-1.60,0.92,13.60,0.00
14140,14.70,0.25,1553,0.00,0.00,16,29.22,28.00,9.43,12.84,-1.60,0.64,13.60,0.00
14327,14.24,0.11,1675,0.00,0.00,16,20.43,22.00,4.93,3.55,-1.60,0.64,13.60,0.00
14515,13.44,0.09,1632,0.00,0.00,16,14.10,14.00,3.77,4.49,-1.60,0.64,13.68,0.00
14718,14.36,0.12,1348,0.00,0.00,16,14.10,22.00,3.77,5.27,-1.60,0.64,13.68,0.00
14910,14.81,0.12,1255,0.00,0.00,16,14.10,22.00,3.77,4.95,-1.60,0.64,13.68,0.00
15097,17.57,0.12,1244,0.00,0.00,16,14.10,22.00,3.63,4.66,-1.60,0.66,13.76,0.00
15285,17.69,0.14,1207,0.00,0.00,16,14.10,14.00,3.77,5.59,-1.60,0.68,13.68,0.00
15472,14.70,0.14,1139,0.00,0.00,16,15.86,15.00,4.21,5.49,-1.30,0.70,13.76,0.00
15675,12.40,0.13,1118,0.00,0.00,16,17.27,16.50,4.50,5.01,-1.30,0.70,13.60,0.00
15860,11.37,0.14,1113,0.00,0.00,16,19.02,18.50,4.79,5.01,-1.30,0.70,13.68,0.00
16047,11.25,0.14,1110,0.00,0.00,16,20.43,20.00,5.08,5.08,-1.30,0.70,13.60,0.00
16252,11.94,0.11,1134,0.00,0.00,16,20.08,23.00,5.08,3.67,-1.30,0.64,13.68,0.00
16441,13.21,0.10,1123,0.00,0.00,16,15.86,19.00,4.21,3.25,-1.30,0.64,13.68,0.00
16634,14.24,0.09,1045,0.00,0.00,16,14.10,22.00,3.92,3.33,-1.30,0.64,13.60,0.00
16823,14.81,0.11,992,0.00,0.00,16,14.10,22.00,3.92,3.45,-1.30,0.64,13.68,0.00
17010,15.16,0.11,972,0.00,0.00,16,14.10,22.00,4.06,3.49,-1.30,0.64,13.60,0.00
17198,15.39,0.10,967,0.00,0.00,16,14.10,22.00,4.06,3.36,-1.30,0.64,13.68,0.00
17385,15.62,0.11,935,0.00,0.00,16,14.10,22.00,4.21,3.28,-1.30,0.64,13.68,0.00
17589,15.73,0.11,920,0.00,0.00,16,14.10,22.00,4.21,3.28,-1.30,0.64,13.68,0.00
17772,15.39,0.11,924,0.00,0.00,16,14.10,22.00,4.35,3.23,-1.30,0.64,13.28,0.00
17964,15.04,0.11,898,0.00,0.00,16,14.10,22.00,4.35,3.28,-1.30,0.64,13.68,0.00
18151,14.81,0.11,880,0.00,0.00,16,14.10,22.00,4.35,3.28,-1.30,0.64,13.68,0.00
18354,14.81,0.11,890,0.00,0.00,16,14.10,21.00,4.35,3.25,-1.30,0.64,13.68,0.00
18542,14.70,0.11,872,0.00,0.00,16,14.10,21.00,4.35,3.23,-1.30,0.64,13.68,0.00
18729,14.70,0.11,870,0.00,0.00,16,14.10,20.00,4.50,3.23,-1.30,0.64,13.68,0.00
18917,14.70,0.11,858,0.00,0.00,16,14.10,20.00,4.50,3.23,-1.30,0.64,13.60,0.00
19112,14.81,0.11,867,0.00,0.00,16,14.10,19.00,4.50,3.25,-1.30,0.64,13.68,0.00
19305,15.04,0.11,859,0.00,0.00,16,14.10,18.50,4.50,3.25,-1.30,0.64,13.60,0.00
19491,15.27,0.11,871,0.00,0.00,16,14.10,16.50,4.50,3.25,-1.30,0.64,13.68,0.00
19684,15.39,0.11,868,0.00,0.00,16,14.10,16.50,4.50,3.25,-1.30,0.64,13.60,0.00
19870,15.39,0.11,859,0.00,0.00,16,14.10,16.50,4.50,3.28,-1.30,0.64,13.68,0.00
20064,15.39,0.11,852,0.00,0.00,16,14.10,16.50,4.64,3.25,-1.30,0.64,13.68,0.00
20245,15.39,0.11,852,0.00,0.00,16,14.10,16.50,4.64,3.25,-1.30,0.64,13.68,0.00
20433,15.27,0.11,842,0.00,0.00,16,14.10,17.00,4.64,3.25,-1.30,0.64,13.68,0.00
20622,15.27,0.11,866,0.00,0.00,16,14.10,14.00,4.64,3.25,-1.30,0.64,13.60,0.00
20828,15.27,0.12,869,0.00,0.00,16,14.10,13.50,4.64,3.25,-1.30,0.66,13.68,0.00
21013,15.27,0.16,871,0.00,0.00,16,14.45,13.50,4.93,4.35,-1.30,0.70,13.68,0.00
21201,15.39,0.19,975,0.00,0.00,16,16.91,16.00,5.80,5.98,-1.30,0.74,13.68,0.00
21404,14.93,0.19,1061,0.00,0.00,16,19.38,18.00,6.24,6.62,-1.30,0.74,13.76,0.00
21612,13.55,0.20,1036,0.00,0.00,16,21.84,21.50,6.53,6.77,-1.30,0.76,13.68,0.00
21799,13.44,0.24,1019,0.00,0.00,16,25.35,24.50,7.11,8.03,-1.30,0.78,13.68,0.00
21987,14.47,0.25,1020,0.00,0.00,16,26.76,26.00,7.98,8.65,-1.30,0.80,13.68,0.00
22179,14.70,0.25,1078,0.00,0.00,16,27.11,26.50,8.42,9.09,-1.30,0.80,13.68,0.00
22366,14.81,0.21,1140,0.00,0.00,16,22.19,23.50,7.69,6.97,-1.30,0.64,13.60,0.00
22569,15.04,0.14,1130,0.00,0.00,16,16.21,9.00,5.66,3.28,-1.30,0.64,13.68,0.00
22757,15.04,0.10,1117,0.00,0.00,16,14.10,7.50,4.64,3.14,-1.30,0.64,13.60,0.00
22947,14.70,0.10,1028,0.00,0.00,16,14.10,17.50,4.21,3.40,-1.30,0.64,13.68,0.00
23134,14.59,0.11,972,0.00,0.00,16,14.10,22.00,4.21,3.60,-1.30,0.64,13.60,0.00
23322,14.13,0.11,994,0.00,0.00,16,14.10,18.50,4.35,3.52,-1.30,0.64,13.68,0.00
23509,14.81,0.17,973,0.00,0.00,16,15.16,14.50,4.50,5.62,-1.30,0.74,13.68,0.00
23712,15.50,0.20,1131,0.00,0.00,16,17.97,17.50,5.80,6.84,-1.30,0.78,13.60,0.00
23900,14.59,0.22,1402,0.00,0.00,16,25.70,26.00,6.67,9.48,-1.60,0.82,13.68,0.00
24087,13.09,0.21,1501,0.00,0.00,16,28.16,27.00,7.11,10.54,-1.60,0.84,13.60,0.00
24275,14.70,0.22,1552,0.00,0.00,16,28.87,28.50,7.25,11.15,-1.60,0.84,13.68,0.00
24462,16.08,0.22,1571,0.00,0.00,16,29.22,28.50,7.40,11.56,-1.60,0.84,13.68,0.00
24665,15.73,0.23,1549,0.00,0.00,16,28.87,28.50,7.55,11.93,-1.60,0.86,13.68,0.00
24855,15.16,0.25,1460,0.00,0.00,16,28.52,28.00,7.84,12.04,-1.60,0.86,13.68,0.00
25043,14.70,0.27,1376,0.00,0.00,16,29.22,28.50,8.27,12.15,-1.60,0.86,13.68,0.00
25230,14.47,0.28,1292,0.00,0.00,16,29.22,28.50,8.56,12.20,-1.60,0.86,13.68,0.00
25424,14.70,0.26,1442,0.00,0.00,16,29.22,28.50,8.85,12.59,-1.60,0.86,13.60,0.00
25611,14.70,0.26,1528,0.00,0.00,16,29.22,28.50,8.71,12.90,-1.60,0.88,13.60,0.00
25809,15.16,0.26,1608,0.00,0.00,16,29.57,29.50,8.56,13.90,-1.60,0.90,13.68,0.00
25998,15.27,0.35,1748,0.00,0.00,16,36.60,36.00,9.14,19.11,-0.68,1.02,13.60,0.00
26187,13.78,0.35,1813,0.00,0.00,16,38.01,37.00,10.30,21.27,-0.08,1.04,13.68,0.00
26377,14.59,0.34,1954,0.00,0.00,16,39.41,38.50,10.59,22.24,0.54,1.06,13.60,0.00
26569,15.16,0.33,2089,0.00,0.00,16,40.82,40.00,10.59,23.06,0.23,1.06,13.60,0.00
26760,14.81,0.34,2231,0.00,0.00,16,42.23,41.50,10.59,25.30,0.23,1.06,13.60,0.00
26947,14.70,0.35,2366,0.00,0.00,16,43.28,42.50,10.59,27.36,0.23,1.06,13.68,0.00
27135,14.70,0.36,2522,0.00,0.00,16,43.28,42.50,10.59,29.48,-0.39,1.06,13.60,0.00
27322,14.13,0.34,2663,0.00,0.00,16,42.93,42.50,10.45,30.38,-1.30,1.04,13.68,0.00
27525,14.01,0.32,2783,0.00,0.00,16,42.93,42.50,10.01,29.93,-1.90,1.02,13.68,0.00
27713,13.55,0.30,2955,0.00,0.00,16,43.28,43.00,9.58,29.82,-2.82,1.02,13.68,0.00
27903,13.44,0.27,3051,0.00,0.00,16,43.98,43.50,9.00,25.40,-2.82,0.90,13.68,0.00
28094,12.40,0.12,2932,0.00,0.00,16,-0.66,-6.50,5.51,9.70,-4.33,0.64,13.76,0.00
28281,11.25,0.13,2727,0.00,0.00,16,-8.05,-7.50,4.06,11.51,-4.33,0.64,13.68,0.00
28469,13.21,0.13,2414,0.00,0.00,16,-3.48,-10.50,3.92,10.64,-2.82,0.64,13.76,0.00
28672,16.31,0.11,2081,0.00,0.00,16,14.45,14.00,3.77,7.78,-2.20,0.64,13.68,0.00
28860,23.54,0.12,1825,0.00,0.00,16,14.10,14.00,3.77,7.06,-1.60,0.64,13.68,0.00
29047,23.66,0.14,1568,0.00,0.00,16,14.10,14.00,3.77,6.92,-1.60,0.64,13.60,0.00
29250,23.89,0.15,1278,0.00,0.00,16,14.10,22.00,4.06,6.26,-1.60,0.64,13.68,0.00
29422,23.77,0.20,1326,0.00,0.00,16,17.97,17.50,5.37,9.22,-1.60,0.84,13.68,0.00
29625,24.00,0.21,1826,0.00,0.00,16,34.14,33.50,6.67,12.64,-1.60,0.86,13.68,0.00
29817,13.09,0.22,1898,0.00,0.00,16,36.25,35.50,6.96,14.22,-1.60,0.90,13.60,0.00
30005,14.70,0.25,1800,0.00,0.00,16,34.49,34.00,7.55,15.06,-1.60,0.92,13.60,0.00
30192,14.93,0.31,1852,0.00,0.00,16,36.95,36.50,8.42,17.35,-1.30,0.98,13.68,0.00
30380,14.47,0.31,1896,0.00,0.00,16,37.66,37.50,9.43,19.42,-0.99,1.00,13.60,0.00
30583,14.24,0.31,1938,0.00,0.00,16,38.71,38.00,9.72,20.57,-0.99,1.00,13.68,0.00
30773,14.70,0.31,1984,0.00,0.00,16,39.77,39.00,9.72,20.40,-0.99,1.00,13.60,0.00
30961,14.59,0.30,2050,0.00,0.00,16,40.47,40.00,9.72,20.40,-0.99,0.98,13.68,0.00
31148,14.81,0.28,2081,0.00,0.00,16,41.17,40.00,9.14,18.33,-1.90,0.92,13.68,0.00
31336,13.44,0.22,2110,0.00,0.00,16,40.12,39.50,7.69,13.78,-2.20,0.84,13.68,0.00
31523,12.63,0.16,2124,0.00,0.00,16,29.22,29.50,5.80,9.13,-2.20,0.76,13.68,0.00
31726,12.17,0.11,2120,0.00,0.00,16,20.43,20.00,4.50,6.81,-2.20,0.70,13.68,0.00
31914,12.17,0.09,2117,0.00,0.00,16,19.73,19.50,3.92,6.07,-2.20,0.66,13.68,0.00
32117,12.29,0.09,2079,0.00,0.00,16,17.97,17.50,3.19,6.33,-2.20,0.64,13.76,0.00
32305,13.09,0.09,2067,0.00,0.00,16,14.45,14.00,3.19,6.04,-1.90,0.64,13.76,0.00
32492,14.24,0.09,2027,0.00,0.00,16,14.10,14.00,3.34,5.78,-1.90,0.64,13.76,0.00
32680,16.88,0.09,1982,0.00,0.00,16,14.10,14.00,3.34,5.91,-1.60,0.64,13.60,0.00
32867,21.94,0.08,1977,0.00,0.00,16,14.10,14.00,3.34,5.62,-1.60,0.64,13.68,0.00
33070,23.31,0.08,1964,0.00,0.00,16,14.10,14.00,3.34,5.40,-1.60,0.64,13.68,0.00
33258,23.66,0.08,1912,0.00,0.00,16,14.10,14.00,3.34,5.29,-1.60,0.64,13.68,0.00
33445,23.89,0.08,1898,0.00,0.00,16,14.10,14.00,3.19,5.17,-1.60,0.64,13.60,0.00
33633,23.77,0.08,1869,0.00,0.00,16,14.10,14.00,3.19,5.10,-1.60,0.64,13.68,0.00
33820,23.77,0.08,1827,0.00,0.00,16,14.10,14.00,3.19,5.08,-1.60,0.64,13.60,0.00
34022,24.00,0.08,1789,0.00,0.00,16,14.10,14.00,3.19,4.97,-1.60,0.64,13.68,0.00
34210,23.66,0.09,1754,0.00,0.00,16,14.10,14.00,3.19,5.04,-1.60,0.64,13.68,0.00
34401,23.89,0.09,1717,0.00,0.00,16,14.10,14.00,3.19,4.91,-1.60,0.64,13.68,0.00
34588,23.89,0.09,1697,0.00,0.00,16,14.10,14.00,3.19,4.91,-1.60,0.64,13.76,0.00
34776,24.00,0.09,1650,0.00,0.00,16,14.10,14.00,3.19,4.91,-1.60,0.64,13.76,0.00
34979,24.00,0.09,1616,0.00,0.00,16,14.10,14.00,3.19,4.95,-1.60,0.64,13.76,0.00
35167,24.00,0.10,1496,0.00,0.00,16,14.10,14.00,3.34,5.01,-1.60,0.64,13.76,0.00
35354,24.12,0.12,1242,0.00,0.00,16,14.10,22.00,3.48,4.75,-1.60,0.64,13.68,0.00
35541,24.12,0.11,1232,0.00,0.00,16,14.10,22.00,3.48,4.43,-1.60,0.64,13.68,0.00
35744,24.00,0.11,1157,0.00,0.00,16,14.10,22.00,3.48,4.35,-1.30,0.64,13.60,0.00
35932,23.77,0.12,1082,0.00,0.00,16,14.10,22.00,3.63,4.26,-1.30,0.64,13.68,0.00
36120,22.97,0.12,1024,0.00,0.00,16,14.10,22.00,3.77,4.07,-1.30,0.64,13.60,0.00
36307,16.65,0.11,998,0.00,0.00,16,14.10,22.00,3.92,3.80,-1.30,0.64,13.68,0.00
36510,14.13,0.11,982,0.00,0.00,16,14.10,22.00,3.92,3.60,-1.30,0.64,13.60,0.00
36696,12.17,0.11,960,0.00,0.00,16,14.10,22.00,3.92,3.49,-1.30,0.64,13.68,0.00
36888,11.71,0.11,944,0.00,0.00,16,14.10,22.00,3.92,3.40,-1.30,0.64,13.68,0.00
37084,11.60,0.11,916,0.00,0.00,16,14.10,22.00,4.06,3.33,-1.30,0.64,13.68,0.00
37271,11.83,0.11,896,0.00,0.00,16,14.10,22.00,4.06,3.25,-1.30,0.64,13.68,0.00
37466,11.83,0.11,868,0.00,0.00,16,14.10,22.00,4.21,3.23,-1.30,0.64,13.76,0.00
37656,12.17,0.11,862,0.00,0.00,16,14.10,22.00,4.21,3.17,-1.30,0.64,13.68,0.00
37832,12.40,0.11,844,0.00,0.00,16,14.10,22.00,4.35,3.13,-1.30,0.64,13.68,0.00
38019,13.21,0.11,808,0.00,0.00,16,14.10,22.00,4.35,3.08,-1.30,0.64,13.68,0.00
38222,13.67,0.12,795,0.00,0.00,16,14.10,22.00,4.50,3.03,-1.30,0.64,13.76,0.00
38410,14.13,0.11,789,0.00,0.00,16,14.10,22.00,4.64,3.03,-1.30,0.64,13.68,0.00
38597,14.59,0.12,785,0.00,0.00,16,14.10,22.00,4.64,3.02,-1.30,0.64,13.76,0.00
38785,14.81,0.12,766,0.00,0.00,16,14.10,22.00,4.64,3.08,-1.30,0.64,13.60,0.00
38988,15.16,0.12,776,0.00,0.00,16,14.10,21.00,4.79,3.14,-1.30,0.64,13.60,0.00
39175,15.39,0.12,802,0.00,0.00,16,14.10,17.50,4.79,3.13,-1.30,0.64,13.68,0.00
39368,15.62,0.12,783,0.00,0.00,16,14.10,19.00,4.79,3.13,-1.30,0.64,13.60,0.00
39560,15.73,0.12,790,0.00,0.00,16,14.10,17.50,4.79,3.14,-1.30,0.64,13.68,0.00
39747,15.73,0.12,800,0.00,0.00,16,14.10,16.50,4.93,3.17,-1.30,0.64,13.60,0.00
39935,15.73,0.12,799,0.00,0.00,16,14.10,15.50,4.93,3.19,-1.30,0.64,13.68,0.00
40122,15.96,0.12,798,0.00,0.00,16,14.10,15.50,4.93,3.17,-1.30,0.64,13.60,0.00
40325,15.96,0.12,786,0.00,0.00,16,14.10,16.50,4.93,3.21,-1.30,0.64,13.76,0.00
40513,15.85,0.12,800,0.00,0.00,16,14.10,14.00,4.93,3.21,-1.30,0.64,13.60,0.00
40700,15.85,0.12,812,0.00,0.00,16,14.10,13.00,4.93,3.19,-1.30,0.64,13.68,0.00
40888,15.85,0.12,808,0.00,0.00,16,14.10,13.50,4.93,3.21,-1.30,0.64,13.68,0.00
41075,15.85,0.12,809,0.00,0.00,16,14.10,13.50,4.93,3.21,-1.30,0.64,13.68,0.00
41278,15.73,0.12,810,0.00,0.00,16,14.10,14.00,4.93,3.21,-1.30,0.64,13.68,0.00
41497,15.62,0.12,810,0.00,0.00,16,14.10,13.50,4.93,3.21,-1.30,0.64,13.68,0.00
41685,15.62,0.12,814,0.00,0.00,16,14.10,13.00,4.79,3.19,-1.30,0.64,13.76,0.00
41872,15.50,0.12,812,0.00,0.00,16,14.10,13.50,4.79,3.21,-1.30,0.64,13.60,0.00
42059,15.50,0.12,815,0.00,0.00,16,14.10,13.00,4.79,3.19,-1.30,0.64,13.76,0.00
42263,15.50,0.11,830,0.00,0.00,16,14.10,11.50,4.79,3.17,-1.30,0.64,13.68,0.00
42450,15.39,0.12,825,0.00,0.00,16,14.10,13.00,4.79,3.17,-1.30,0.64,13.60,0.00
42638,15.27,0.12,826,0.00,0.00,16,14.10,13.00,4.79,3.17,-1.30,0.64,13.68,0.00
42825,15.27,0.11,821,0.00,0.00,16,14.10,13.50,4.79,3.17,-1.30,0.64,13.60,0.00
43013,15.16,0.12,826,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64,13.68,0.00
43216,15.16,0.12,825,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64,13.60,0.00
43403,15.04,0.11,822,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64,13.68,0.00
43591,15.04,0.11,834,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64,13.60,0.00
43778,14.93,0.11,826,0.00,0.00,16,14.10,13.50,4.64,3.13,-1.30,0.64,13.68,0.00
43981,14.93,0.12,816,0.00,0.00,16,14.10,14.50,4.64,3.14,-1.30,0.64,13.76,0.00
44169,14.81,0.11,830,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64,13.68,0.00
44356,14.81,0.12,828,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64,13.68,0.00
44544,14.70,0.11,827,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64,13.68,0.00
44745,14.70,0.11,819,0.00,0.00,16,14.10,14.50,4.64,3.13,-1.30,0.64,13.68,0.00
44937,14.70,0.11,825,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64,13.76,0.00
45126,14.70,0.11,832,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64,13.60,0.00
45321,14.70,0.11,825,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64,13.68,0.00
45511,14.59,0.11,824,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.30,0.64,13.52,0.00
45703,14.70,0.11,830,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64,13.68,0.00
