Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Fuel Pump Duty (%),Injector Duty Cycle (%),Alternator Duty (%),Battery Voltage (V),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
2678,14.70,0.12,826,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.84
2757,14.70,0.12,834,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.42,0.00,13.60,4.79,-9.84
2835,14.70,0.12,846,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.84
2898,14.70,0.12,836,0.00,0.00,16,9.88,8.00,3.38,-1.18,0.64,74.90,1.44,0.00,13.60,4.79,-9.86
2976,14.81,0.12,838,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.43,0.00,13.68,4.79,-9.84
3038,14.70,0.12,832,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.42,0.00,13.60,4.79,-9.86
3116,14.70,0.12,825,0.00,0.00,16,9.88,10.00,3.40,-1.18,0.64,74.90,1.41,0.00,13.36,4.79,-9.82
3179,14.70,0.13,812,0.00,0.00,16,9.88,11.50,3.42,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.82
3257,14.70,0.14,817,0.00,0.00,16,9.88,11.00,3.42,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.80
3319,14.70,0.12,822,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.40,0.00,13.52,4.93,-9.82
3397,14.70,0.12,832,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.42,0.00,13.60,4.93,-9.77
3460,14.70,0.12,838,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.82
3538,14.70,0.12,836,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.43,0.00,13.52,4.93,-9.82
3601,14.70,0.12,836,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.43,0.00,13.68,4.93,-9.78
3679,14.59,0.12,826,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.41,0.00,13.52,4.93,-9.73
3741,14.59,0.13,812,0.00,0.00,16,9.88,10.00,3.40,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.73
3819,14.47,0.13,810,0.00,0.00,16,9.88,11.50,3.40,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.69
3882,14.59,0.12,820,0.00,0.00,16,9.88,11.50,3.40,-1.18,0.64,74.90,1.38,0.00,13.68,5.08,-9.73
3960,14.47,0.12,829,0.00,0.00,16,9.88,10.50,3.38,-1.18,0.64,74.90,1.41,0.00,13.60,4.93,-9.71
4023,14.70,0.12,827,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.73
4101,14.59,0.12,827,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.41,0.00,13.60,4.93,-9.69
4179,14.59,0.12,834,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.42,0.00,13.68,4.93,-9.73
4241,14.59,0.13,813,0.00,0.00,16,9.88,11.00,3.40,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.71
4304,14.70,0.13,815,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.73
4386,14.70,0.13,810,0.00,0.00,16,9.88,11.00,3.40,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.71
4452,14.59,0.12,809,0.00,0.00,16,9.88,11.00,3.40,-1.18,0.64,74.90,1.38,0.00,13.68,5.08,-9.69
4530,14.70,0.12,812,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.71
4593,14.70,0.12,822,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.40,0.00,13.68,5.08,-9.73
4671,14.70,0.12,824,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.73
4737,14.70,0.12,824,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.73
4799,14.81,0.13,802,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.71
4877,14.81,0.13,807,0.00,0.00,16,9.88,11.50,3.38,-1.18,0.64,74.90,1.38,0.00,13.76,4.93,-9.67
4955,14.81,0.13,802,0.00,0.00,16,9.88,11.50,3.40,-1.18,0.64,74.90,1.37,0.00,13.68,5.08,-9.65
5018,14.81,0.13,806,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.38,0.00,13.68,5.08,-9.65
5096,14.93,0.12,818,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.40,0.00,13.68,5.08,-9.67
5159,14.81,0.12,823,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.40,0.00,13.76,5.08,-9.65
5237,14.93,0.12,822,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.73
5299,14.81,0.12,822,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.40,0.00,13.68,5.08,-9.69
5377,14.93,0.11,826,0.00,0.00,16,9.88,9.00,3.38,-1.18,0.64,74.90,1.41,0.00,13.68,4.93,-9.73
5440,14.81,0.14,810,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.71
5507,14.81,0.13,815,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.73
5585,14.81,0.12,827,0.00,0.00,16,9.88,10.00,3.40,-1.18,0.64,74.90,1.39,0.00,13.60,5.08,-9.67
5648,14.81,0.12,821,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.41,0.00,13.68,5.08,-9.73
5726,14.81,0.12,820,0.00,0.00,16,9.88,9.50,3.40,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.73
5804,14.81,0.12,812,0.00,0.00,16,9.88,9.50,3.38,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.73
5866,14.81,0.13,809,0.00,0.00,16,9.88,10.50,3.40,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.63
5944,14.81,0.13,819,0.00,0.00,16,9.88,9.50,3.45,-1.18,0.64,74.90,1.40,0.00,13.68,5.08,-9.63
6007,14.81,0.13,816,0.00,0.00,16,9.88,9.50,3.42,-1.18,0.64,74.90,1.39,0.00,13.60,5.08,-9.55
6085,14.81,0.12,831,0.00,0.00,16,9.88,8.00,3.40,-1.18,0.64,74.90,1.42,0.00,13.52,5.08,-9.57
6148,14.81,0.12,824,0.00,0.00,16,9.88,9.00,3.40,-1.18,0.64,74.90,1.41,0.00,13.68,5.08,-9.57
6226,14.81,0.12,828,0.00,0.00,16,9.88,8.50,3.40,-1.18,0.64,74.90,1.41,0.00,13.52,5.08,-9.57
6288,14.81,0.12,814,0.00,0.00,16,9.88,10.00,3.40,-1.18,0.64,74.90,1.39,0.00,13.68,5.08,-9.57
6366,14.81,0.12,822,0.00,0.00,16,9.88,9.00,3.42,-1.18,0.64,74.90,1.41,0.00,13.52,5.08,-9.61
6429,14.81,0.12,837,0.00,0.00,16,9.88,9.50,3.42,-1.18,0.64,74.90,1.40,0.00,13.68,5.08,-9.63
6507,14.81,0.11,830,0.00,0.00,16,9.88,8.00,3.42,-1.18,0.64,74.90,1.43,0.00,13.52,5.08,-9.63
6569,14.81,0.13,830,0.00,0.00,16,9.88,8.50,3.49,-1.18,0.68,74.90,1.42,0.00,13.68,5.08,-9.61
6652,14.93,0.17,836,0.00,0.00,16,10.23,8.50,3.70,-1.18,0.70,74.90,2.14,0.00,13.60,5.08,-9.42
6715,15.04,0.20,843,0.00,0.00,16,11.29,11.00,4.70,-1.18,0.72,74.90,2.34,0.00,13.68,5.22,-8.88
6793,15.16,0.21,898,0.00,0.00,16,12.70,12.50,5.49,-1.18,0.74,74.90,2.49,0.00,13.60,5.80,-8.64
6855,15.16,0.22,972,0.00,0.00,16,14.45,14.00,6.15,-1.18,0.78,74.90,2.69,0.00,13.76,6.53,-7.95
6934,15.16,0.24,1089,0.00,0.00,16,18.67,18.50,6.92,-1.18,0.82,74.90,3.49,0.00,13.60,6.96,-7.72
6996,14.93,0.25,1188,0.00,0.00,16,25.35,22.50,9.99,-1.49,0.84,74.90,4.05,0.00,13.60,7.55,-7.14
7075,13.78,0.24,1338,0.00,0.00,16,27.81,27.50,10.94,-1.49,0.84,74.90,4.00,0.00,13.68,7.84,-6.83
7137,12.98,0.23,1461,0.00,0.00,16,28.52,28.00,11.56,-1.49,0.86,74.90,4.05,0.00,13.60,7.98,-6.73
7210,12.63,0.23,1572,0.00,0.00,16,29.57,29.00,11.93,-1.49,0.86,74.90,4.03,0.00,13.68,7.98,-6.83
7282,13.67,0.23,1613,0.00,0.00,16,29.92,29.50,12.37,-1.49,0.86,74.90,4.14,0.00,13.60,7.84,-6.90
7360,14.70,0.24,1597,0.00,0.00,16,29.57,29.50,12.59,-1.49,0.86,74.90,4.47,0.00,13.68,7.84,-6.94
7423,15.73,0.24,1579,0.00,0.00,16,29.57,29.50,12.75,-1.49,0.86,74.90,4.43,0.00,13.68,7.69,-6.90
7501,15.85,0.25,1571,0.00,0.00,16,29.22,29.50,12.79,-1.49,0.86,74.90,4.69,0.00,13.68,7.84,-6.83
7564,16.08,0.25,1551,0.00,0.00,16,29.22,29.00,12.79,-1.49,0.88,74.90,4.63,0.00,13.68,7.84,-6.71
7642,15.73,0.27,1530,0.00,0.00,16,29.22,29.00,12.96,-1.49,0.88,74.90,4.90,0.00,13.68,7.98,-6.54
7705,15.50,0.27,1518,0.00,0.00,16,29.57,29.50,13.26,-1.49,0.88,74.90,4.86,0.00,13.68,8.13,-6.38
7783,15.16,0.29,1481,0.00,0.00,16,29.92,29.50,13.52,-1.49,0.88,74.90,5.05,0.00,13.68,8.56,-6.15
7845,14.81,0.29,1441,0.00,0.00,16,30.27,30.00,13.90,-1.49,0.90,74.90,4.92,0.00,13.76,8.71,-5.94
7924,14.59,0.31,1419,0.00,0.00,16,30.27,30.00,14.34,-1.49,0.90,74.90,5.15,0.00,13.68,9.00,-5.63
7987,14.59,0.30,1384,0.00,0.00,16,29.92,29.50,14.47,-1.49,0.90,74.90,5.02,0.00,13.68,9.14,-5.41
8065,14.36,0.32,1368,0.00,0.00,16,29.57,29.50,14.47,-1.49,0.90,74.90,4.96,0.00,13.68,9.43,-5.18
8127,14.13,0.33,1334,0.00,0.00,16,29.22,29.00,14.60,-1.49,0.90,74.90,4.84,0.00,13.68,9.72,-4.95
8205,14.36,0.34,1296,0.00,0.00,16,28.16,28.50,14.73,-1.49,0.90,74.90,5.04,0.00,13.76,9.87,-4.72
8272,14.47,0.35,1252,0.00,0.00,16,27.46,28.00,14.86,-1.49,0.92,74.90,4.97,0.00,13.68,10.01,-4.47
8351,14.70,0.36,1224,0.00,0.00,16,25.70,26.50,14.79,-1.49,0.92,74.90,4.81,0.00,13.68,10.30,-4.18
8413,14.70,0.37,1204,0.00,0.00,16,25.00,25.50,14.53,-1.49,0.92,74.90,4.88,0.00,13.68,10.59,-3.87
8491,14.70,0.37,1164,0.00,0.00,16,23.95,25.00,14.60,-1.18,0.92,74.90,4.72,0.00,13.68,10.88,-3.56
8554,14.70,0.36,1226,0.00,0.00,16,24.30,24.00,14.47,-1.18,0.94,74.90,4.71,0.00,13.68,11.17,-3.38
8632,14.70,0.36,1299,0.00,0.00,16,28.16,28.00,14.60,-1.49,0.94,74.90,4.71,0.00,13.76,11.32,-3.52
8694,14.81,0.34,1369,0.00,0.00,16,29.92,29.50,14.66,-1.49,0.94,74.90,5.26,0.00,13.68,11.03,-3.69
8772,14.93,0.34,1408,0.00,0.00,16,30.62,30.50,15.92,-1.49,0.94,74.90,5.41,0.00,13.60,10.88,-3.81
8835,15.16,0.33,1446,0.00,0.00,16,31.33,30.50,16.07,-1.49,0.94,74.90,5.55,0.00,13.68,10.88,-3.91
8913,15.50,0.32,1502,0.00,0.00,16,32.38,32.00,16.22,-1.49,0.96,74.90,5.45,0.00,13.60,10.74,-4.00
8976,15.85,0.33,1568,0.00,0.00,16,33.44,33.00,16.96,-1.18,0.96,74.90,5.69,0.00,13.68,10.59,-4.12
9054,16.08,0.33,1646,0.00,0.00,16,34.84,34.50,18.10,-1.18,0.98,74.90,6.23,0.00,13.60,10.59,-4.18
9116,16.19,0.33,1701,0.00,0.00,16,35.20,34.50,18.18,-1.18,0.98,74.90,6.32,0.00,13.68,10.45,-4.23
9194,15.62,0.33,1755,0.00,0.00,16,35.90,35.50,18.88,-1.18,1.00,74.90,6.53,0.00,13.60,10.45,-4.37
9257,15.39,0.33,1803,0.00,0.00,16,36.95,36.00,19.66,-0.89,1.00,74.90,6.74,0.00,13.68,10.30,-4.45
9335,15.27,0.34,1852,0.00,0.00,16,37.66,36.50,20.06,-0.89,1.00,74.90,7.11,0.00,13.60,10.30,-4.52
9398,15.27,0.33,1909,0.00,0.00,16,38.36,38.00,20.75,-0.89,1.00,74.90,7.33,0.00,13.68,10.16,-4.56
9476,15.16,0.31,1960,0.00,0.00,16,39.06,39.00,20.92,-0.89,1.00,74.90,7.11,0.00,13.60,10.16,-4.68
9538,15.04,0.31,2026,0.00,0.00,16,39.77,39.50,20.92,-0.89,1.00,74.90,7.35,0.00,13.68,10.01,-4.76
9617,14.93,0.31,2056,0.00,0.00,16,40.47,40.00,21.01,-0.89,1.00,74.90,7.46,0.00,13.60,9.87,-4.83
9679,15.04,0.31,2095,0.00,0.00,16,40.82,40.50,21.54,-0.89,1.00,74.90,7.15,0.00,13.60,9.72,-4.97
9757,15.16,0.30,2136,0.00,0.00,16,41.88,41.50,21.36,-1.18,1.00,74.90,7.29,0.00,13.68,9.72,-5.10
9835,15.16,0.31,2196,0.00,0.00,16,42.58,42.00,21.80,-1.18,1.00,74.90,7.50,0.00,13.60,9.58,-5.22
9898,15.16,0.30,2223,0.00,0.00,16,42.93,42.50,21.71,-1.49,0.98,74.90,7.59,0.00,13.68,9.43,-5.28
9976,15.16,0.30,2312,0.00,0.00,16,43.63,43.50,22.68,-1.49,0.98,74.90,7.80,0.00,13.60,9.43,-5.38
10039,15.16,0.30,2361,0.00,0.00,16,44.34,43.50,23.05,-2.42,0.98,74.90,7.89,0.00,13.68,9.29,-5.43
10116,15.04,0.30,2377,0.00,0.00,16,44.34,44.00,23.44,-2.42,0.98,74.90,8.06,0.00,13.60,9.29,-5.45
10179,14.93,0.30,2435,0.00,0.00,16,45.04,44.50,23.93,-2.42,0.96,74.90,8.31,0.00,13.68,9.29,-5.55
10257,14.81,0.29,2496,0.00,0.00,16,44.69,45.00,23.83,-2.42,0.96,74.90,8.52,0.00,13.60,9.14,-5.69
10320,14.81,0.30,2522,0.00,0.00,16,44.69,44.50,24.62,-3.04,0.96,74.90,8.61,0.00,13.68,9.00,-5.84
10398,14.81,0.29,2550,0.00,0.00,16,44.69,44.50,25.01,-3.04,0.96,74.90,8.16,0.00,13.60,8.85,-5.96
10460,14.81,0.28,2578,0.00,0.00,16,44.69,44.50,24.41,-3.64,0.96,74.90,8.25,0.00,13.68,8.56,-6.09
10538,14.70,0.27,2639,0.00,0.00,16,44.69,44.50,24.03,-3.94,0.94,74.90,8.44,0.00,13.68,8.56,-6.21
10601,14.81,0.27,2689,0.00,0.00,16,44.69,44.50,23.93,-3.94,0.94,74.90,8.60,0.00,13.60,8.27,-6.40
10679,14.81,0.27,2719,0.00,0.00,16,44.69,44.50,23.93,-3.94,0.94,74.90,8.70,0.00,13.68,8.27,-6.56
10757,14.93,0.26,2731,0.00,0.00,16,44.34,44.50,23.74,-3.94,0.92,74.90,8.16,0.00,13.60,8.13,-6.67
10820,14.81,0.25,2802,0.00,0.00,16,44.34,44.00,23.83,-4.25,0.92,74.90,8.26,0.00,13.68,7.98,-6.79
10898,14.81,0.25,2846,0.00,0.00,16,44.34,44.00,23.53,-4.25,0.92,74.90,8.37,0.00,13.60,7.84,-6.90
10961,14.93,0.24,2872,0.00,0.00,16,44.34,44.00,23.83,-4.25,0.92,74.90,8.50,0.00,13.68,7.69,-7.00
11039,14.81,0.24,2867,0.00,0.00,16,44.34,44.00,23.16,-4.25,0.92,74.90,7.97,0.00,13.68,7.69,-7.15
11101,14.81,0.23,2900,0.00,0.00,16,44.34,44.00,23.44,-4.25,0.92,74.90,8.66,0.00,13.68,7.55,-7.23
11179,14.81,0.23,2939,0.00,0.00,16,44.34,44.00,22.97,-4.25,0.92,74.90,8.15,0.00,13.68,7.40,-7.37
11242,14.70,0.23,2977,0.00,0.00,16,44.34,44.00,22.96,-4.25,0.90,74.90,8.26,0.00,13.68,7.40,-7.46
11320,14.59,0.22,2984,0.00,0.00,16,44.34,44.00,22.86,-4.25,0.90,74.90,8.28,0.00,13.68,7.11,-7.56
11382,14.47,0.21,2988,0.00,0.00,16,44.34,44.00,22.41,-4.25,0.88,74.90,8.29,0.00,13.68,6.96,-7.79
11460,14.24,0.18,3042,0.00,0.00,16,43.98,44.00,16.00,-4.25,0.70,74.90,7.14,0.00,13.68,6.38,-8.76
11523,14.01,0.14,3039,0.00,0.00,16,35.55,38.00,10.00,-4.25,0.64,74.90,0.00,0.00,13.68,5.22,-4.95
11601,13.09,0.11,2975,0.00,0.00,16,27.46,30.50,9.48,-4.25,0.64,74.90,0.00,0.00,13.68,4.50,-10.44
11664,12.06,0.12,2889,0.00,0.00,16,19.73,22.50,10.69,-4.25,0.64,74.90,0.00,0.00,13.76,4.06,-10.67
11742,12.98,0.12,2787,0.00,0.00,16,13.75,18.00,11.35,-4.25,0.64,74.90,0.00,0.00,13.68,3.92,-10.79
11804,14.36,0.13,2676,0.00,0.00,16,11.99,12.00,11.40,-4.25,0.64,74.90,0.00,0.00,13.76,3.92,-10.73
11882,15.16,0.13,2568,0.00,0.00,16,11.99,11.50,11.61,-3.94,0.64,74.90,0.00,0.00,13.68,3.92,-10.69
11960,16.54,0.13,2452,0.00,0.00,16,11.99,11.50,11.09,-3.94,0.64,74.90,0.00,0.00,13.76,4.06,-10.71
12023,19.41,0.13,2365,0.00,0.00,16,11.99,11.50,10.89,-3.04,0.64,74.90,0.00,0.00,13.68,3.92,-10.69
12101,22.97,0.12,2252,0.00,0.00,16,11.99,11.50,10.17,-3.04,0.64,74.90,0.00,0.00,13.68,4.06,-10.69
12168,24.23,0.12,2159,0.00,0.00,16,11.99,11.50,9.57,-2.42,0.64,74.90,0.00,0.00,13.68,3.92,-10.77
12231,24.00,0.12,2073,0.00,0.00,16,11.99,11.50,8.36,-1.80,0.64,74.90,0.00,0.00,13.68,3.92,-10.83
12309,23.77,0.12,1948,0.00,0.00,16,11.99,11.50,7.66,-1.80,0.64,74.90,0.00,0.00,13.68,3.92,-10.79
12371,23.54,0.13,1854,0.00,0.00,16,11.99,11.50,7.62,-1.49,0.64,74.90,0.00,0.00,13.60,3.92,-10.79
12450,23.77,0.14,1754,0.00,0.00,16,11.99,11.50,7.78,-1.49,0.64,74.90,0.00,0.00,13.68,3.92,-10.75
12512,24.00,0.14,1630,0.00,0.00,16,11.99,11.50,7.70,-1.49,0.64,74.90,0.00,0.00,13.60,3.92,-10.71
12590,23.43,0.15,1544,0.00,0.00,16,11.99,11.50,7.74,-1.49,0.64,74.90,0.00,0.00,13.68,4.06,-10.62
12668,24.12,0.17,1438,0.00,0.00,16,11.64,11.50,7.78,-1.49,0.64,74.90,0.00,0.00,13.68,4.06,-10.48
12731,23.54,0.15,1362,0.00,0.00,16,11.29,11.50,7.41,-1.49,0.64,74.90,0.00,0.00,13.68,4.21,-10.40
12809,23.66,0.14,1301,0.00,0.00,16,10.94,19.00,6.18,-1.49,0.64,74.90,2.50,0.00,13.60,4.35,-10.38
12871,23.66,0.15,1232,0.00,0.00,16,10.59,19.00,6.11,-1.49,0.64,74.90,2.37,0.00,13.68,4.35,-10.21
12949,23.89,0.13,1288,0.00,0.00,16,10.94,17.50,5.91,-1.49,0.64,74.90,2.20,0.00,13.60,4.50,-10.15
13012,23.66,0.12,1307,0.00,0.00,16,10.94,15.00,5.36,-1.49,0.64,74.90,2.23,0.00,13.68,4.50,-10.31
13090,24.00,0.12,1323,0.00,0.00,16,10.94,13.00,4.73,-1.49,0.64,74.90,2.26,0.00,13.60,4.21,-10.42
13154,24.00,0.11,1308,0.00,0.00,16,10.94,13.00,4.66,-1.49,0.64,74.90,2.23,0.00,13.60,4.21,-10.50
13232,23.54,0.11,1300,0.00,0.00,16,10.94,14.50,4.73,-1.49,0.64,74.90,1.94,0.00,13.68,4.06,-10.60
13295,23.66,0.11,1293,0.00,0.00,16,10.94,15.00,4.64,-1.49,0.64,74.90,2.21,0.00,13.60,4.06,-10.67
13373,23.31,0.11,1260,0.00,0.00,16,10.94,17.50,4.69,-1.49,0.64,74.90,2.15,0.00,13.68,4.06,-10.71
13435,20.79,0.11,1267,0.00,0.00,16,10.94,16.50,4.64,-1.49,0.64,74.90,2.16,0.00,13.60,3.92,-10.75
13513,18.15,0.13,1248,0.00,0.00,16,10.94,16.50,4.66,-1.49,0.70,74.90,2.16,0.00,13.68,3.92,-10.77
13576,16.42,0.16,1236,0.00,0.00,16,11.29,10.50,5.62,-1.49,0.72,74.90,2.66,0.00,13.60,4.06,-10.44
13654,15.50,0.18,1235,0.00,0.00,16,12.70,11.50,6.73,-1.49,0.76,74.90,2.90,0.00,13.68,4.35,-10.00
