Time (msec),A/F Sensor #1 (Direct)* (AFR),Atmospheric Pressure (psi),CL/OL Fueling* (status),Coolant Temperature (F),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%)
5379,14.35,14.36,8,192,1054,0.00,0.00,74.90,1.80,0.00,4.35,0.00
5566,14.32,14.36,8,192,1031,0.00,0.00,74.90,1.77,0.00,4.35,0.00
5738,14.53,14.36,8,192,1020,0.00,0.00,74.90,1.96,0.00,4.35,0.00
5910,14.77,14.36,8,192,1020,0.00,0.00,74.90,1.74,0.00,4.50,0.00
6082,14.87,14.36,8,192,1012,0.00,0.00,74.90,1.95,0.00,4.35,0.00
6254,14.65,14.36,8,192,1036,0.00,0.00,74.90,1.77,0.00,4.35,0.00
6426,14.56,14.36,8,192,1023,0.00,0.00,74.90,1.75,0.00,4.35,0.00
6598,14.84,14.36,8,192,1006,0.00,0.00,74.90,1.72,0.00,4.35,0.00
6770,15.21,14.36,8,192,1014,0.00,0.00,74.90,1.73,0.00,4.50,0.00
6941,15.03,14.36,8,192,1014,0.00,0.00,74.90,1.73,0.00,4.35,0.00
7113,15.08,14.36,8,192,1005,0.00,0.00,74.90,1.72,0.00,4.35,0.00
7285,15.24,14.36,8,192,1008,0.00,0.00,74.90,1.72,0.00,4.35,0.00
7462,15.05,14.36,8,192,1027,0.00,0.00,74.90,1.75,0.00,4.35,0.00
7634,14.53,14.36,8,192,1013,0.00,0.00,74.90,1.73,0.00,4.35,0.00
7821,14.39,14.36,8,192,996,0.00,0.00,74.90,1.70,0.00,4.50,0.00
7993,14.70,14.36,8,192,1012,0.00,0.00,74.90,1.73,0.00,4.35,0.00
8165,14.75,14.36,8,192,1006,0.00,0.00,74.90,1.72,0.00,4.35,0.00
8337,14.60,14.36,8,192,1011,0.00,0.00,74.90,1.73,0.00,4.35,0.00
8509,14.65,14.36,8,192,1010,0.00,0.00,74.90,1.72,0.00,4.35,0.00
8680,14.68,14.36,8,192,996,0.00,0.00,74.90,1.70,0.00,4.35,0.00
8852,14.67,14.36,8,192,1004,0.00,0.00,74.90,1.50,0.00,4.35,0.00
9040,14.65,14.36,8,194,974,0.00,0.00,74.90,1.63,0.00,4.50,0.00
9211,14.82,14.36,8,194,998,0.00,0.00,74.90,1.70,0.00,4.50,0.00
9373,14.72,14.36,8,194,1012,0.00,0.00,74.90,1.73,0.00,4.50,0.00
9560,14.39,14.36,8,194,1004,0.00,0.00,74.90,1.73,0.00,4.50,0.00
9732,14.58,14.36,8,194,989,0.00,0.00,74.90,1.69,0.00,4.50,0.00
9904,14.84,14.36,8,194,1007,0.00,0.00,74.90,1.72,0.00,4.50,0.00
10076,14.92,14.36,8,194,1013,0.00,0.00,74.90,1.73,0.00,4.50,0.00
10252,14.44,14.36,8,194,1020,0.00,0.00,74.90,1.74,0.00,4.35,0.00
10424,14.44,14.36,8,194,1018,0.00,0.00,74.90,1.74,0.00,4.35,0.00
10596,14.59,14.36,8,194,1007,0.00,0.00,74.90,1.72,0.00,4.50,0.00
10768,14.56,14.36,8,194,1005,0.00,0.00,74.90,1.72,0.00,4.50,0.00
10943,14.70,14.36,8,194,1020,0.00,0.00,74.90,1.74,0.00,4.35,0.00
11115,14.58,14.36,8,194,991,0.00,0.00,74.90,1.69,0.00,4.50,0.00
11287,14.76,14.36,8,194,1010,0.00,0.00,74.90,1.72,0.00,4.50,0.00
11459,14.48,14.36,8,194,1021,0.00,0.00,74.90,1.74,0.00,4.35,0.00
11630,14.67,14.36,8,194,1020,0.00,0.00,74.90,1.74,0.00,4.35,0.00
11818,14.47,14.36,8,194,1014,0.00,0.00,74.90,1.73,0.00,4.35,0.00
11990,14.58,14.36,8,194,1012,0.00,0.00,74.90,1.73,0.00,4.35,0.00
12162,14.51,14.36,8,194,1012,0.00,0.00,74.90,1.73,0.00,4.35,0.00
12334,14.42,14.36,8,194,1013,0.00,0.00,74.90,1.73,0.00,4.35,0.00
12505,14.70,14.36,8,194,998,0.00,0.00,74.90,1.70,0.00,4.35,0.00
12677,14.82,14.36,8,194,992,0.00,0.00,74.90,1.69,0.00,4.35,0.00
12849,14.79,14.36,8,194,1006,0.00,0.00,74.90,1.72,0.00,4.50,0.00
13021,14.56,14.36,8,194,992,0.00,0.00,74.90,1.73,0.00,4.50,0.00
13208,14.58,14.36,8,194,993,0.00,0.00,74.90,1.70,0.00,4.50,0.00
13380,14.72,14.36,8,194,1000,0.00,0.00,74.90,1.49,0.00,4.50,0.00
13552,14.72,14.36,8,194,976,0.00,0.00,74.90,1.67,0.00,4.50,0.00
13724,14.92,14.36,8,194,1002,0.00,0.00,74.90,1.71,0.00,4.50,0.00
13896,15.14,14.36,8,194,984,0.00,0.00,74.90,1.68,0.00,4.64,0.00
14068,15.13,14.36,8,194,1005,0.00,0.00,74.90,1.71,0.00,4.50,0.00
14255,14.92,14.36,8,194,1011,0.00,0.00,74.90,1.73,0.00,4.50,0.00
14427,14.82,14.36,8,194,1028,0.00,0.00,74.90,1.75,0.00,4.50,0.39
14602,14.79,14.36,8,194,1014,0.00,0.00,74.90,1.94,0.00,4.64,1.96
14773,14.51,14.36,8,194,1091,0.00,0.00,74.90,2.79,0.00,5.37,2.75
17583,15.35,14.36,8,194,1262,0.00,0.00,74.90,4.31,0.00,10.30,6.67
17759,15.75,14.36,8,196,1362,0.00,0.00,74.90,4.94,0.00,9.14,1.96
17935,14.56,14.36,8,194,1418,0.00,0.00,74.90,3.63,0.00,7.11,0.78
18107,13.04,14.36,8,196,1458,0.00,0.00,74.90,2.80,0.00,5.37,0.78
18284,13.00,14.36,8,196,1421,0.00,0.00,74.90,2.43,0.00,4.64,0.00
18456,13.30,14.36,8,196,1373,0.00,0.00,74.90,2.34,0.00,4.21,0.00
18617,13.44,14.36,8,196,1406,0.00,0.00,74.90,2.10,0.00,3.92,0.00
18804,13.82,14.36,8,196,1337,0.00,0.00,74.90,2.00,0.00,3.77,0.00
18976,13.74,14.36,8,196,1334,0.00,0.00,74.90,2.28,0.00,3.77,0.00
19148,13.28,14.36,8,196,1292,0.00,0.00,74.90,2.21,0.00,3.77,0.00
19320,12.99,14.36,8,196,1240,0.00,0.00,74.90,2.12,0.00,3.92,0.00
19492,12.67,14.36,8,196,1246,0.00,0.00,74.90,1.86,0.00,4.06,0.00
19667,12.80,14.36,8,196,1230,0.00,0.00,74.90,2.10,0.00,4.06,0.00
19839,13.44,14.36,8,196,1189,0.00,0.00,74.90,2.05,0.00,4.21,0.00
20011,14.25,14.36,8,196,1180,0.00,0.00,74.90,2.01,0.00,4.21,0.00
20183,14.53,14.36,8,196,1146,0.00,0.00,74.90,1.96,0.00,4.35,0.00
20354,14.81,14.36,8,196,1147,0.00,0.00,74.90,1.97,0.00,4.50,0.00
20526,14.51,14.36,8,196,1130,0.00,0.00,74.90,1.93,0.00,4.50,0.00
20714,14.37,14.36,8,196,1121,0.00,0.00,74.90,1.91,0.00,4.35,0.00
20886,14.49,14.36,8,196,1115,0.00,0.00,74.90,1.90,0.00,4.35,0.00
21057,14.44,14.36,8,196,1103,0.00,0.00,74.90,1.88,0.00,4.21,0.00
21229,14.51,14.36,8,196,1112,0.00,0.00,74.90,1.90,0.00,4.21,0.00
21401,14.65,14.36,8,196,1087,0.00,0.00,74.90,1.85,0.00,4.21,0.00
21573,14.81,14.36,8,196,1115,0.00,0.00,74.90,1.90,0.00,4.21,0.00
21745,14.80,14.36,8,196,1090,0.00,0.00,74.90,1.63,0.00,4.21,0.00
21922,14.95,14.36,8,196,1091,0.00,0.00,74.90,1.86,0.00,4.21,0.00
22093,15.16,14.36,8,196,1100,0.00,0.00,74.90,1.88,0.00,4.21,0.00
22265,15.39,14.36,8,196,1106,0.00,0.00,74.90,1.85,0.00,4.21,0.00
22437,15.17,14.36,8,196,1097,0.00,0.00,74.90,1.87,0.00,4.21,0.00
22614,14.90,14.36,8,196,1079,0.00,0.00,74.90,1.84,0.00,4.21,0.00
22786,14.58,14.36,8,196,1094,0.00,0.00,74.90,1.82,0.00,4.21,0.00
22957,14.59,14.36,8,196,1103,0.00,0.00,74.90,1.88,0.00,4.21,0.00
23145,14.53,14.36,8,196,1087,0.00,0.00,74.90,1.86,0.00,4.21,0.00
23317,14.53,14.36,8,196,1083,0.00,0.00,74.90,1.86,0.00,4.21,0.00
23493,14.62,14.36,8,196,1073,0.00,0.00,74.90,1.83,0.00,4.21,0.00
23665,14.59,14.36,8,196,1086,0.00,0.00,74.90,1.85,0.00,4.21,0.00
23837,14.65,14.36,8,196,1060,0.00,0.00,74.90,1.81,0.00,4.21,0.00
24009,14.79,14.36,8,196,1067,0.00,0.00,74.90,1.82,0.00,4.21,0.00
24196,15.02,14.36,8,196,1055,0.00,0.00,74.90,1.80,0.00,4.21,0.00
24368,14.95,14.36,8,196,1048,0.00,0.00,74.90,1.79,0.00,4.35,0.00
24540,14.95,14.36,8,196,1014,0.00,0.00,74.90,1.73,0.00,4.35,0.00
24712,15.11,14.36,8,196,1035,0.00,0.00,74.90,1.77,0.00,4.35,0.00
24884,15.48,14.36,8,196,1010,0.00,0.00,74.90,1.75,0.00,4.50,0.00
25056,15.72,14.36,8,196,1015,0.00,0.00,74.90,1.73,0.00,4.50,0.00
25228,15.60,14.36,8,198,1013,0.00,0.00,74.90,1.73,0.00,4.50,0.00
25399,15.27,14.36,8,198,1000,0.00,0.00,74.90,1.70,0.00,4.64,0.00
25571,15.27,14.36,8,198,994,0.00,0.00,74.90,1.70,0.00,4.64,0.00
25743,15.27,14.36,8,198,985,0.00,0.00,74.90,1.68,0.00,4.64,0.00
25920,14.97,14.36,8,198,979,0.00,0.00,74.90,1.67,0.00,4.79,0.00
26093,14.90,14.36,8,198,978,0.00,0.00,74.90,1.67,0.00,4.79,0.00
26270,14.95,14.36,8,198,993,0.00,0.00,74.90,1.91,0.00,4.93,0.00
26443,15.19,14.36,8,198,988,0.00,0.00,74.90,1.69,0.00,4.93,0.00
26618,15.09,14.36,8,198,1006,0.00,0.00,74.90,1.72,0.00,4.93,0.00
26790,15.36,14.36,8,198,1008,0.00,0.00,74.90,1.72,0.00,4.93,0.00
26962,15.38,14.36,8,198,979,0.00,0.00,74.90,1.88,0.00,4.79,0.00
27134,15.63,14.36,8,198,1008,0.00,0.00,74.90,1.72,0.00,5.08,0.00
27321,15.30,14.36,8,198,1010,0.00,0.00,74.90,1.72,0.00,4.93,0.00
27493,15.13,14.36,8,198,1005,0.00,0.00,74.90,1.93,0.00,4.93,0.00
27665,15.45,14.36,8,198,1002,0.00,0.00,74.90,1.92,0.00,4.93,0.00
27837,15.27,14.36,8,198,1002,0.00,0.00,74.90,1.94,0.00,4.93,0.00
28009,15.24,14.36,8,198,984,0.00,0.00,74.90,1.89,0.00,5.08,0.00
28181,15.21,14.36,8,198,969,0.00,0.00,74.90,1.86,0.00,5.22,0.00
28353,14.70,14.36,8,198,969,0.00,0.00,74.90,1.66,0.00,5.37,0.00
28525,13.99,14.36,8,198,956,0.00,0.00,74.90,1.84,0.00,5.37,0.00
28698,14.37,14.36,8,198,946,0.00,0.00,74.90,2.02,0.00,5.51,0.00
28874,14.87,14.36,8,198,954,0.00,0.00,74.90,1.83,0.00,5.66,0.00
29047,15.16,14.36,8,198,954,0.00,0.00,74.90,2.03,0.00,5.80,0.00
29219,15.29,14.36,8,198,956,0.00,0.00,74.90,2.04,0.00,5.95,0.00
29391,15.60,14.36,8,198,956,0.00,0.00,74.90,2.04,0.00,6.09,0.00
29563,15.51,14.36,8,198,942,0.00,0.00,74.90,2.01,0.00,6.24,0.00
29740,15.60,14.36,8,198,971,0.00,0.00,74.90,2.07,0.00,6.24,0.00
29911,15.45,14.36,8,198,981,0.00,0.00,74.90,2.09,0.00,6.24,0.00
30099,15.54,14.36,8,198,1001,0.00,0.00,74.90,2.14,0.00,6.09,0.00
30271,15.79,14.36,8,198,982,0.00,0.00,74.90,2.09,0.00,5.95,0.00
30443,15.84,14.36,8,198,994,0.00,0.00,74.90,2.12,0.00,6.09,0.00
30614,15.79,14.36,8,198,1034,0.00,0.00,74.90,2.21,0.00,6.09,0.00
30786,15.54,14.36,8,198,1056,0.00,0.00,74.90,2.25,0.00,5.80,0.00
30958,15.72,14.36,8,198,1025,0.00,0.00,74.90,1.97,0.00,5.66,0.00
31130,15.97,14.36,8,198,991,0.00,0.00,74.90,1.90,0.00,5.66,0.39
31302,16.43,14.36,8,198,1076,0.00,0.00,74.90,2.23,0.00,5.66,0.39
31474,15.36,14.36,8,198,1030,0.00,0.00,74.90,2.20,0.00,5.66,1.96
31646,15.66,14.36,8,198,1089,0.00,0.00,74.90,2.79,0.00,6.09,3.14
31833,14.92,14.36,8,198,1100,0.00,0.00,74.90,3.01,0.00,6.67,3.53
32005,14.58,14.36,8,198,1150,0.00,0.00,74.90,2.94,0.00,6.82,3.53
32177,14.49,14.36,8,198,1204,0.00,0.00,74.90,3.08,0.00,6.96,3.92
32349,14.82,14.36,8,198,1229,0.00,0.00,74.90,3.14,0.00,6.96,3.92
32521,15.05,14.36,8,198,1299,0.00,0.00,74.90,3.32,0.00,6.96,4.31
32693,15.19,14.36,8,198,1322,0.00,0.00,74.90,3.38,0.00,6.82,4.31
32864,15.05,14.36,8,198,1395,0.00,0.00,74.90,3.57,0.00,6.82,4.71
33036,14.87,14.36,8,198,1433,0.00,0.00,74.90,3.67,0.00,6.67,5.10
33224,14.90,14.36,8,198,1482,0.00,0.00,74.90,3.79,0.00,6.82,5.49
33395,14.79,14.36,8,198,1538,0.00,0.00,74.90,3.94,0.00,6.82,5.49
33567,14.74,14.36,8,198,1569,0.00,0.00,74.90,4.02,0.00,6.82,5.10
33739,14.84,14.36,8,198,1636,0.00,0.00,74.90,3.84,0.00,6.09,1.96
33911,13.89,14.36,10,198,1644,0.00,0.00,74.90,0.00,0.00,4.79,0.00
34083,13.42,14.36,10,198,1599,0.00,0.00,74.90,0.00,0.00,3.92,0.00
34255,16.61,14.36,10,199,1609,0.00,0.00,74.90,0.00,0.00,3.92,0.00
34427,22.85,14.36,10,199,1584,0.00,0.00,74.90,0.00,0.00,3.92,0.00
34599,24.31,14.36,10,199,1439,0.00,0.00,74.90,0.00,0.00,4.06,0.00
34786,23.65,14.36,10,199,1410,0.00,0.00,74.90,0.00,0.00,3.92,0.00
34958,23.93,14.36,10,199,1358,0.00,0.00,74.90,2.32,0.00,3.92,0.00
35130,24.00,14.36,10,199,1405,0.00,0.00,74.90,2.10,0.00,3.63,0.00
35302,22.81,14.36,10,199,1287,0.00,0.00,74.90,2.19,0.00,3.77,0.39
35474,16.93,14.36,10,199,1284,0.00,0.00,74.90,2.19,0.00,3.77,1.18
35645,14.15,14.36,8,199,1354,0.00,0.00,74.90,2.60,0.00,4.06,1.57
35817,13.11,14.36,8,199,1326,0.00,0.00,74.90,2.34,0.00,4.35,1.57
35989,13.41,14.36,8,199,1288,0.00,0.00,74.90,2.47,0.00,4.50,1.57
36161,13.89,14.36,8,199,1362,0.00,0.00,74.90,2.32,0.00,4.50,1.96
36348,14.10,14.36,8,199,1289,0.00,0.00,74.90,2.47,0.00,4.50,1.96
36520,14.62,14.36,8,199,1370,0.00,0.00,74.90,2.34,0.00,4.50,1.18
36692,14.82,14.36,8,199,1320,0.00,0.00,74.90,2.25,0.00,4.06,0.00
36864,14.44,14.36,8,199,1340,0.00,0.00,74.90,2.00,0.00,3.77,0.00
37036,13.85,14.36,8,199,1309,0.00,0.00,74.90,1.95,0.00,3.63,0.00
37208,13.93,14.36,8,199,1300,0.00,0.00,74.90,2.22,0.00,3.63,0.00
37380,13.86,14.36,8,199,1322,0.00,0.00,74.90,1.97,0.00,3.63,1.18
37552,13.64,14.36,8,199,1294,0.00,0.00,74.90,2.48,0.00,4.06,2.35
37739,13.54,14.36,8,199,1360,0.00,0.00,74.90,2.90,0.00,4.79,3.14
37911,12.90,14.36,8,199,1252,0.00,0.00,74.90,2.67,0.00,5.22,3.14
38083,13.68,14.36,8,199,1374,0.00,0.00,74.90,2.93,0.00,5.66,3.92
38255,14.69,14.36,8,199,1299,0.00,0.00,74.90,2.22,0.00,6.09,3.92
38426,15.90,14.36,8,199,1435,0.00,0.00,74.90,3.06,0.00,6.24,4.31
38598,15.30,14.36,8,199,1320,0.00,0.00,74.90,3.10,0.00,6.24,3.92
38770,15.11,14.36,8,199,1512,0.00,0.00,74.90,3.14,0.00,6.24,4.31
38942,15.21,14.36,8,199,1417,0.00,0.00,74.90,3.32,0.00,6.24,4.31
39114,15.44,14.36,8,199,1520,0.00,0.00,74.90,3.24,0.00,5.95,4.31
39301,15.45,14.36,8,199,1497,0.00,0.00,74.90,3.51,0.00,5.95,4.31
39473,14.95,14.36,8,199,1546,0.00,0.00,74.90,3.30,0.00,5.66,1.18
39645,14.49,14.36,8,199,1579,0.00,0.00,74.90,2.69,0.00,4.64,1.18
39817,13.89,14.36,8,199,1566,0.00,0.00,74.90,2.34,0.00,4.35,0.78
39989,14.60,14.36,8,199,1504,0.00,0.00,74.90,2.57,0.00,4.21,0.78
40165,14.87,14.36,8,199,1542,0.00,0.00,74.90,2.63,0.00,4.06,0.78
40337,14.81,14.36,8,199,1498,0.00,0.00,74.90,2.56,0.00,4.06,0.78
40509,14.46,14.36,8,199,1485,0.00,0.00,74.90,1.90,0.00,4.06,0.78
40686,14.31,14.36,8,199,1459,0.00,0.00,74.90,2.18,0.00,4.06,1.18
40858,14.69,14.36,8,199,1482,0.00,0.00,74.90,2.53,0.00,4.06,1.57
41029,13.97,14.36,8,199,1478,0.00,0.00,74.90,2.52,0.00,4.35,2.35
41201,13.87,14.36,8,199,1448,0.00,0.00,74.90,2.78,0.00,4.64,2.75
41373,13.66,14.36,8,199,1493,0.00,0.00,74.90,2.87,0.00,4.93,3.14
41545,14.00,14.36,8,199,1478,0.00,0.00,74.90,2.84,0.00,5.08,3.14
41717,14.74,14.36,8,199,1507,0.00,0.00,74.90,2.86,0.00,5.22,3.14
41893,15.03,14.36,8,199,1506,0.00,0.00,74.90,2.57,0.00,5.22,3.14
42065,15.21,14.36,8,199,1534,0.00,0.00,74.90,2.95,0.00,5.08,3.14
42237,15.39,14.36,8,199,1542,0.00,0.00,74.90,2.92,0.00,5.08,3.14
42424,15.16,14.36,8,199,1549,0.00,0.00,74.90,2.97,0.00,5.08,3.14
42596,14.97,14.36,8,199,1562,0.00,0.00,74.90,3.00,0.00,5.08,3.14
42756,15.00,14.36,8,199,1562,0.00,0.00,74.90,3.00,0.00,5.08,3.14
42944,15.16,14.36,8,199,1577,0.00,0.00,74.90,3.03,0.00,4.93,3.14
43116,15.18,14.36,8,199,1552,0.00,0.00,74.90,2.98,0.00,5.08,3.14
43292,14.87,14.36,8,199,1657,0.00,0.00,74.90,3.18,0.00,4.93,3.14
43457,14.89,14.36,8,199,1522,0.00,0.00,74.90,2.92,0.00,4.93,3.14
43629,14.90,14.36,8,199,1654,0.00,0.00,74.90,3.18,0.00,4.93,3.14
43807,14.46,14.36,8,199,1662,0.00,0.00,74.90,2.84,0.00,4.64,3.14
43979,15.00,14.36,8,199,1599,0.00,0.00,74.90,3.07,0.00,4.93,3.14
44155,14.76,14.36,8,199,1696,0.00,0.00,74.90,2.89,0.00,4.64,3.14
44327,14.82,14.36,8,199,1616,0.00,0.00,74.90,3.10,0.00,4.64,3.14
44499,14.84,14.36,8,199,1701,0.00,0.00,74.90,3.27,0.00,4.64,3.14
44671,14.21,14.36,8,199,1655,0.00,0.00,74.90,3.18,0.00,4.64,3.14
44843,14.23,14.36,8,199,1712,0.00,0.00,74.90,3.29,0.00,4.50,3.14
45030,14.30,14.36,8,199,1673,0.00,0.00,74.90,2.86,0.00,4.50,3.14
45191,14.74,14.36,8,199,1764,0.00,0.00,74.90,2.95,0.00,4.50,3.14
45379,14.98,14.36,8,199,1720,0.00,0.00,74.90,3.30,0.00,4.35,3.14
45540,15.01,14.36,8,199,1754,0.00,0.00,74.90,2.99,0.00,4.35,3.14
45711,14.60,14.36,8,199,1744,0.00,0.00,74.90,3.00,0.00,4.35,3.14
45899,14.61,14.36,8,199,1776,0.00,0.00,74.90,3.03,0.00,4.35,3.14
46059,14.56,14.36,8,199,1768,0.00,0.00,74.90,3.02,0.00,4.21,3.14
46234,14.18,14.36,8,199,1791,0.00,0.00,74.90,3.03,0.00,4.21,3.14
46406,14.21,14.36,8,199,1782,0.00,0.00,74.90,3.04,0.00,4.21,3.14
46594,14.34,14.36,8,198,1799,0.00,0.00,74.90,3.07,0.00,4.06,2.75
46765,14.56,14.36,8,198,1809,0.00,0.00,74.90,3.09,0.00,4.06,0.00
46937,14.83,14.36,10,198,1752,0.00,0.00,74.90,0.00,0.00,3.34,0.00
47109,16.58,14.36,10,198,1780,0.00,0.00,74.90,0.00,0.00,3.34,0.00
47281,21.88,14.36,10,198,1757,0.00,0.00,74.90,0.00,0.00,3.48,0.00
47453,24.74,14.36,10,198,1679,0.00,0.00,74.90,0.00,0.00,3.63,0.00
47625,23.58,14.36,10,198,1586,0.00,0.00,74.90,0.00,0.00,3.63,0.00
47797,23.95,14.36,10,198,1586,0.00,0.00,74.90,0.00,0.00,3.77,0.00
47984,23.63,14.36,10,198,1502,0.00,0.00,74.90,0.00,0.00,3.92,0.00
48156,23.90,14.36,10,198,1502,0.00,0.00,74.90,0.00,0.00,3.92,0.00
48328,24.02,14.36,10,198,1420,0.00,0.00,74.90,0.00,0.00,4.06,0.00
48500,23.80,14.36,10,198,1199,0.00,0.00,74.90,2.05,0.00,4.06,0.00
48672,23.72,14.36,10,198,1213,0.00,0.00,74.90,1.81,0.00,4.06,0.00
48844,23.26,14.36,10,198,1176,0.00,0.00,74.90,2.01,0.00,4.06,0.00
49015,19.21,14.36,10,198,1152,0.00,0.00,74.90,1.72,0.00,4.21,0.00
49187,16.35,14.36,10,198,1138,0.00,0.00,74.90,1.94,0.00,4.21,0.00
49375,15.57,14.36,10,198,1152,0.00,0.00,74.90,1.97,0.00,4.21,0.00
49546,15.27,14.36,8,198,1134,0.00,0.00,74.90,1.94,0.00,4.06,0.00
49718,14.90,14.36,8,198,1115,0.00,0.00,74.90,1.67,0.00,4.06,0.00
49890,14.81,14.36,8,198,1080,0.00,0.00,74.90,1.84,0.00,4.21,0.00
50062,14.95,14.36,8,198,1098,0.00,0.00,74.90,1.87,0.00,4.21,0.00
50234,15.08,14.36,8,198,1097,0.00,0.00,74.90,1.88,0.00,4.06,0.00
50406,14.77,14.36,8,198,1078,0.00,0.00,74.90,1.84,0.00,4.06,0.00
50578,14.62,14.36,8,198,1067,0.00,0.00,74.90,1.82,0.00,4.06,0.00
50750,14.70,14.36,8,198,1036,0.00,0.00,74.90,1.78,0.00,4.06,0.00
50937,14.84,14.36,8,198,1035,0.00,0.00,74.90,1.77,0.00,4.21,0.00
51109,15.03,14.36,8,198,1054,0.00,0.00,74.90,1.80,0.00,4.21,0.00
51281,14.56,14.36,8,198,1039,0.00,0.00,74.90,1.77,0.00,4.06,0.00
51457,14.16,14.36,8,198,1026,0.00,0.00,74.90,1.75,0.00,4.06,0.00
51629,14.28,14.36,8,198,1020,0.00,0.00,74.90,1.74,0.00,4.21,0.00
51801,14.28,14.36,8,198,1022,0.00,0.00,74.90,1.75,0.00,4.21,0.00
51973,14.01,14.36,8,198,1014,0.00,0.00,74.90,1.73,0.00,4.21,0.00
52145,13.86,14.36,8,198,1015,0.00,0.00,74.90,1.73,0.00,4.21,0.00
52310,13.82,14.36,8,198,996,0.00,0.00,74.90,1.70,0.00,4.21,0.00
52498,13.97,14.36,8,198,1001,0.00,0.00,74.90,1.71,0.00,4.35,0.00
52670,13.89,14.36,8,198,992,0.00,0.00,74.90,1.48,0.00,4.35,0.00
52846,14.03,14.36,8,198,965,0.00,0.00,74.90,1.65,0.00,4.35,0.00
53018,14.32,14.36,8,198,963,0.00,0.00,74.90,1.64,0.00,4.50,0.00
53190,14.77,14.36,8,198,975,0.00,0.00,74.90,1.66,0.00,4.64,0.00
53362,14.87,14.36,8,198,986,0.00,0.00,74.90,1.68,0.00,4.64,0.00
53534,14.76,14.36,8,198,983,0.00,0.00,74.90,1.68,0.00,4.64,0.00
53706,14.79,14.36,8,198,984,0.00,0.00,74.90,1.67,0.00,4.64,0.00
53877,14.82,14.36,8,198,1000,0.00,0.00,74.90,1.71,0.00,4.64,0.00
54049,14.82,14.36,8,198,1002,0.00,0.00,74.90,1.71,0.00,4.64,0.00
