Time,Air/Fuel Correction #1 (%),Battery Voltage (V),Engine Load (g/cyl),Air/Fuel Learning #1 (%),Advance Multiplier,Vehicle Speed (KPH),Neutral Position Switch Signal (On/Off),Primary Wastegate Duty Cycle (%),Intake Air Temperature (B C),Manifold Absolute Pressure (Bar),Air Flow Sensor Voltage (V),Mass Air Flow (g/s),Knock Correction (B BTDC),Engine Speed (RPM),Ignition Timing (B BTDC),Throttle Opening Angle (%),Coolant Temperature (B C),Air/Fuel Sensor #1 (AFR),Air/Fuel Correction #3 (%),Knock Signal #1 (On/Off),Fuel Injector #1 Pulse Width (%),
20411, 0, 13.28, 0.5, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.38, 0, 798, 12, 0, 88, 14.81, 0, 0, 1.53,
20646, 0, 13.12, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 821, 9.5, 0, 88, 14.7, 0, 0, 1.4,
20880, 0, 13.2, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 823, 9, 0, 88, 14.7, 0, 0, 1.4,
21130, 0.78, 13.12, 0.5, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 819, 9.5, 0, 88, 14.81, 0, 0, 1.4,
21364, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 823, 9, 0, 88, 14.47, 0, 0, 1.41,
21599, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.31, 0, 820, 9.5, 0, 88, 14.59, 0, 0, 1.4,
21849, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.33, 0, 822, 9.5, 0, 88, 14.7, 0, 0, 1.4,
22083, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 806, 10.5, 0, 88, 14.7, 0, 0, 1.38,
22333, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 836, 7.5, 0, 88, 14.7, 0, 0, 1.43,
22568, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 814, 10.5, 0, 88, 14.59, 0, 0, 1.39,
22802, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 810, 10.5, 0, 88, 14.59, 0, 0, 1.38,
23052, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.31, 0, 834, 8, 0, 88, 14.59, 0, 0, 1.42,
23287, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.36, 0, 807, 10.5, 0, 88, 14.7, 0, 0, 1.38,
23521, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 819, 9, 0, 88, 14.7, 0, 0, 1.4,
23771, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 819, 9.5, 0, 88, 14.59, 0, 0, 1.4,
24005, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 817, 9.5, 0, 88, 14.59, 0, 0, 1.39,
24255, 0.78, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 827, 8, 0, 88, 14.7, 0, 0, 1.41,
24490, 0, 13.2, 0.48, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 839, 8, 0, 89, 14.7, 0, 0, 1.43,
24724, 0, 13.12, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 803, 11.5, 0, 89, 14.47, 0, 0, 1.37,
24974, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 822, 9, 0, 89, 14.7, 0, 0, 1.4,
25209, 0.78, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.31, 0, 823, 9, 0, 89, 14.7, 0, 0, 1.4,
25443, 0.78, 13.36, 0.5, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.36, 0, 805, 11, 0, 89, 14.81, 0, 0, 1.37,
25693, 0.78, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 820, 10.5, 0, 89, 14.7, 0, 0, 1.4,
25928, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 820, 9.5, 0, 89, 14.47, 0, 0, 1.4,
26162, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 824, 9, 0, 89, 14.7, 0, 0, 1.41,
26412, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 816, 9.5, 0, 89, 14.7, 0, 0, 1.39,
26646, 0, 13.04, 0.48, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.33, 0, 827, 8, 0, 89, 14.59, 0, 0, 1.41,
26896, 0.78, 13.2, 0.5, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 816, 10, 0, 89, 14.7, 0, 0, 1.39,
27131, 0.78, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 815, 10, 0, 89, 14.81, 0, 0, 1.39,
27365, 0, 13.12, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.31, 0, 828, 8.5, 0, 89, 14.59, 0, 0, 1.41,
27615, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 813, 11, 0, 89, 14.47, 0, 0, 1.39,
27850, -0.78, 13.2, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.31, 0, 824, 9, 0, 89, 14.47, 0, 0, 1.41,
28084, 0, 12.96, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 820, 9.5, 0, 89, 14.59, 0, 1, 1.4,
28334, 0, 13.28, 0.5, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 805, 10.5, 0, 89, 14.7, 0, 1, 1.37,
28569, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 822, 9, 0, 89, 14.7, 0, 0, 1.4,
28803, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 821, 9.5, 0, 89, 14.7, 0, 0, 1.4,
29053, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 803, 11, 0, 89, 14.59, 0, 0, 1.37,
29288, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 823, 9, 0, 89, 14.7, 0, 0, 1.4,
29537, 0, 13.28, 0.5, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 811, 10.5, 0, 89, 14.7, 0, 0, 1.38,
29772, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 807, 10.5, 0, 89, 14.7, 0, 0, 1.38,
30006, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 814, 9.5, 0, 89, 14.59, 0, 0, 1.39,
30256, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 808, 9.5, 0, 89, 14.81, 0, 0, 1.38,
30491, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.31, 0, 812, 9.5, 0, 89, 14.7, 0, 0, 1.39,
30725, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.3, 0, 819, 9, 0, 89, 14.59, 0, 0, 1.4,
30975, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.33, 0, 824, 8.5, 0, 89, 14.47, 0, 0, 1.41,
31210, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 811, 10.5, 0, 89, 14.59, 0, 0, 1.38,
31444, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 817, 9.5, 0, 89, 14.7, 0, 0, 1.39,
31694, 0, 13.2, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.33, 0, 820, 9, 0, 89, 14.7, 0, 0, 1.4,
31928, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.28, 0, 819, 9.5, 0, 89, 14.59, 0, 0, 1.4,
32179, 0, 13.36, 0.48, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.33, 0, 827, 8, 0, 89, 14.59, 0, 0, 1.41,
32413, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 816, 10.5, 0, 89, 14.7, 0, 0, 1.39,
32647, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 806, 10.5, 0, 90, 14.59, 0, 0, 1.37,
32897, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 823, 9, 0, 90, 14.7, 0, 0, 1.4,
33132, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.33, 0, 820, 9.5, 0, 90, 14.59, 0, 0, 1.4,
33366, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.31, 0, 823, 9, 0, 90, 14.7, 0, 0, 1.4,
33616, 0, 13.2, 0.48, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.28, 0, 836, 7.5, 0, 90, 14.81, 0, 0, 1.43,
33850, 0, 13.12, 0.48, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.28, 0, 819, 9.5, 0, 90, 14.59, 0, 0, 1.4,
34101, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 817, 9.5, 0, 90, 14.7, 0, 0, 1.39,
34335, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.31, 0, 817, 9.5, 0, 90, 14.7, 0, 0, 1.39,
34570, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 822, 9.5, 0, 90, 14.7, 0, 0, 1.4,
34819, 0, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.28, 0, 820, 9.5, 0, 90, 14.59, 0, 0, 1.4,
35054, -0.78, 13.28, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.28, 0, 819, 9.5, 0, 90, 14.36, 0, 0, 1.4,
35289, -0.78, 13.28, 0.5, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.31, 0, 799, 11.5, 0, 90, 14.47, 0, 0, 1.36,
35538, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.26, 3.31, 0, 806, 10.5, 0, 90, 14.7, 0, 1, 1.38,
35773, 0, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.28, 0, 829, 8, 0, 90, 14.7, 0, 0, 1.41,
36007, 0, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.24, 3.31, 0, 812, 10, 0, 90, 14.7, 0, 0, 1.39,
36257, 0.78, 13.2, 0.48, -5.47, 16, 0, 1, 0, 66, 0.34, 1.24, 3.28, 0, 806, 10.5, 0, 90, 14.81, 0, 0, 1.38,
36492, 0.78, 13.28, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.31, 0, 815, 9.5, 0, 90, 14.81, 0, 0, 1.39,
36742, 0.78, 13.36, 0.49, -5.47, 16, 0, 1, 0, 66, 0.33, 1.26, 3.33, 0, 802, 11, 0, 90, 14.81, 0, 0, 1.37,
Time,Air/Fuel Correction #1 (%),Engine Load (g/cyl),Air/Fuel Learning #1 (%),Advance Multiplier,Vehicle Speed (KPH),Neutral Position Switch Signal (On/Off),Primary Wastegate Duty Cycle (%),Intake Air Temperature (B C),Manifold Absolute Pressure (Bar),Air Flow Sensor Voltage (V),Mass Air Flow (g/s),Knock Correction (B BTDC),Engine Speed (RPM),Ignition Timing (B BTDC),Throttle Opening Angle (%),Coolant Temperature (B C),Air/Fuel Sensor #1 (AFR),Air/Fuel Correction #3 (%),Knock Signal #1 (On/Off),Fuel Injector #1 Pulse Width (%),
