Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),A/F Correction #1 (%),A/F Learning #1 (%),CL/OL Fueling* (status),Intake Air Temperature (F)
3950,0.00,0.00,16,3.58,1.28,0.00,-4.69,8,111
3990,0.00,0.00,16,3.58,1.28,-0.78,-4.69,8,111
4030,0.00,0.00,16,3.58,1.28,-0.78,-4.69,8,111
4068,0.00,0.00,16,3.58,1.26,-0.78,-4.69,8,111
4108,0.00,0.00,16,3.58,1.26,0.00,-4.69,8,111
4145,0.00,0.00,16,3.63,1.26,-1.56,-4.69,8,111
4185,0.00,0.00,16,3.63,1.26,-0.78,-4.69,8,111
4227,0.00,0.00,16,3.60,1.28,-0.78,-4.69,8,111
4267,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4299,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4339,0.00,0.00,16,3.63,1.26,-0.78,-4.69,8,111
4379,0.00,0.00,16,3.63,1.26,-0.78,-4.69,8,111
4421,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4457,0.00,0.00,16,3.63,1.28,-2.34,-4.69,8,111
4497,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4537,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4577,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4609,0.00,0.00,16,3.63,1.26,-1.56,-4.69,8,111
4649,0.00,0.00,16,3.63,1.26,-1.56,-4.69,8,111
4689,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4729,0.00,0.00,16,3.65,1.28,-1.56,-4.69,8,111
4769,0.00,0.00,16,3.65,1.28,-1.56,-4.69,8,111
4805,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
4845,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
4879,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
4919,0.00,0.00,16,3.63,1.28,-1.56,-4.69,8,111
4961,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5001,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5041,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5077,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5117,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5157,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5189,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
5229,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
5270,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
5314,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
5347,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
5387,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5427,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5467,0.00,0.00,16,3.63,1.26,-0.78,-4.69,8,111
5499,0.00,0.00,16,3.63,1.26,-0.78,-4.69,8,111
5539,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5579,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
5619,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
5659,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
5691,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
5729,0.00,0.00,16,3.65,1.28,0.00,-4.69,8,111
5769,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
5809,0.00,0.00,16,3.67,1.28,0.00,-4.69,8,111
5849,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5889,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
5929,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
5969,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6005,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6045,0.00,0.00,16,3.65,1.28,0.00,-4.69,8,111
6085,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
6118,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
6160,0.00,0.00,16,3.63,1.28,-0.78,-4.69,8,111
6195,0.00,0.00,16,3.65,1.28,-0.78,-4.69,8,111
6235,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6275,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6315,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6355,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6395,0.00,0.00,16,3.70,1.28,-0.78,-4.69,8,111
6427,0.00,0.00,16,3.67,1.30,-0.78,-4.69,8,111
6467,0.00,0.00,16,3.67,1.30,-0.78,-4.69,8,111
6507,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6547,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6586,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6623,0.00,0.00,16,3.67,1.28,0.00,-4.69,8,111
6663,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6703,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6737,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,111
6779,0.00,0.00,16,3.67,1.30,-0.78,-4.69,8,111
6819,0.00,0.00,16,3.67,1.30,-0.78,-4.69,8,111
6851,0.00,0.00,16,3.67,1.28,0.00,-4.69,8,111
6891,0.00,0.00,16,3.67,1.28,0.00,-4.69,8,111
6931,0.00,0.00,16,3.67,1.28,0.00,-4.69,8,113
6971,0.00,0.00,16,3.70,1.28,-0.78,-4.69,8,113
7011,0.00,0.00,16,3.70,1.28,0.00,-4.69,8,113
7046,0.00,0.00,16,3.67,1.28,0.00,-4.69,8,113
7087,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7127,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7161,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7204,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7241,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7281,0.00,0.00,16,3.67,1.28,-1.56,-4.69,8,113
7321,0.00,0.00,16,3.67,1.28,-1.56,-4.69,8,113
7360,0.00,0.00,16,3.67,1.30,-1.56,-4.69,8,113
7400,0.00,0.00,16,3.67,1.30,-1.56,-4.69,8,113
7439,0.00,0.00,16,3.70,1.30,-1.56,-4.69,8,113
7479,0.00,0.00,16,3.67,1.28,-1.56,-4.69,8,113
7511,0.00,0.00,16,3.67,1.28,-1.56,-4.69,8,113
7555,0.00,0.00,16,3.67,1.28,-1.56,-4.69,8,113
7587,0.00,0.00,16,3.67,1.28,-1.56,-4.69,8,113
7631,0.00,0.00,16,3.70,1.28,-0.78,-4.69,8,113
7671,0.00,0.00,16,3.70,1.28,-0.78,-4.69,8,113
7703,0.00,0.00,16,3.70,1.30,-0.78,-4.69,8,113
7745,0.00,0.00,16,3.67,1.30,-0.78,-4.69,8,113
7785,0.00,0.00,16,3.67,1.30,-0.78,-4.69,8,113
7824,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7860,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7900,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7940,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
7979,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8014,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8054,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8094,0.00,0.00,16,3.67,1.30,-0.78,-4.69,8,113
8137,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8169,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8213,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8257,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8289,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
8329,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
10333,0.00,0.00,16,3.67,1.28,-0.78,-4.69,8,113
14416,0.00,0.00,16,9.56,1.70,0.00,-4.69,8,113
14456,0.00,0.00,16,9.66,1.70,0.78,-4.69,8,113
14488,0.00,0.00,16,9.70,1.70,0.00,-4.69,8,113
14530,0.00,0.00,16,9.70,1.70,0.78,-4.69,8,113
14572,0.00,0.00,16,9.70,1.70,0.78,-4.69,8,113
18484,0.00,0.00,16,4.15,1.30,-3.91,-4.69,8,115
18516,0.00,0.00,16,4.15,1.30,-4.69,-4.69,8,115
18556,0.00,0.00,16,3.72,1.28,-3.91,-4.69,8,115
18596,0.00,0.00,16,3.72,1.28,-3.91,-4.69,8,115
18636,0.00,0.00,16,3.52,1.26,-3.91,-4.69,8,115
18676,0.00,0.00,16,3.52,1.26,-3.91,-4.69,8,115
18708,0.00,0.00,16,3.52,1.28,-3.91,-3.12,8,115
18754,0.00,0.00,16,3.62,1.28,-3.12,-3.12,8,115
18786,0.00,0.00,16,3.62,1.28,-3.12,-3.12,8,115
18826,0.00,0.00,16,3.67,1.30,-3.12,-3.12,8,115
18866,0.00,0.00,16,3.67,1.30,-3.12,-3.12,8,115
18906,0.00,0.00,16,3.75,1.30,-3.12,-3.12,8,115
18946,0.00,0.00,16,3.88,1.30,-3.12,-3.12,8,115
18980,0.00,0.00,16,3.88,1.30,-3.12,-3.12,8,115
19020,0.00,0.00,16,3.91,1.30,-3.12,-3.12,8,115
19061,0.00,0.00,16,3.91,1.30,-3.12,-3.12,8,115
19101,0.00,0.00,16,3.93,1.32,-3.12,-3.12,8,115
19139,0.00,0.00,16,3.99,1.32,-3.12,-3.12,8,115
19175,0.00,0.00,16,3.99,1.32,-3.12,-3.12,8,115
19216,0.00,0.00,16,3.96,1.30,-3.12,-3.12,8,115
19256,0.00,0.00,16,3.96,1.30,-3.12,-3.12,8,115
19296,0.00,0.00,16,3.96,1.30,-3.12,-3.12,8,115
19336,0.00,0.00,16,3.88,1.30,-3.12,-3.12,8,115
19368,0.00,0.00,16,3.88,1.30,-3.12,-3.12,8,115
19408,0.00,0.00,16,3.85,1.30,-3.12,-3.12,8,115
19448,0.00,0.00,16,3.85,1.30,-3.12,-3.12,8,115
19488,0.00,0.00,16,3.80,1.30,-3.91,-3.12,8,115
19523,0.00,0.00,16,3.80,1.30,-3.91,-3.12,8,115
19563,0.00,0.00,16,3.80,1.30,-3.91,-3.12,8,115
19605,0.00,0.00,16,3.80,1.30,-3.91,-3.12,8,115
19637,0.00,0.00,16,3.80,1.30,-3.91,-3.12,8,115
19677,0.00,0.00,16,3.80,1.30,-3.91,-3.12,8,115
19717,0.00,0.00,16,3.80,1.30,-4.69,-3.12,8,115
19757,0.00,0.00,16,3.78,1.30,-4.69,-3.12,8,115
19797,0.00,0.00,16,3.80,1.30,-4.69,-3.12,8,115
19837,0.00,0.00,16,3.80,1.30,-4.69,-3.12,8,115
19869,0.00,0.00,16,3.85,1.32,-4.69,-3.12,8,115
19909,0.00,0.00,16,3.85,1.32,-5.47,-3.12,8,115
19953,0.00,0.00,16,4.02,1.34,-5.47,-3.12,8,115
19987,0.00,0.00,16,4.32,1.36,-5.47,-3.12,8,115
20027,0.00,0.00,16,4.32,1.36,-5.47,-3.12,8,115
20067,0.00,0.00,16,4.48,1.36,-6.25,-4.69,8,115
20107,0.00,0.00,16,4.48,1.36,-5.47,-4.69,8,115
20147,0.00,0.00,16,4.82,1.38,-5.47,-4.69,8,115
20187,0.00,0.00,16,4.82,1.38,-6.25,-4.69,8,115
20219,0.00,0.00,16,4.97,1.40,-6.25,-4.69,8,115
20259,0.00,0.00,16,5.10,1.40,-5.47,-4.69,8,115
20299,0.00,0.00,16,5.10,1.40,-6.25,-4.69,8,115
20339,0.00,0.00,16,5.21,1.42,-5.47,-4.69,8,115
20377,0.00,0.00,16,5.21,1.42,-5.47,-4.69,8,115
20414,0.00,0.00,16,5.33,1.44,-5.47,-4.69,8,115
20456,0.00,0.00,16,5.40,1.44,-5.47,-4.69,8,115
20488,0.00,0.00,16,5.40,1.44,-5.47,-4.69,8,115
20528,0.00,0.00,16,5.46,1.44,-5.47,-4.69,8,115
20568,0.00,0.00,16,5.46,1.44,-5.47,-4.69,8,115
20608,0.00,0.00,16,5.46,1.44,-5.47,-4.69,8,115
20648,0.00,0.00,16,5.52,1.44,-5.47,-4.69,8,115
20686,0.00,0.00,16,5.52,1.44,-5.47,-4.69,8,115
20722,0.00,0.00,16,5.52,1.44,-4.69,-4.69,8,115
20763,0.00,0.00,16,5.52,1.44,-5.47,-4.69,8,115
20804,0.00,0.00,16,5.52,1.44,-4.69,-4.69,8,115
20844,0.00,0.00,16,5.55,1.44,-4.69,-4.69,8,115
20876,0.00,0.00,16,5.55,1.44,-4.69,-4.69,8,115
20916,0.00,0.00,16,5.52,1.44,-4.69,-4.69,8,115
20956,0.00,0.00,16,5.52,1.44,-4.69,-4.69,8,115
20996,0.00,0.00,16,5.55,1.44,-4.69,-4.69,8,115
21036,0.00,0.00,16,5.55,1.44,-3.91,-4.69,8,115
21072,0.00,0.00,16,5.59,1.44,-3.91,-4.69,8,115
21112,0.00,0.00,16,5.65,1.44,-3.91,-4.69,8,115
21152,0.00,0.00,16,5.65,1.44,-3.91,-4.69,8,115
21192,0.00,0.00,16,5.65,1.46,-3.12,-4.69,8,115
21228,0.00,0.00,16,5.65,1.46,-3.12,-4.69,8,115
21269,0.00,0.00,16,5.59,1.44,-3.12,-4.69,8,115
21305,0.00,0.00,16,5.62,1.44,-3.12,-4.69,8,115
21343,0.00,0.00,16,5.62,1.44,-3.12,-4.69,8,115
21379,0.00,0.00,16,5.62,1.44,-2.34,-4.69,8,115
21421,0.00,0.00,16,5.62,1.44,-2.34,-4.69,8,115
21461,0.00,0.00,16,5.68,1.44,-2.34,-4.69,8,115
21501,0.00,0.00,16,5.65,1.44,-2.34,-4.69,8,115
21533,0.00,0.00,16,5.65,1.44,-2.34,-4.69,8,115
21573,0.00,0.00,16,5.68,1.44,-2.34,-4.69,8,115
21615,0.00,0.00,16,5.68,1.44,-2.34,-4.69,8,115
21657,0.00,0.00,16,5.68,1.44,-2.34,-4.69,8,115
21690,0.00,0.00,16,5.68,1.46,-2.34,-4.69,8,115
21730,0.00,0.00,16,5.68,1.46,-2.34,-4.69,8,115
21770,0.00,0.00,16,5.72,1.46,-2.34,-4.69,8,115
21811,0.00,0.00,16,5.72,1.46,-2.34,-4.69,8,115
21843,0.00,0.00,16,5.74,1.46,-2.34,-4.69,8,115
21886,0.00,0.00,16,5.74,1.46,-3.12,-4.69,8,115
21926,0.00,0.00,16,5.72,1.46,-3.12,-4.69,8,115
21958,0.00,0.00,16,5.65,1.40,-3.12,-4.69,8,115
21998,0.00,0.00,16,5.65,1.40,-3.12,-4.69,8,115
22038,0.00,0.00,16,4.18,1.30,-3.12,-4.69,8,115
22074,0.00,0.00,16,4.18,1.30,-3.12,-4.69,8,115
22114,0.00,0.00,16,3.58,1.26,-3.12,-4.69,8,115
22154,0.00,0.00,16,3.47,1.26,-3.12,-4.69,8,115
22196,0.00,0.00,16,3.47,1.26,-3.12,-4.69,8,115
22236,0.00,0.00,16,3.49,1.28,-3.12,-4.69,8,115
22267,0.00,0.00,16,3.49,1.28,-3.12,-4.69,8,115
22308,0.00,0.00,16,3.52,1.28,-2.34,-3.12,8,115
22353,0.00,0.00,16,3.70,1.28,-2.34,-3.12,8,115
22385,0.00,0.00,16,3.70,1.28,-2.34,-3.12,8,115
22427,0.00,0.00,16,3.75,1.28,-2.34,-3.12,8,115
22464,0.00,0.00,16,3.75,1.28,-2.34,-3.12,8,115
22504,0.00,0.00,16,3.78,1.30,-2.34,-3.12,8,115
22544,0.00,0.00,16,3.88,1.30,-2.34,-3.12,8,115
22584,0.00,0.00,16,3.88,1.30,-2.34,-3.12,8,115
22621,0.00,0.00,16,4.04,1.32,-2.34,-3.12,8,115
22661,0.00,0.00,16,4.04,1.32,-1.56,-3.12,8,115
22701,0.00,0.00,16,4.21,1.34,-1.56,-3.12,8,115
22737,0.00,0.00,16,4.21,1.34,-1.56,-3.12,8,115
24770,0.00,0.00,16,4.21,1.34,-1.56,-3.12,8,115
25306,0.00,0.00,16,3.96,1.30,-1.56,-3.12,8,115
25340,0.00,0.00,16,3.96,1.30,-2.34,-3.12,8,115
25380,0.00,0.00,16,4.10,1.34,-1.56,-3.12,8,115
25420,0.00,0.00,16,4.10,1.34,-2.34,-3.12,8,115
25456,0.00,0.00,16,4.55,1.40,-2.34,-3.12,8,115
25496,0.00,0.00,16,4.91,1.40,-2.34,-3.12,8,115
25537,0.00,0.00,16,4.91,1.40,-2.34,-3.12,8,115
25571,0.00,0.00,16,4.95,1.40,-2.34,-3.12,8,115
25611,0.00,0.00,16,4.95,1.40,-2.34,-3.12,8,115
25653,0.00,0.00,16,5.04,1.40,-3.12,-3.12,8,115
25687,0.00,0.00,16,5.08,1.42,-3.12,-4.69,8,115
25727,0.00,0.00,16,5.08,1.42,-3.12,-4.69,8,115
25767,0.00,0.00,16,5.17,1.42,-3.12,-4.69,8,115
25805,0.00,0.00,16,5.17,1.42,-3.91,-4.69,8,115
25845,0.00,0.00,16,5.27,1.42,-3.91,-4.69,8,115
25884,0.00,0.00,16,5.33,1.44,-3.91,-4.69,8,115
25924,0.00,0.00,16,5.33,1.44,-3.91,-4.69,8,115
25956,0.00,0.00,16,5.36,1.44,-3.91,-4.69,8,115
26002,0.00,0.00,16,5.36,1.44,-4.69,-4.69,8,115
26034,0.00,0.00,16,5.40,1.44,-4.69,-4.69,8,115
26074,0.00,0.00,16,5.40,1.44,-5.47,-4.69,8,115
26114,0.00,0.00,16,5.46,1.44,-5.47,-4.69,8,115
26154,0.00,0.00,16,5.59,1.44,-5.47,-4.69,8,115
26194,0.00,0.00,16,5.59,1.44,-5.47,-4.69,8,115
26230,0.00,0.00,16,5.65,1.46,-5.47,-4.69,8,115
26270,0.00,0.00,16,5.65,1.46,-5.47,-4.69,8,115
26304,0.00,0.00,16,5.85,1.46,-5.47,-4.69,8,115
26344,0.00,0.00,16,5.91,1.48,-5.47,-4.69,8,115
26384,0.00,0.00,16,5.91,1.48,-5.47,-4.69,8,115
26424,0.00,0.00,16,6.04,1.48,-5.47,-4.69,8,115
26459,0.00,0.00,16,6.04,1.48,-4.69,-4.69,8,115
26503,0.00,0.00,16,6.11,1.48,-3.91,-4.69,8,115
26538,0.00,0.00,16,6.11,1.48,-3.91,-4.69,8,115
26578,0.00,0.00,16,6.11,1.48,-3.91,-4.69,8,115
26619,0.00,0.00,16,6.18,1.48,-3.12,-4.69,8,115
26659,0.00,0.00,16,6.18,1.48,-3.12,-4.69,8,115
26691,0.00,0.00,16,6.18,1.48,-2.34,-4.69,8,115
26731,0.00,0.00,16,6.18,1.48,-2.34,-4.69,8,115
26771,0.00,0.00,16,6.18,1.48,-1.56,-4.69,8,115
26811,0.00,0.00,16,6.18,1.50,-1.56,-4.69,8,115
26851,0.00,0.00,16,6.18,1.50,-1.56,-4.69,8,115
26885,0.00,0.00,16,6.18,1.48,-0.78,-4.69,8,115
26928,0.00,0.00,16,6.18,1.48,-0.78,-4.69,8,115
26967,0.00,0.00,16,6.22,1.50,-0.78,-4.69,8,115
27005,0.00,0.00,16,6.26,1.50,0.00,-4.69,8,115
27040,0.00,0.00,16,6.26,1.50,-0.78,-4.69,8,115
27080,0.00,0.00,16,6.29,1.50,-0.78,-4.69,8,115
27120,0.00,0.00,16,6.29,1.50,-0.78,-4.69,8,115
27160,0.00,0.00,16,6.26,1.50,-0.78,-4.69,8,115
27197,0.00,0.00,16,6.33,1.50,-1.56,-4.69,8,115
27237,0.00,0.00,16,6.33,1.50,-0.78,-4.69,8,115
27277,0.00,0.00,16,6.33,1.50,-0.78,-4.69,8,115
27313,0.00,0.00,16,6.33,1.50,-1.56,-4.69,8,115
27355,0.00,0.00,16,5.99,1.42,-1.56,-4.69,8,115
27395,0.00,0.00,16,4.29,1.30,-1.56,-4.69,8,115
27427,0.00,0.00,16,4.29,1.30,-1.56,-4.69,8,115
27467,0.00,0.00,16,3.65,1.28,-1.56,-4.69,8,115
27507,0.00,0.00,16,3.65,1.28,-1.56,-4.69,8,115
27547,0.00,0.00,16,3.55,1.26,-1.56,-4.69,8,115
27587,0.00,0.00,16,3.49,1.26,-1.56,-3.12,8,115
27619,0.00,0.00,16,3.49,1.26,-1.56,-3.12,8,115
27659,0.00,0.00,16,3.52,1.28,-1.56,-3.12,8,115
27699,0.00,0.00,16,3.52,1.28,-1.56,-3.12,8,115
27739,0.00,0.00,16,3.65,1.28,-1.56,-3.12,8,115
27779,0.00,0.00,16,3.65,1.28,-1.56,-3.12,8,115
27819,0.00,0.00,16,3.70,1.28,-1.56,-3.12,8,115
27859,0.00,0.00,16,3.80,1.30,-1.56,-3.12,8,115
27891,0.00,0.00,16,3.80,1.30,-1.56,-3.12,8,115
27931,0.00,0.00,16,3.96,1.32,-1.56,-3.12,8,115
27974,0.00,0.00,16,3.96,1.32,-1.56,-3.12,8,115
28010,0.00,0.00,16,4.43,1.36,-1.56,-3.12,8,115
28050,0.00,0.00,16,4.82,1.38,-1.56,-3.12,8,115
28092,0.00,0.00,16,4.82,1.38,-2.34,-3.12,8,115
28132,0.00,0.00,16,5.01,1.40,-2.34,-3.12,8,115
28164,0.00,0.00,16,5.01,1.40,-2.34,-3.12,8,115
28204,0.00,0.00,16,5.10,1.42,-2.34,-4.69,8,115
28244,0.00,0.00,16,5.33,1.44,-2.34,-4.69,8,115
28284,0.00,0.00,16,5.33,1.44,-2.34,-4.69,8,115
28324,0.00,0.00,16,5.55,1.44,-3.12,-4.69,8,115
28359,0.00,0.00,16,5.55,1.44,-3.12,-4.69,8,115
28399,0.00,0.00,16,5.62,1.44,-3.12,-4.69,8,115
28439,0.00,0.00,16,5.65,1.44,-3.12,-4.69,8,115
28479,0.00,0.00,16,5.65,1.44,-3.12,-4.69,8,115
28516,0.00,0.00,16,5.72,1.46,-3.91,-4.69,8,115
28556,0.00,0.00,16,5.72,1.46,-3.91,-4.69,8,115
28596,0.00,0.00,16,5.78,1.46,-3.91,-4.69,8,115
28632,0.00,0.00,16,5.78,1.46,-3.91,-4.69,8,115
28672,0.00,0.00,16,5.87,1.46,-4.69,-4.69,8,115
28712,0.00,0.00,16,5.91,1.48,-4.69,-4.69,8,115
28744,0.00,0.00,16,5.91,1.48,-4.69,-4.69,8,115
28789,0.00,0.00,16,5.98,1.48,-4.69,-4.69,8,115
28821,0.00,0.00,16,5.98,1.48,-4.69,-4.69,8,115
28861,0.00,0.00,16,6.00,1.48,-4.69,-4.69,8,115
28901,0.00,0.00,16,6.04,1.48,-4.69,-4.69,8,115
28941,0.00,0.00,16,6.04,1.48,-4.69,-4.69,8,115
28978,0.00,0.00,16,6.07,1.48,-3.91,-4.69,8,115
29017,0.00,0.00,16,6.07,1.48,-3.91,-4.69,8,115
29052,0.00,0.00,16,6.11,1.48,-3.12,-4.69,8,115
29092,0.00,0.00,16,6.11,1.48,-2.34,-4.69,8,115
29132,0.00,0.00,16,6.11,1.48,-2.34,-4.69,8,115
29177,0.00,0.00,16,6.11,1.48,-2.34,-4.69,8,115
29213,0.00,0.00,16,6.11,1.48,-1.56,-4.69,8,115
29255,0.00,0.00,16,6.18,1.48,-1.56,-4.69,8,115
29287,0.00,0.00,16,6.18,1.50,-0.78,-4.69,8,115
29329,0.00,0.00,16,6.18,1.50,-0.78,-4.69,8,115
29369,0.00,0.00,16,6.18,1.48,-0.78,-4.69,8,115
29403,0.00,0.00,16,6.18,1.48,0.00,-4.69,8,115
29445,0.00,0.00,16,6.22,1.50,-0.78,-4.69,8,115
29484,0.00,0.00,16,6.22,1.50,0.00,-4.69,8,115
29521,0.00,0.00,16,6.22,1.48,0.78,-4.69,8,115
29563,0.00,0.00,16,6.29,1.50,0.00,-4.69,8,115
29595,0.00,0.00,16,6.29,1.50,0.00,-4.69,8,115
29638,0.00,0.00,16,6.22,1.48,0.00,-4.69,8,115
29678,0.00,0.00,16,6.22,1.48,-0.78,-4.69,8,115
29711,0.00,0.00,16,6.18,1.50,0.00,-4.69,8,115
29751,0.00,0.00,16,6.29,1.48,0.00,-4.69,8,115
29795,0.00,0.00,16,6.29,1.48,-0.78,-4.69,8,115
29829,0.00,0.00,16,6.26,1.50,0.00,-4.69,8,115
29869,0.00,0.00,16,6.26,1.50,-0.78,-4.69,8,115
29909,0.00,0.00,16,6.22,1.50,0.00,-4.69,8,115
29949,0.00,0.00,16,6.26,1.50,0.00,-4.69,8,115
