Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
8416,14.79,0.19,1602,0.00,0.00,16,9.53,11.00,10.23,-1.49,0.64
8593,14.79,0.19,1602,0.00,0.00,16,9.53,10.50,10.28,-1.49,0.64
8765,14.79,0.19,1599,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.64
8952,14.79,0.19,1593,0.00,0.00,16,9.53,12.50,10.38,-1.49,0.64
9124,14.79,0.20,1560,0.00,0.00,16,9.88,16.00,10.38,-1.49,0.64
9296,14.79,0.20,1571,0.00,0.00,16,9.88,14.00,10.58,-1.49,0.64
9468,14.77,0.20,1579,0.00,0.00,16,9.53,13.00,10.68,-1.49,0.62
9640,14.77,0.20,1606,0.00,0.00,16,9.53,10.50,10.58,-1.49,0.64
9811,14.79,0.20,1618,0.00,0.00,16,9.53,9.50,10.68,-1.49,0.62
9999,14.79,0.20,1623,0.00,0.00,16,9.53,9.50,10.88,-1.49,0.64
10175,14.79,0.20,1606,0.00,0.00,16,9.53,12.00,10.83,-1.49,0.64
10347,14.79,0.20,1630,0.00,0.00,16,9.53,9.50,10.63,-1.49,0.64
10519,14.79,0.20,1624,0.00,0.00,16,9.53,11.00,10.74,-1.49,0.62
10706,14.79,0.20,1634,0.00,0.00,16,9.18,10.50,10.98,-1.49,0.64
10867,14.79,0.19,1628,0.00,0.00,16,9.53,11.50,10.58,-1.49,0.64
11039,14.79,0.21,1599,0.00,0.00,16,9.88,15.00,10.78,-1.49,0.62
11227,14.79,0.20,1612,0.00,0.00,16,9.53,12.50,10.88,-1.49,0.64
11398,14.79,0.20,1616,0.00,0.00,16,9.53,12.00,10.68,-1.49,0.62
11570,14.79,0.20,1625,0.00,0.00,16,9.53,12.50,10.74,-1.49,0.64
11742,14.79,0.20,1630,0.00,0.00,16,9.53,11.00,10.78,-1.49,0.64
11914,14.77,0.20,1619,0.00,0.00,16,9.53,12.50,10.83,-1.49,0.64
12086,14.79,0.20,1629,0.00,0.00,16,9.53,11.50,10.83,-1.49,0.64
12289,14.74,0.20,1619,0.00,0.00,16,9.53,13.00,10.74,-1.49,0.64
12461,14.74,0.20,1626,0.00,0.00,16,9.53,12.00,10.78,-1.49,0.64
12633,14.77,0.20,1638,0.00,0.00,16,9.18,10.50,10.68,-1.49,0.64
12805,14.77,0.20,1632,0.00,0.00,16,9.18,12.00,10.78,-1.49,0.64
12977,14.77,0.20,1639,0.00,0.00,16,9.53,11.00,10.68,-1.49,0.64
13148,14.74,0.19,1640,0.00,0.00,16,9.53,11.50,10.48,-1.49,0.62
13336,14.74,0.19,1645,0.00,0.00,16,9.18,11.00,10.53,-1.49,0.64
13508,14.74,0.19,1633,0.00,0.00,16,9.53,12.50,10.48,-1.49,0.64
13680,14.72,0.19,1634,0.00,0.00,16,9.53,12.50,10.58,-1.49,0.64
13852,14.72,0.19,1641,0.00,0.00,16,9.53,11.50,10.33,-1.49,0.64
14023,14.70,0.19,1634,0.00,0.00,16,9.18,12.50,10.38,-1.49,0.64
14195,14.70,0.19,1640,0.00,0.00,16,9.53,11.50,10.43,-1.49,0.64
14367,14.67,0.19,1628,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64
14555,14.67,0.19,1628,0.00,0.00,16,9.53,13.00,10.33,-1.49,0.64
14726,14.63,0.19,1635,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.64
14898,14.62,0.19,1615,0.00,0.00,16,9.53,14.00,10.08,-1.49,0.64
15070,14.58,0.19,1631,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.64
15258,14.55,0.19,1628,0.00,0.00,16,9.53,12.50,10.28,-1.49,0.62
15415,14.53,0.19,1627,0.00,0.00,16,9.53,12.50,10.23,-1.49,0.64
15587,14.48,0.19,1620,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64
15774,14.46,0.19,1631,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.62
15946,14.44,0.19,1620,0.00,0.00,16,9.53,13.00,10.13,-1.49,0.62
16118,14.39,0.19,1618,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64
16290,14.34,0.19,1622,0.00,0.00,16,9.53,12.50,10.28,-1.49,0.64
16461,14.29,0.19,1619,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64
16634,14.25,0.19,1626,0.00,0.00,16,9.53,11.50,10.13,-1.49,0.64
16821,14.22,0.19,1623,0.00,0.00,16,9.53,12.00,10.03,-1.49,0.64
16993,14.18,0.19,1609,0.00,0.00,16,9.53,13.00,9.93,-1.49,0.64
17165,14.14,0.19,1622,0.00,0.00,16,9.53,11.50,10.03,-1.49,0.64
17337,14.10,0.19,1609,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.62
17509,14.04,0.19,1606,0.00,0.00,16,9.53,13.00,9.97,-1.49,0.62
17681,14.00,0.19,1622,0.00,0.00,16,9.53,11.50,10.08,-1.49,0.64
17857,13.96,0.18,1611,0.00,0.00,16,9.53,13.00,10.03,-1.49,0.64
18032,13.92,0.19,1608,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64
18204,13.92,0.19,1630,0.00,0.00,16,9.53,10.50,10.17,-1.49,0.64
18375,13.88,0.19,1612,0.00,0.00,16,9.53,13.00,10.17,-1.49,0.64
18548,13.84,0.19,1630,0.00,0.00,16,9.53,11.50,10.08,-1.49,0.64
18720,13.82,0.19,1610,0.00,0.00,16,9.53,13.00,9.97,-1.49,0.64
18892,13.78,0.19,1613,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64
19079,13.77,0.19,1624,0.00,0.00,16,9.53,11.50,10.08,-1.49,0.64
19251,13.75,0.19,1610,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64
19423,13.75,0.19,1618,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.62
19595,13.70,0.19,1619,0.00,0.00,16,9.53,12.00,10.33,-1.49,0.62
19782,13.70,0.19,1607,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64
19954,13.65,0.19,1628,0.00,0.00,16,9.53,10.50,10.08,-1.49,0.62
20126,13.61,0.19,1620,0.00,0.00,16,9.53,11.50,10.27,-1.49,0.64
20298,13.49,0.19,1615,0.00,0.00,16,9.53,12.50,10.17,-1.49,0.64
20470,13.46,0.19,1613,0.00,0.00,16,9.53,12.00,10.08,-1.49,0.62
20641,13.47,0.19,1617,0.00,0.00,16,9.53,13.50,10.08,-1.49,0.64
20817,13.44,0.19,1616,0.00,0.00,16,9.53,12.50,10.08,-1.49,0.64
20989,13.38,0.19,1620,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.64
21161,13.33,0.19,1596,0.00,0.00,16,9.53,13.50,10.17,-1.49,0.64
21348,13.35,0.18,1621,0.00,0.00,16,9.53,11.00,10.13,-1.49,0.62
21520,13.48,0.19,1601,0.00,0.00,16,9.53,13.00,10.03,-1.49,0.64
21692,13.43,0.18,1604,0.00,0.00,16,9.53,12.50,9.93,-1.49,0.62
21864,13.36,0.19,1604,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.62
22036,13.15,0.19,1614,0.00,0.00,16,9.53,11.50,10.23,-1.49,0.64
22208,13.06,0.19,1604,0.00,0.00,16,9.53,13.00,10.03,-1.49,0.64
22395,13.07,0.19,1614,0.00,0.00,16,9.53,11.50,10.03,-1.49,0.64
22567,13.01,0.19,1617,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.64
22739,13.09,0.19,1605,0.00,0.00,16,9.53,13.00,7.72,-1.49,0.64
22911,13.15,0.19,1610,0.00,0.00,16,9.53,12.50,10.23,-1.49,0.64
23082,13.07,0.19,1612,0.00,0.00,16,9.53,12.00,10.23,-1.49,0.64
23254,13.09,0.19,1618,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.64
23426,13.18,0.19,1617,0.00,0.00,16,9.53,11.50,10.33,-1.49,0.64
23598,13.03,0.19,1611,0.00,0.00,16,9.53,12.50,10.28,-1.49,0.62
23770,13.10,0.19,1615,0.00,0.00,16,9.53,12.00,10.38,-1.49,0.64
23957,13.12,0.19,1619,0.00,0.00,16,9.53,11.50,10.33,-1.49,0.62
24134,13.09,0.19,1616,0.00,0.00,16,9.53,12.00,10.28,-1.49,0.64
24306,13.09,0.19,1627,0.00,0.00,16,9.53,11.00,10.28,-1.49,0.64
24483,13.20,0.19,1616,0.00,0.00,16,9.53,12.50,10.23,-1.49,0.64
24639,13.03,0.19,1628,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64
24827,12.98,0.19,1629,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.64
24999,12.94,0.19,1622,0.00,0.00,16,9.53,12.00,10.28,-1.49,0.64
25171,12.95,0.19,1630,0.00,0.00,16,9.53,12.50,10.48,-1.49,0.64
25342,13.02,0.19,1636,0.00,0.00,16,9.53,11.00,10.28,-1.49,0.64
25514,12.88,0.19,1632,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64
25686,12.85,0.19,1646,0.00,0.00,16,9.53,11.50,12.73,-1.49,0.64
25858,13.01,0.19,1614,0.00,0.00,16,9.53,14.00,10.38,-1.49,0.64
26030,13.00,0.19,1641,0.00,0.00,16,9.53,10.50,10.28,-1.49,0.64
26206,12.95,0.19,1622,0.00,0.00,16,9.53,12.50,10.38,-1.49,0.64
26378,13.13,0.19,1630,0.00,0.00,16,9.53,12.00,10.33,-1.49,0.64
26555,13.03,0.19,1636,0.00,0.00,16,9.53,10.50,10.28,-1.49,0.62
26727,13.00,0.19,1625,0.00,0.00,16,9.18,10.50,12.73,-1.49,0.64
Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F)
27086,12.87,0.19,1632,0.00,0.00,16,9.53,12.50,10.38,-1.49,0.64,81
27274,12.81,0.19,1638,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,81
27461,12.81,0.19,1630,0.00,0.00,16,9.18,13.50,7.82,-1.49,0.64,81
27638,12.84,0.19,1646,0.00,0.00,16,9.18,10.50,10.48,-1.49,0.64,81
27825,12.84,0.19,1652,0.00,0.00,16,9.53,10.00,10.33,-1.49,0.64,81
27997,12.95,0.19,1626,0.00,0.00,16,9.53,13.50,10.28,-1.49,0.64,81
28184,12.79,0.19,1646,0.00,0.00,16,9.53,11.00,10.23,-1.49,0.64,81
28376,12.93,0.19,1640,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,81
28554,12.91,0.19,1644,0.00,0.00,16,9.18,11.50,10.33,-1.49,0.64,81
28725,12.89,0.19,1644,0.00,0.00,16,9.18,11.50,10.43,-1.49,0.64,81
28918,12.85,0.19,1633,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64,81
29089,12.88,0.19,1653,0.00,0.00,16,9.18,11.50,10.28,-1.49,0.64,81
29278,13.04,0.19,1639,0.00,0.00,16,9.53,12.00,10.28,-1.49,0.64,81
29466,12.96,0.19,1650,0.00,0.00,16,9.53,11.50,10.38,-1.49,0.64,81
29638,12.47,0.19,1647,0.00,0.00,16,9.18,11.50,10.23,-1.49,0.64,81
29825,12.95,0.18,1653,0.00,0.00,16,9.18,11.00,10.17,-1.49,0.64,81
30013,13.01,0.19,1644,0.00,0.00,16,9.18,12.00,10.28,-1.49,0.64,81
30185,13.00,0.18,1654,0.00,0.00,16,9.18,11.50,10.28,-1.49,0.64,81
30372,12.96,0.19,1646,0.00,0.00,16,9.18,12.00,10.33,-1.49,0.64,81
30560,13.01,0.19,1644,0.00,0.00,16,9.18,12.00,10.33,-1.49,0.64,81
30747,12.72,0.19,1646,0.00,0.00,16,9.18,12.00,10.38,-1.49,0.62,81
30924,12.86,0.19,1633,0.00,0.00,16,9.18,13.50,10.28,-1.49,0.64,81
31096,12.81,0.19,1658,0.00,0.00,16,9.18,10.50,10.23,-1.49,0.64,81
31282,12.86,0.19,1653,0.00,0.00,16,9.18,11.50,10.28,-1.49,0.64,81
31469,12.99,0.19,1654,0.00,0.00,16,9.18,11.50,10.38,-1.49,0.64,81
31641,13.10,0.19,1638,0.00,0.00,16,9.18,13.00,10.28,-1.49,0.64,81
31828,13.10,0.19,1652,0.00,0.00,16,9.18,11.50,10.33,-1.49,0.64,81
32016,13.06,0.19,1652,0.00,0.00,16,9.18,10.50,10.38,-1.49,0.64,81
32188,12.99,0.19,1653,0.00,0.00,16,9.18,11.50,10.28,-1.49,0.64,81
32375,13.03,0.19,1644,0.00,0.00,16,9.18,13.00,7.77,-1.49,0.62,81
32563,13.05,0.19,1642,0.00,0.00,16,9.18,12.50,10.28,-1.49,0.64,81
32735,13.00,0.19,1650,0.00,0.00,16,9.53,11.50,10.38,-1.49,0.64,81
32922,12.85,0.18,1636,0.00,0.00,16,9.53,13.50,9.97,-1.49,0.64,81
33110,12.92,0.19,1644,0.00,0.00,16,9.53,12.00,10.28,-1.49,0.64,81
33281,12.82,0.18,1641,0.00,0.00,16,9.53,14.00,9.97,-1.49,0.64,81
33469,13.00,0.18,1626,0.00,0.00,16,9.53,14.00,10.13,-1.49,0.64,81
33641,13.04,0.18,1636,0.00,0.00,16,9.53,12.00,10.03,-1.49,0.64,81
33828,13.15,0.18,1634,0.00,0.00,16,9.53,12.50,9.84,-1.49,0.64,81
34016,12.92,0.19,1632,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.64,81
34188,13.26,0.19,1624,0.00,0.00,16,9.53,13.50,9.97,-1.49,0.64,81
34375,13.26,0.18,1620,0.00,0.00,16,9.53,14.00,9.93,-1.49,0.64,81
34563,13.49,0.19,1623,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64,81
34735,13.24,0.19,1616,0.00,0.00,16,9.53,13.50,10.03,-1.49,0.64,81
34922,12.91,0.19,1635,0.00,0.00,16,9.53,11.50,10.17,-1.49,0.64,81
35094,13.34,0.19,1622,0.00,0.00,16,9.53,12.50,10.08,-1.49,0.64,81
35281,13.18,0.18,1626,0.00,0.00,16,9.53,11.50,10.03,-1.49,0.64,81
35469,13.31,0.19,1629,0.00,0.00,16,9.53,13.00,10.17,-1.49,0.64,81
35641,13.32,0.18,1634,0.00,0.00,16,9.53,13.00,9.97,-1.49,0.64,81
35828,13.46,0.19,1622,0.00,0.00,16,9.53,12.50,10.08,-1.49,0.64,81
36000,13.32,0.19,1624,0.00,0.00,16,9.53,12.00,10.03,-1.49,0.64,81
36187,13.47,0.19,1612,0.00,0.00,16,9.53,12.00,10.08,-1.49,0.64,81
36374,13.43,0.19,1605,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.62,81
36546,13.34,0.19,1619,0.00,0.00,16,9.53,12.00,10.03,-1.49,0.64,81
36733,13.75,0.19,1610,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64,81
36921,13.76,0.19,1619,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.64,81
37093,13.58,0.19,1624,0.00,0.00,16,9.53,11.50,10.38,-1.49,0.64,81
37280,13.61,0.19,1608,0.00,0.00,16,9.53,13.00,10.17,-1.49,0.64,81
37452,14.17,0.19,1626,0.00,0.00,16,9.53,11.00,10.33,-1.49,0.64,81
37640,13.74,0.19,1627,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,81
37827,13.82,0.19,1622,0.00,0.00,16,9.53,12.00,10.23,-1.49,0.64,81
37999,13.53,0.19,1628,0.00,0.00,16,9.53,11.50,10.23,-1.49,0.64,81
38186,13.46,0.19,1612,0.00,0.00,16,9.53,12.50,10.38,-1.49,0.64,81
38358,14.13,0.19,1613,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64,81
38546,13.82,0.19,1622,0.00,0.00,16,9.53,12.00,10.33,-1.49,0.64,81
38733,13.73,0.19,1625,0.00,0.00,16,9.53,13.50,10.53,-1.49,0.64,81
38905,13.51,0.19,1631,0.00,0.00,16,9.53,13.00,10.47,-1.49,0.64,81
39093,13.59,0.19,1630,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,81
39264,13.32,0.19,1616,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64,81
39452,14.17,0.19,1612,0.00,0.00,16,9.53,13.50,10.43,-1.49,0.64,81
39639,13.57,0.19,1621,0.00,0.00,16,9.53,11.50,10.43,-1.49,0.64,81
39811,13.86,0.19,1628,0.00,0.00,16,9.53,12.00,10.23,-1.49,0.64,81
39999,13.73,0.19,1640,0.00,0.00,16,9.53,10.50,10.38,-1.49,0.62,81
40171,14.00,0.19,1628,0.00,0.00,16,9.53,12.50,10.38,-1.49,0.64,81
40359,14.19,0.19,1639,0.00,0.00,16,9.53,11.00,10.43,-1.49,0.64,81
40548,13.42,0.18,1637,0.00,0.00,16,9.18,11.50,10.17,-1.49,0.64,81
40723,14.13,0.19,1618,0.00,0.00,16,9.53,14.00,10.23,-1.49,0.64,81
40910,14.04,0.19,1626,0.00,0.00,16,9.53,12.50,10.38,-1.49,0.64,81
41098,13.85,0.19,1620,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,81
41270,13.91,0.19,1629,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.64,81
41457,13.94,0.19,1628,0.00,0.00,16,9.53,12.50,10.28,-1.49,0.64,81
41629,13.94,0.19,1620,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.62,81
41816,13.94,0.19,1638,0.00,0.00,16,9.53,12.50,10.48,-1.49,0.64,81
42004,13.98,0.19,1634,0.00,0.00,16,9.53,12.50,7.77,-1.49,0.64,81
42176,14.03,0.19,1614,0.00,0.00,16,9.53,13.50,10.28,-1.49,0.64,81
42363,14.06,0.19,1634,0.00,0.00,16,9.53,11.50,10.33,-1.49,0.64,81
42551,14.08,0.19,1617,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64,81
42738,13.92,0.19,1622,0.00,0.00,16,9.53,12.50,10.38,-1.49,0.64,81
42910,14.18,0.19,1634,0.00,0.00,16,9.53,11.00,10.38,-1.49,0.64,81
43097,13.98,0.19,1614,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64,81
43269,14.10,0.19,1629,0.00,0.00,16,9.53,11.50,10.13,-1.49,0.64,81
43457,13.92,0.19,1623,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.64,81
43644,13.79,0.19,1610,0.00,0.00,16,9.53,14.00,10.13,-1.49,0.64,81
43832,14.06,0.19,1624,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,81
44004,14.16,0.19,1611,0.00,0.00,16,9.53,12.50,10.28,-1.49,0.64,81
44191,14.14,0.19,1618,0.00,0.00,16,9.53,12.50,10.23,-1.49,0.64,81
44379,14.10,0.19,1632,0.00,0.00,16,9.53,11.00,10.28,-1.49,0.64,81
44551,14.64,0.19,1623,0.00,0.00,16,9.53,13.00,12.69,-1.49,0.64,81
44738,14.00,0.19,1610,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64,81
44925,14.64,0.19,1617,0.00,0.00,16,9.53,12.00,10.28,-1.49,0.64,81
45097,14.10,0.19,1610,0.00,0.00,16,9.53,11.50,10.38,-1.49,0.64,81
45285,14.29,0.19,1590,0.00,0.00,16,9.53,14.50,10.23,-1.49,0.64,81
45457,14.04,0.19,1616,0.00,0.00,16,9.53,11.50,10.38,-1.49,0.62,81
45644,14.22,0.19,1614,0.00,0.00,16,9.53,12.50,10.17,-1.49,0.64,81
45832,14.10,0.19,1618,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.64,81
46019,14.09,0.20,1620,0.00,0.00,16,9.53,11.50,10.48,-1.49,0.64,81
46191,14.12,0.19,1618,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64,81
46379,14.10,0.19,1634,0.00,0.00,16,9.53,10.50,10.28,-1.49,0.64,81
46566,14.69,0.19,1622,0.00,0.00,16,9.53,11.50,10.38,-1.49,0.64,81
46738,14.10,0.19,1624,0.00,0.00,16,9.53,11.50,10.38,-1.49,0.64,81
46925,14.04,0.19,1602,0.00,0.00,16,9.53,14.00,10.48,-1.49,0.64,81
47113,13.90,0.19,1628,0.00,0.00,16,9.53,10.00,10.28,-1.49,0.64,81
47285,14.13,0.19,1619,0.00,0.00,16,9.53,13.00,10.17,-1.49,0.64,82
47472,14.04,0.19,1617,0.00,0.00,16,9.53,13.00,10.17,-1.49,0.64,82
47660,14.41,0.19,1615,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64,82
47832,14.69,0.19,1618,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64,82
48019,14.36,0.19,1624,0.00,0.00,16,9.53,11.50,10.03,-1.49,0.64,82
48191,14.30,0.19,1606,0.00,0.00,16,9.53,12.00,10.33,-1.49,0.64,82
48378,14.34,0.19,1617,0.00,0.00,16,9.53,12.00,10.33,-1.49,0.64,82
48566,13.96,0.19,1620,0.00,0.00,16,9.53,12.00,10.23,-1.49,0.64,82
48738,13.98,0.19,1614,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64,82
48925,14.18,0.19,1608,0.00,0.00,16,9.53,13.00,10.23,-1.49,0.64,82
49113,13.78,0.19,1620,0.00,0.00,16,9.53,11.50,10.23,-1.49,0.62,82
49285,14.27,0.19,1612,0.00,0.00,16,9.53,12.50,10.33,-1.49,0.64,82
49472,13.87,0.19,1610,0.00,0.00,16,9.53,12.00,10.38,-1.49,0.64,82
49660,14.12,0.19,1622,0.00,0.00,16,9.53,11.50,10.13,-1.49,0.64,82
52528,14.13,0.19,1631,0.00,0.00,16,9.53,11.00,10.28,-1.49,0.64,82
52716,14.15,0.19,1619,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,82
52888,14.17,0.19,1617,0.00,0.00,16,9.53,13.00,10.33,-1.49,0.64,82
53077,14.13,0.19,1624,0.00,0.00,16,9.53,11.50,7.71,-1.49,0.64,82
53265,14.11,0.19,1613,0.00,0.00,16,9.53,13.50,10.23,-1.49,0.64,82
53452,14.29,0.19,1638,0.00,0.00,16,9.53,11.50,10.28,-1.49,0.64,82
53624,14.10,0.19,1628,0.00,0.00,16,9.53,12.00,10.23,-1.49,0.64,82
53801,14.12,0.18,1623,0.00,0.00,16,9.53,13.00,9.97,-1.49,0.64,82
53988,14.01,0.19,1625,0.00,0.00,16,9.53,10.50,10.08,-1.49,0.64,82
54176,14.36,0.19,1624,0.00,0.00,16,9.53,13.00,10.08,-1.49,0.64,82
54348,14.11,0.19,1612,0.00,0.00,16,9.53,14.00,10.17,-1.49,0.64,82
54535,13.86,0.19,1633,0.00,0.00,16,9.53,11.50,10.23,-1.49,0.64,82
54722,14.08,0.18,1619,0.00,0.00,16,9.53,13.00,10.03,-1.49,0.64,82
54894,13.86,0.19,1617,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64,82
