Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
1781,0.00,0.00,16,388,0.0
1799,0.00,0.00,16,388,0.0
1831,0.00,0.00,16,388,0.0
1863,0.00,0.00,16,388,0.0
1895,0.00,0.00,16,388,0.0
1919,0.00,0.00,16,388,0.0
1951,0.00,0.00,16,388,0.0
1983,0.00,0.00,16,388,0.0
2007,0.00,0.00,16,388,0.0
2039,0.00,0.00,16,388,0.0
2071,0.00,0.00,16,388,0.0
2095,0.00,0.00,16,388,0.0
2127,0.00,0.00,16,388,0.0
2161,0.00,0.00,16,388,0.0
2185,0.00,0.00,16,388,0.0
2217,0.00,0.00,16,388,0.0
2245,0.00,0.00,16,388,0.0
2277,0.00,0.00,16,388,0.0
2309,0.00,0.00,16,388,0.0
2333,0.00,0.00,16,388,0.0
2365,0.00,0.00,16,388,0.0
2397,0.00,0.00,16,388,0.0
2421,0.00,0.00,16,388,0.0
2453,0.00,0.00,16,388,0.0
2485,0.00,0.00,16,388,0.0
2509,0.00,0.00,16,388,0.0
2541,0.00,0.00,16,388,0.0
2573,0.00,0.00,16,388,0.0
2597,0.00,0.00,16,388,0.0
2629,0.00,0.00,16,388,0.0
2661,0.00,0.00,16,388,0.0
2693,0.00,0.00,16,388,0.0
2717,0.00,0.00,16,388,0.0
2749,0.00,0.00,16,388,0.0
2782,0.00,0.00,16,388,0.0
2807,0.00,0.00,16,388,0.0
2839,0.00,0.00,16,388,0.0
2863,0.00,0.00,16,388,0.0
2897,0.00,0.00,16,388,0.0
2928,0.00,0.00,16,388,0.0
2953,0.00,0.00,16,388,0.0
2985,0.00,0.00,16,388,0.0
3016,0.00,0.00,16,388,0.0
3044,0.00,0.00,16,388,0.0
3074,0.00,0.00,16,388,0.0
3105,0.00,0.00,16,388,0.0
3130,0.00,0.00,16,388,0.0
3162,0.00,0.00,16,388,0.0
3193,0.00,0.00,16,388,0.0
3225,0.00,0.00,16,388,0.0
3250,0.00,0.00,16,388,0.0
3281,0.00,0.00,16,388,0.0
3306,0.00,0.00,16,388,0.0
3338,0.00,0.00,16,388,0.0
3372,0.00,0.00,16,388,0.0
3400,0.00,0.00,16,388,0.0
3424,0.00,0.00,16,388,0.0
3457,0.00,0.00,16,388,0.0
3489,0.00,0.00,16,388,0.0
3521,0.00,0.00,16,388,0.0
3545,0.00,0.00,16,388,0.0
3577,0.00,0.00,16,388,0.0
3601,0.00,0.00,16,388,0.0
3633,0.00,0.00,16,388,0.0
3666,0.00,0.00,16,388,0.0
3695,0.00,0.00,16,388,0.0
3727,0.00,0.00,16,388,0.0
3751,0.00,0.00,16,388,0.0
3783,0.00,0.00,16,388,0.0
3815,0.00,0.00,16,388,0.0
3839,0.00,0.00,16,388,0.0
3871,0.00,0.00,16,388,0.0
3903,0.00,0.00,16,388,0.0
3932,0.00,0.00,16,388,0.0
3963,0.00,0.00,16,388,0.0
3987,0.00,0.00,16,388,0.0
4019,0.00,0.00,16,388,0.0
4051,0.00,0.00,16,388,0.0
4076,0.00,0.00,16,388,0.0
4104,0.00,0.00,16,388,0.0
4136,0.00,0.00,16,388,0.0
4168,0.00,0.00,16,388,0.0
4200,0.00,0.00,16,388,0.0
4224,0.00,0.00,16,388,0.0
4256,0.00,0.00,16,388,0.0
4286,0.00,0.00,16,388,0.0
4310,0.00,0.00,16,388,0.0
4342,0.00,0.00,16,388,0.0
4374,0.00,0.00,16,388,0.0
4404,0.00,0.00,16,388,0.0
4432,0.00,0.00,16,388,0.0
4464,0.00,0.00,16,388,0.0
4488,0.00,0.00,16,388,0.0
4520,0.00,0.00,16,388,0.0
4552,0.00,0.00,16,388,0.0
4580,0.00,0.00,16,388,0.0
4610,0.00,0.00,16,388,0.0
4635,0.00,0.00,16,388,0.0
4671,0.00,0.00,16,388,0.0
4703,0.00,0.00,16,388,0.0
4727,0.00,0.00,16,388,0.0
4759,0.00,0.00,16,388,0.0
4784,0.00,0.00,16,388,0.0
4816,0.00,0.00,16,388,0.0
4848,0.00,0.00,16,388,0.0
4879,0.00,0.00,16,388,0.0
4904,0.00,0.00,16,388,0.0
4936,0.00,0.00,16,388,0.0
4967,0.00,0.00,16,388,0.0
4991,0.00,0.00,16,388,0.0
5023,0.00,0.00,16,388,0.0
5055,0.00,0.00,16,388,0.0
5087,0.00,0.00,16,388,0.0
5111,0.00,0.00,16,388,0.0
5143,0.00,0.00,16,388,0.0
5167,0.00,0.00,16,388,0.0
5199,0.00,0.00,16,388,0.0
5231,0.00,0.00,16,388,0.0
5263,0.00,0.00,16,388,0.0
5287,0.00,0.00,16,388,0.0
5319,0.00,0.00,16,388,0.0
5351,0.00,0.00,16,388,0.0
5375,0.00,0.00,16,388,0.0
5409,0.00,0.00,16,388,0.0
5434,0.00,0.00,16,388,0.0
5466,0.00,0.00,16,388,0.0
5497,0.00,0.00,16,388,0.0
5528,0.00,0.00,16,388,0.0
5552,0.00,0.00,16,388,0.0
5584,0.00,0.00,16,388,0.0
5616,0.00,0.00,16,388,0.0
5640,0.00,0.00,16,388,0.0
5672,0.00,0.00,16,388,0.0
5704,0.00,0.00,16,388,0.0
5736,0.00,0.00,16,388,0.0
5760,0.00,0.00,16,388,0.0
5792,0.00,0.00,16,388,0.0
5818,0.00,0.00,16,388,0.0
5850,0.00,0.00,16,388,0.0
5882,0.00,0.00,16,388,0.0
5914,0.00,0.00,16,388,0.0
5938,0.00,0.00,16,388,0.0
5970,0.00,0.00,16,388,0.0
5994,0.00,0.00,16,388,0.0
6026,0.00,0.00,16,388,0.0
6056,0.00,0.00,16,388,0.0
6088,0.00,0.00,16,388,0.0
6112,0.00,0.00,16,388,0.0
6144,0.00,0.00,16,388,0.0
6178,0.00,0.00,16,388,0.0
6204,0.00,0.00,16,388,0.0
6236,0.00,0.00,16,388,0.0
6260,0.00,0.00,16,388,0.0
6292,0.00,0.00,16,388,0.0
6324,0.00,0.00,16,388,0.0
6356,0.00,0.00,16,388,0.0
6382,0.00,0.00,16,388,0.0
6414,0.00,0.00,16,388,0.0
6446,0.00,0.00,16,388,0.0
6474,0.00,0.00,16,388,0.0
6501,0.00,0.00,16,388,0.0
6533,0.00,0.00,16,388,0.0
6558,0.00,0.00,16,388,0.0
6586,0.00,0.00,16,388,0.0
6618,0.00,0.00,16,388,0.0
6646,0.00,0.00,16,388,0.0
6676,0.00,0.00,16,388,0.0
6704,0.00,0.00,16,388,0.0
6736,0.00,0.00,16,388,0.0
6768,0.00,0.00,16,388,0.0
6792,0.00,0.00,16,388,0.0
6826,0.00,0.00,16,388,0.0
6854,0.00,0.00,16,388,0.0
6886,0.00,0.00,16,388,0.0
6910,0.00,0.00,16,388,0.0
6942,0.00,0.00,16,388,0.0
6974,0.00,0.00,16,388,0.0
6998,0.00,0.00,16,388,0.0
7030,0.00,0.00,16,388,0.0
7065,0.00,0.00,16,388,0.0
7089,0.00,0.00,16,388,0.0
7121,0.00,0.00,16,388,0.0
7152,0.00,0.00,16,388,0.0
7181,0.00,0.00,16,388,0.0
7213,0.00,0.00,16,388,0.0
7237,0.00,0.00,16,388,0.0
7269,0.00,0.00,16,388,0.0
7301,0.00,0.00,16,388,0.0
7325,0.00,0.00,16,388,0.0
7357,0.00,0.00,16,388,0.0
7389,0.00,0.00,16,388,0.0
7413,0.00,0.00,16,388,0.0
7447,0.00,0.00,16,388,1.2
7479,0.00,0.00,16,388,1.8
7503,0.00,0.00,16,388,1.8
7535,0.00,0.00,16,388,1.8
7567,0.00,0.00,16,388,2.4
7591,0.00,0.00,16,388,2.4
7625,0.00,0.00,16,388,2.9
7649,0.00,0.00,16,388,1.8
7681,0.00,0.00,16,388,0.6
7713,0.00,0.00,16,388,0.0
7745,0.00,0.00,16,388,0.0
7769,0.00,0.00,16,388,-0.6
7801,0.00,0.00,16,388,-4.1
7833,0.00,0.00,16,388,-5.3
7857,0.00,0.00,16,388,-3.5
7889,0.00,0.00,16,388,0.0
7921,0.00,0.00,16,388,0.0
7949,0.00,0.00,16,388,0.0
7981,0.00,0.00,16,388,0.0
8005,0.00,0.00,16,388,0.0
8033,0.00,0.00,16,388,0.0
8065,0.00,0.00,16,388,0.0
8098,0.00,0.00,16,388,0.0
8130,0.00,0.00,16,388,0.0
8154,0.00,0.00,16,388,0.0
8186,0.00,0.00,16,388,0.0
8218,0.00,0.00,16,388,0.0
8242,0.00,0.00,16,388,0.0
8274,0.00,0.00,16,388,0.0
8306,0.00,0.00,16,388,0.0
8334,0.00,0.00,16,388,0.0
8366,0.00,0.00,16,388,0.0
8390,0.00,0.00,16,388,0.0
8422,0.00,0.00,16,388,0.0
8454,0.00,0.00,16,388,0.0
8478,0.00,0.00,16,388,0.0
8514,0.00,0.00,16,388,0.0
8538,0.00,0.00,16,388,0.0
8570,0.00,0.00,16,388,0.0
8600,0.00,0.00,16,388,0.0
8630,0.00,0.00,16,388,0.0
8654,0.00,0.00,16,388,0.0
8686,0.00,0.00,16,388,0.0
8718,0.00,0.00,16,388,0.0
8750,0.00,0.00,16,388,0.0
8774,0.00,0.00,16,388,0.0
8808,0.00,0.00,16,388,0.0
8840,0.00,0.00,16,388,0.0
8866,0.00,0.00,16,388,0.0
8896,0.00,0.00,16,388,0.0
8928,0.00,0.00,16,388,0.0
8952,0.00,0.00,16,388,0.0
8984,0.00,0.00,16,388,0.0
9009,0.00,0.00,16,388,0.0
9041,0.00,0.00,16,388,0.0
9073,0.00,0.00,16,388,0.0
9104,0.00,0.00,16,388,0.0
9129,0.00,0.00,16,388,0.0
9161,0.00,0.00,16,388,0.0
9192,0.00,0.00,16,388,0.0
9217,0.00,0.00,16,388,0.0
9249,0.00,0.00,16,388,0.0
9280,0.00,0.00,16,388,0.0
9312,0.00,0.00,16,388,0.0
9337,0.00,0.00,16,388,0.0
9368,0.00,0.00,16,388,0.0
9393,0.00,0.00,16,388,0.0
9429,0.00,0.00,16,388,0.0
9453,0.00,0.00,16,388,0.0
9487,0.00,0.00,16,388,0.0
9511,0.00,0.00,16,388,0.0
9543,0.00,0.00,16,388,0.0
9575,0.00,0.00,16,388,0.0
9599,0.00,0.00,16,388,0.0
9631,0.00,0.00,16,388,0.0
9665,0.00,0.00,16,388,0.0
9690,0.00,0.00,16,388,0.0
9721,0.00,0.00,16,388,0.0
9748,0.00,0.00,16,388,0.0
9780,0.00,0.00,16,388,0.0
9810,0.00,0.00,16,388,0.0
9836,0.00,0.00,16,388,0.0
9868,0.00,0.00,16,388,0.0
9900,0.00,0.00,16,388,0.0
9932,0.00,0.00,16,388,0.0
9956,0.00,0.00,16,388,0.0
9990,0.00,0.00,16,388,0.0
10021,0.00,0.00,16,388,0.0
10045,0.00,0.00,16,388,0.0
10073,0.00,0.00,16,388,0.0
10105,0.00,0.00,16,388,0.0
10137,0.00,0.00,16,388,0.0
10161,0.00,0.00,16,388,0.0
10193,0.00,0.00,16,388,0.0
10225,0.00,0.00,16,388,0.0
10249,0.00,0.00,16,388,0.0
10281,0.00,0.00,16,388,0.0
10313,0.00,0.00,16,388,0.0
10343,0.00,0.00,16,388,0.0
10368,0.00,0.00,16,388,0.0
10400,0.00,0.00,16,388,0.0
10426,0.00,0.00,16,388,0.0
10459,0.00,0.00,16,388,0.0
10491,0.00,0.00,16,388,0.0
10521,0.00,0.00,16,388,0.0
10550,0.00,0.00,16,388,0.0
10577,0.00,0.00,16,388,0.0
10609,0.00,0.00,16,388,0.0
10641,0.00,0.00,16,388,0.0
10669,0.00,0.00,16,388,0.0
10698,0.00,0.00,16,388,0.0
10730,0.00,0.00,16,388,0.0
10754,0.00,0.00,16,388,0.0
10786,0.00,0.00,16,388,0.0
10818,0.00,0.00,16,388,0.0
10842,0.00,0.00,16,388,0.0
10874,0.00,0.00,16,388,0.0
10906,0.00,0.00,16,388,0.0
10930,0.00,0.00,16,388,0.0
10962,0.00,0.00,16,388,0.0
10994,0.00,0.00,16,388,0.0
11026,0.00,0.00,16,388,0.0
11050,0.00,0.00,16,388,0.0
11082,0.00,0.00,16,388,0.0
11106,0.00,0.00,16,388,0.0
11138,0.00,0.00,16,388,0.0
11170,0.00,0.00,16,388,0.0
11202,0.00,0.00,16,388,0.0
11226,0.00,0.00,16,388,0.0
11258,0.00,0.00,16,388,0.0
11290,0.00,0.00,16,388,0.0
11318,0.00,0.00,16,388,0.0
11342,0.00,0.00,16,388,0.0
11376,0.00,0.00,16,388,0.0
11408,0.00,0.00,16,388,0.0
11432,0.00,0.00,16,388,0.0
11464,0.00,0.00,16,388,0.0
11495,0.00,0.00,16,388,0.0
11524,0.00,0.00,16,388,0.0
11556,0.00,0.00,16,388,0.0
11580,0.00,0.00,16,388,0.0
11614,0.00,0.00,16,388,0.0
11646,0.00,0.00,16,388,0.0
11670,0.00,0.00,16,388,0.0
11702,0.00,0.00,16,388,0.0
11726,0.00,0.00,16,388,0.0
11758,0.00,0.00,16,388,0.0
11790,0.00,0.00,16,388,0.0
11814,0.00,0.00,16,388,0.0
11846,0.00,0.00,16,388,0.0
11878,0.00,0.00,16,388,0.0
11910,0.00,0.00,16,388,0.0
11934,0.00,0.00,16,388,0.0
11966,0.00,0.00,16,388,0.0
11998,0.00,0.00,16,388,0.0
12022,0.00,0.00,16,388,0.0
12058,0.00,0.00,16,388,0.0
12083,0.00,0.00,16,388,0.0
12115,0.00,0.00,16,388,0.0
12146,0.00,0.00,16,388,0.0
12170,0.00,0.00,16,388,0.0
12202,0.00,0.00,16,388,0.0
12234,0.00,0.00,16,388,0.0
12259,0.00,0.00,16,388,0.0
12291,0.00,0.00,16,388,0.0
12319,0.00,0.00,16,388,0.0
12351,0.00,0.00,16,388,0.0
12383,0.00,0.00,16,388,0.0
12407,0.00,0.00,16,388,0.0
12439,0.00,0.00,16,388,0.0
12471,0.00,0.00,16,388,0.0
12495,0.00,0.00,16,388,0.0
12527,0.00,0.00,16,388,0.0
12563,0.00,0.00,16,388,0.0
12587,0.00,0.00,16,388,0.0
12619,0.00,0.00,16,388,0.0
12643,0.00,0.00,16,388,0.0
12675,0.00,0.00,16,388,0.0
12707,0.00,0.00,16,388,0.0
12735,0.00,0.00,16,388,0.0
12769,0.00,0.00,16,388,0.0
12793,0.00,0.00,16,388,0.0
12825,0.00,0.00,16,388,0.0
12849,0.00,0.00,16,388,0.0
12881,0.00,0.00,16,388,0.0
12913,0.00,0.00,16,388,0.0
12937,0.00,0.00,16,388,0.0
12969,0.00,0.00,16,388,0.0
13003,0.00,0.00,16,388,0.0
13027,0.00,0.00,16,388,0.0
13059,0.00,0.00,16,388,0.0
13091,0.00,0.00,16,388,0.0
13115,0.00,0.00,16,388,0.0
13147,0.00,0.00,16,388,0.0
13179,0.00,0.00,16,388,0.0
13211,0.00,0.00,16,388,0.0
13235,0.00,0.00,16,388,0.0
13267,0.00,0.00,16,388,0.0
13291,0.00,0.00,16,388,0.0
13323,0.00,0.00,16,388,0.0
13355,0.00,0.00,16,388,0.0
13381,0.00,0.00,16,388,0.0
13411,0.00,0.00,16,388,0.0
13443,0.00,0.00,16,388,0.0
13475,0.00,0.00,16,388,0.0
13499,0.00,0.00,16,388,0.0
13535,0.00,0.00,16,388,0.0
13559,0.00,0.00,16,388,0.0
13591,0.00,0.00,16,388,0.0
13623,0.00,0.00,16,388,0.0
13649,0.00,0.00,16,388,0.0
13681,0.00,0.00,16,388,0.0
13706,0.00,0.00,16,388,0.0
13738,0.00,0.00,16,388,0.0
13769,0.00,0.00,16,388,0.0
13798,0.00,0.00,16,388,0.0
13830,0.00,0.00,16,388,0.0
13854,0.00,0.00,16,388,0.0
13886,0.00,0.00,16,388,0.0
13918,0.00,0.00,16,388,0.0
13942,0.00,0.00,16,388,0.0
13974,0.00,0.00,16,388,0.0
14006,0.00,0.00,16,388,0.0
14038,0.00,0.00,16,388,0.0
14062,0.00,0.00,16,388,0.0
14094,0.00,0.00,16,388,0.0
14124,0.00,0.00,16,388,0.0
14154,0.00,0.00,16,388,0.0
14178,0.00,0.00,16,388,0.0
14212,0.00,0.00,16,388,0.0
14244,0.00,0.00,16,388,0.0
14268,0.00,0.00,16,388,0.0
14300,0.00,0.00,16,388,0.0
14332,0.00,0.00,16,388,0.0
14356,0.00,0.00,16,388,0.0
14388,0.00,0.00,16,388,0.0
14420,0.00,0.00,16,388,0.0
14445,0.00,0.00,16,388,0.0
14477,0.00,0.00,16,388,0.0
14508,0.00,0.00,16,388,0.0
14537,0.00,0.00,16,388,0.0
14564,0.00,0.00,16,388,0.0
14596,0.00,0.00,16,388,0.0
14628,0.00,0.00,16,388,0.0
14652,0.00,0.00,16,388,0.0
14684,0.00,0.00,16,388,0.0
14716,0.00,0.00,16,388,0.0
14740,0.00,0.00,16,388,0.0
14772,0.00,0.00,16,388,0.0
14802,0.00,0.00,16,388,0.0
14834,0.00,0.00,16,388,0.0
14858,0.00,0.00,16,388,0.0
14890,0.00,0.00,16,388,0.0
14922,0.00,0.00,16,388,0.0
14946,0.00,0.00,16,388,0.0
14978,0.00,0.00,16,388,0.0
15010,0.00,0.00,16,388,0.0
15034,0.00,0.00,16,388,0.0
15069,0.00,0.00,16,388,0.0
15098,0.00,0.00,16,388,0.0
15130,0.00,0.00,16,388,0.0
15154,0.00,0.00,16,388,0.0
15188,0.00,0.00,16,388,0.0
15220,0.00,0.00,16,388,0.0
15244,0.00,0.00,16,388,0.0
15276,0.00,0.00,16,388,0.0
15300,0.00,0.00,16,388,0.0
15332,0.00,0.00,16,388,0.0
15364,0.00,0.00,16,388,0.0
15396,0.00,0.00,16,388,0.0
15420,0.00,0.00,16,388,0.0
15450,0.00,0.00,16,388,0.0
15482,0.00,0.00,16,388,0.0
15512,0.00,0.00,16,388,0.0
15540,0.00,0.00,16,388,0.0
15573,0.00,0.00,16,388,0.0
15597,0.00,0.00,16,388,0.0
15629,0.00,0.00,16,388,0.0
15661,0.00,0.00,16,388,0.0
15689,0.00,0.00,16,388,0.0
15721,0.00,0.00,16,388,0.0
15745,0.00,0.00,16,388,0.0
15777,0.00,0.00,16,388,0.0
15809,0.00,0.00,16,388,0.0
15833,0.00,0.00,16,388,0.0
15866,0.00,0.00,16,388,0.0
15890,0.00,0.00,16,388,0.0
15924,0.00,0.00,16,388,0.0
15956,0.00,0.00,16,388,0.0
15984,0.00,0.00,16,388,0.0
16016,0.00,0.00,16,388,0.0
16040,0.00,0.00,16,388,0.0
16072,0.00,0.00,16,388,0.0
16104,0.00,0.00,16,388,0.0
16128,0.00,0.00,16,388,0.0
16160,0.00,0.00,16,388,0.0
16192,0.00,0.00,16,388,0.0
16224,0.00,0.00,16,388,0.0
16248,0.00,0.00,16,388,0.0
16280,0.00,0.00,16,388,0.0
16312,0.00,0.00,16,388,0.0
16336,0.00,0.00,16,388,0.0
16368,0.00,0.00,16,388,0.0
16400,0.00,0.00,16,388,0.0
16427,0.00,0.00,16,388,0.0
16459,0.00,0.00,16,388,0.0
16483,0.00,0.00,16,388,0.0
16515,0.00,0.00,16,388,0.0
16547,0.00,0.00,16,388,0.0
16571,0.00,0.00,16,388,0.0
16603,0.00,0.00,16,388,0.0
16637,0.00,0.00,16,388,0.0
16661,0.00,0.00,16,388,0.0
16694,0.00,0.00,16,388,0.0
16721,0.00,0.00,16,388,0.0
16753,0.00,0.00,16,388,0.0
16777,0.00,0.00,16,388,0.0
16813,0.00,0.00,16,388,0.0
16838,0.00,0.00,16,388,0.0
16870,0.00,0.00,16,388,0.0
16901,0.00,0.00,16,388,0.0
16925,0.00,0.00,16,388,0.0
16958,0.00,0.00,16,388,0.0
16989,0.00,0.00,16,388,0.0
17014,0.00,0.00,16,388,0.0
17046,0.00,0.00,16,388,0.0
17078,0.00,0.00,16,388,0.0
17103,0.00,0.00,16,388,0.0
17135,0.00,0.00,16,388,0.0
17167,0.00,0.00,16,388,0.0
17198,0.00,0.00,16,388,0.0
17222,0.00,0.00,16,388,0.0
17258,0.00,0.00,16,388,0.0
17283,0.00,0.00,16,388,0.0
17314,0.00,0.00,16,388,0.0
17339,0.00,0.00,16,388,0.0
17371,0.00,0.00,16,388,0.0
17403,0.00,0.00,16,388,0.0
17435,0.00,0.00,16,388,0.0
17459,0.00,0.00,16,388,0.0
17491,0.00,0.00,16,388,0.0
17523,0.00,0.00,16,388,0.0
17547,0.00,0.00,16,388,0.0
17578,0.00,0.00,16,388,0.0
17609,0.00,0.00,16,388,0.0
17641,0.00,0.00,16,388,0.0
17672,0.00,0.00,16,388,0.0
17688,0.00,0.00,16,388,0.0
17719,0.00,0.00,16,388,0.0
17750,0.00,0.00,16,388,0.0
17781,0.00,0.00,16,388,0.0
17813,0.00,0.00,16,388,0.0
17845,0.00,0.00,16,388,0.0
17876,0.00,0.00,16,388,0.0
17901,0.00,0.00,16,388,0.0
17933,0.00,0.00,16,388,0.0
17965,0.00,0.00,16,388,0.0
17996,0.00,0.00,16,388,0.0
18021,0.00,0.00,16,388,0.0
18053,0.00,0.00,16,388,0.0
18084,0.00,0.00,16,388,0.0
18108,0.00,0.00,16,388,0.0
18141,0.00,0.00,16,388,0.0
18172,0.00,0.00,16,388,0.0
18197,0.00,0.00,16,388,0.0
18229,0.00,0.00,16,388,0.0
18260,0.00,0.00,16,388,0.0
18285,0.00,0.00,16,388,0.0
18317,0.00,0.00,16,388,0.0
18348,0.00,0.00,16,388,0.0
18373,0.00,0.00,16,388,0.0
18405,0.00,0.00,16,388,0.0
18436,0.00,0.00,16,388,0.0
18460,0.00,0.00,16,388,0.0
18495,0.00,0.00,16,388,0.0
18521,0.00,0.00,16,388,0.0
18553,0.00,0.00,16,388,0.0
18585,0.00,0.00,16,388,0.0
18616,0.00,0.00,16,388,0.0
18641,0.00,0.00,16,388,0.0
18672,0.00,0.00,16,388,0.0
18704,0.00,0.00,16,388,0.0
18729,0.00,0.00,16,388,0.0
18761,0.00,0.00,16,388,0.0
18792,0.00,0.00,16,388,0.0
18817,0.00,0.00,16,388,0.0
18849,0.00,0.00,16,388,0.0
18880,0.00,0.00,16,388,0.0
18905,0.00,0.00,16,388,0.0
18939,0.00,0.00,16,388,0.0
18971,0.00,0.00,16,388,0.0
18995,0.00,0.00,16,388,0.0
19029,0.00,0.00,16,388,0.0
19053,0.00,0.00,16,388,0.0
19087,0.00,0.00,16,388,0.0
19111,0.00,0.00,16,388,0.0
19143,0.00,0.00,16,388,0.0
19175,0.00,0.00,16,388,0.0
19207,0.00,0.00,16,388,0.0
19231,0.00,0.00,16,388,0.0
19263,0.00,0.00,16,388,0.0
19295,0.00,0.00,16,388,0.0
19319,0.00,0.00,16,388,0.0
19348,0.00,0.00,16,388,0.0
19380,0.00,0.00,16,388,0.0
19412,0.00,0.00,16,388,0.0
19437,0.00,0.00,16,388,0.0
19466,0.00,0.00,16,388,0.0
19498,0.00,0.00,16,388,0.0
19530,0.00,0.00,16,388,0.0
19562,0.00,0.00,16,388,0.0
19586,0.00,0.00,16,388,0.0
19621,0.00,0.00,16,388,0.0
19645,0.00,0.00,16,388,0.0
19677,0.00,0.00,16,388,0.0
19709,0.00,0.00,16,388,0.0
19733,0.00,0.00,16,388,0.0
19765,0.00,0.00,16,388,0.0
19797,0.00,0.00,16,388,0.0
19821,0.00,0.00,16,388,0.0
19853,0.00,0.00,16,388,0.0
19885,0.00,0.00,16,388,0.0
19917,0.00,0.00,16,388,0.0
19941,0.00,0.00,16,388,0.0
19973,0.00,0.00,16,388,0.0
20005,0.00,0.00,16,388,0.0
20029,0.00,0.00,16,388,0.0
20061,0.00,0.00,16,388,0.0
20101,0.00,0.00,16,388,0.0
20125,0.00,0.00,16,388,0.0
20149,0.00,0.00,16,388,0.0
20181,0.00,0.00,16,388,0.0
20213,0.00,0.00,16,388,0.0
20237,0.00,0.00,16,388,0.0
20269,0.00,0.00,16,388,0.0
20300,0.00,0.00,16,388,0.0
20325,0.00,0.00,16,388,0.0
20357,0.00,0.00,16,388,0.0
20388,0.00,0.00,16,388,0.0
20413,0.00,0.00,16,388,0.0
20445,0.00,0.00,16,388,0.0
20476,0.00,0.00,16,388,0.0
20501,0.00,0.00,16,388,0.0
20533,0.00,0.00,16,388,0.0
20565,0.00,0.00,16,388,0.0
20593,0.00,0.00,16,388,0.0
20621,0.00,0.00,16,388,0.0
20653,0.00,0.00,16,388,0.0
20685,0.00,0.00,16,388,0.0
20709,0.00,0.00,16,388,0.0
20741,0.00,0.00,16,388,0.0
20773,0.00,0.00,16,388,0.0
20797,0.00,0.00,16,388,0.0
20829,0.00,0.00,16,388,0.0
20861,0.00,0.00,16,388,0.0
20885,0.00,0.00,16,388,0.0
20917,0.00,0.00,16,388,0.0
20949,0.00,0.00,16,388,0.0
20974,0.00,0.00,16,388,0.0
21006,0.00,0.00,16,388,0.0
21038,0.00,0.00,16,388,0.0
21062,0.00,0.00,16,388,0.0
21094,0.00,0.00,16,388,0.0
21122,0.00,0.00,16,388,0.0
21154,0.00,0.00,16,388,0.0
21186,0.00,0.00,16,388,0.0
21210,0.00,0.00,16,388,0.0
21242,0.00,0.00,16,388,0.0
21274,0.00,0.00,16,388,0.0
21298,0.00,0.00,16,388,0.0
21330,0.00,0.00,16,388,0.0
21362,0.00,0.00,16,388,0.0
21386,0.00,0.00,16,388,0.0
21418,0.00,0.00,16,388,0.0
21450,0.00,0.00,16,388,0.0
21482,0.00,0.00,16,388,0.0
