Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value)
1835,0.00,0.00,16
1859,0.00,0.00,16
1883,0.00,0.00,16
1902,0.00,0.00,16
1927,0.00,0.00,16
1950,0.00,0.00,16
1967,0.00,0.00,16
1990,0.00,0.00,16
2015,0.00,0.00,16
2038,0.00,0.00,16
2063,0.00,0.00,16
2086,0.00,0.00,16
2102,0.00,0.00,16
2126,0.00,0.00,16
2150,0.00,0.00,16
2174,0.00,0.00,16
2198,0.00,0.00,16
2222,0.00,0.00,16
2244,0.00,0.00,16
2268,0.00,0.00,16
2284,0.00,0.00,16
2308,0.00,0.00,16
2332,0.00,0.00,16
2356,0.00,0.00,16
2380,0.00,0.00,16
2404,0.00,0.00,16
2428,0.00,0.00,16
2444,0.00,0.00,16
2471,0.00,0.00,16
2495,0.00,0.00,16
2511,0.00,0.00,16
2535,0.00,0.00,16
2559,0.00,0.00,16
2583,0.00,0.00,16
2607,0.00,0.00,16
2631,0.00,0.00,16
2655,0.00,0.00,16
2672,0.00,0.00,16
2696,0.00,0.00,16
2719,0.00,0.00,16
2743,0.00,0.00,16
2767,0.00,0.00,16
2783,0.00,0.00,16
2808,0.00,0.00,16
2832,0.00,0.00,16
2855,0.00,0.00,16
2879,0.00,0.00,16
2903,0.00,0.00,16
2919,0.00,0.00,16
2947,0.00,0.00,16
2971,0.00,0.00,16
2987,0.00,0.00,16
3012,0.00,0.00,16
3036,0.00,0.00,16
3060,0.00,0.00,16
3083,0.00,0.00,16
3107,0.00,0.00,16
3124,0.00,0.00,16
3148,0.00,0.00,16
3171,0.00,0.00,16
3196,0.00,0.00,16
3219,0.00,0.00,16
3243,0.00,0.00,16
3260,0.00,0.00,16
3284,0.00,0.00,16
3308,0.00,0.00,16
3332,0.00,0.00,16
3355,0.00,0.00,16
3379,0.00,0.00,16
3403,0.00,0.00,16
3419,0.00,0.00,16
3444,0.00,0.00,16
3468,0.00,0.00,16
3491,0.00,0.00,16
3515,0.00,0.00,16
3539,0.00,0.00,16
3555,0.00,0.00,16
3580,0.00,0.00,16
3603,0.00,0.00,16
3627,0.00,0.00,16
3651,0.00,0.00,16
3675,0.00,0.00,16
3691,0.00,0.00,16
3715,0.00,0.00,16
3739,0.00,0.00,16
3763,0.00,0.00,16
3787,0.00,0.00,16
3803,0.00,0.00,16
3827,0.00,0.00,16
3851,0.00,0.00,16
3875,0.00,0.00,16
3899,0.00,0.00,16
3923,0.00,0.00,16
3945,0.00,0.00,16
3966,0.00,0.00,16
3990,0.00,0.00,16
4013,0.00,0.00,16
4037,0.00,0.00,16
4054,0.00,0.00,16
4078,0.00,0.00,16
4102,0.00,0.00,16
4126,0.00,0.00,16
4149,0.00,0.00,16
4173,0.00,0.00,16
4190,0.00,0.00,16
4214,0.00,0.00,16
4238,0.00,0.00,16
4262,0.00,0.00,16
4286,0.00,0.00,16
4310,0.00,0.00,16
4327,0.00,0.00,16
4351,0.00,0.00,16
4375,0.00,0.00,16
4399,0.00,0.00,16
4422,0.00,0.00,16
4439,0.00,0.00,16
4463,0.00,0.00,16
4487,0.00,0.00,16
4511,0.00,0.00,16
4536,0.00,0.00,16
4552,0.00,0.00,16
4578,0.00,0.00,16
4602,0.00,0.00,16
4626,0.00,0.00,16
4643,0.00,0.00,16
4667,0.00,0.00,16
4693,0.00,0.00,16
4717,0.00,0.00,16
4733,0.00,0.00,16
4765,0.00,0.00,16
4789,0.00,0.00,16
4805,0.00,0.00,16
4829,0.00,0.00,16
4853,0.00,0.00,16
4877,0.00,0.00,16
4901,0.00,0.00,16
4917,0.00,0.00,16
4941,0.00,0.00,16
4965,0.00,0.00,16
4989,0.00,0.00,16
5013,0.00,0.00,16
5037,0.00,0.00,16
5053,0.00,0.00,16
5077,0.00,0.00,16
5101,0.00,0.00,16
5125,0.00,0.00,16
5141,0.00,0.00,16
5165,0.00,0.00,16
5189,0.00,0.00,16
5213,0.00,0.00,16
5237,0.00,0.00,16
5261,0.00,0.00,16
5277,0.00,0.00,16
5301,0.00,0.00,16
5326,0.00,0.00,16
5350,0.00,0.00,16
5374,0.00,0.00,16
5398,0.00,0.00,16
5414,0.00,0.00,16
5438,0.00,0.00,16
5462,0.00,0.00,16
5486,0.00,0.00,16
5510,0.00,0.00,16
5534,0.00,0.00,16
5550,0.00,0.00,16
5574,0.00,0.00,16
5598,0.00,0.00,16
5622,0.00,0.00,16
5646,0.00,0.00,16
5670,0.00,0.00,16
5686,0.00,0.00,16
5710,0.00,0.00,16
5734,0.00,0.00,16
5758,0.00,0.00,16
5782,0.00,0.00,16
5806,0.00,0.00,16
5822,0.00,0.00,16
5846,0.00,0.00,16
5870,0.00,0.00,16
5894,0.00,0.00,16
5918,0.00,0.00,16
5942,0.00,0.00,16
5958,0.00,0.00,16
5982,0.00,0.00,16
6006,0.00,0.00,16
6030,0.00,0.00,16
6054,0.00,0.00,16
6070,0.00,0.00,16
6094,0.00,0.00,16
6118,0.00,0.00,16
6142,0.00,0.00,16
6166,0.00,0.00,16
6184,0.00,0.00,16
6208,0.00,0.00,16
6232,0.00,0.00,16
6256,0.00,0.00,16
6280,0.00,0.00,16
6304,0.00,0.00,16
6320,0.00,0.00,16
6344,0.00,0.00,16
6368,0.00,0.00,16
6392,0.00,0.00,16
6416,0.00,0.00,16
6440,0.00,0.00,16
6458,0.00,0.00,16
6498,0.00,0.00,16
6514,0.00,0.00,16
6530,0.00,0.00,16
6554,0.00,0.00,16
6578,0.00,0.00,16
6594,0.00,0.00,16
6618,0.00,0.00,16
6642,0.00,0.00,16
6666,0.00,0.00,16
6690,0.00,0.00,16
6714,0.00,0.00,16
6746,0.00,0.00,16
6762,0.00,0.00,16
6786,0.00,0.00,16
6866,0.00,0.00,16
6882,0.00,0.00,16
6897,0.00,0.00,16
6914,0.00,0.00,16
6919,0.00,0.00,16
6919,0.00,0.00,16
6935,0.00,0.00,16
6959,0.00,0.00,16
6983,0.00,0.00,16
7007,0.00,0.00,16
7023,0.00,0.00,16
7055,0.00,0.00,16
7072,0.00,0.00,16
7096,0.00,0.00,16
7120,0.00,0.00,16
7136,0.00,0.00,16
7160,0.00,0.00,16
7184,0.00,0.00,16
7208,0.00,0.00,16
7232,0.00,0.00,16
7256,0.00,0.00,16
7280,0.00,0.00,16
7296,0.00,0.00,16
7320,0.00,0.00,16
7344,0.00,0.00,16
7368,0.00,0.00,16
7392,0.00,0.00,16
7408,0.00,0.00,16
7432,0.00,0.00,16
7456,0.00,0.00,16
7480,0.00,0.00,16
7504,0.00,0.00,16
7528,0.00,0.00,16
7552,0.00,0.00,16
7568,0.00,0.00,16
7594,0.00,0.00,16
7618,0.00,0.00,16
7642,0.00,0.00,16
7658,0.00,0.00,16
7682,0.00,0.00,16
7706,0.00,0.00,16
7730,0.00,0.00,16
7754,0.00,0.00,16
7778,0.00,0.00,16
7802,0.00,0.00,16
7818,0.00,0.00,16
7842,0.00,0.00,16
7866,0.00,0.00,16
7890,0.00,0.00,16
7914,0.00,0.00,16
7930,0.00,0.00,16
7954,0.00,0.00,16
7978,0.00,0.00,16
8002,0.00,0.00,16
8026,0.00,0.00,16
8050,0.00,0.00,16
8074,0.00,0.00,16
8090,0.00,0.00,16
8114,0.00,0.00,16
8138,0.00,0.00,16
8162,0.00,0.00,16
8186,0.00,0.00,16
8202,0.00,0.00,16
8226,0.00,0.00,16
8250,0.00,0.00,16
8274,0.00,0.00,16
8298,0.00,0.00,16
8322,0.00,0.00,16
8338,0.00,0.00,16
8362,0.00,0.00,16
8386,0.00,0.00,16
8410,0.00,0.00,16
8434,0.00,0.00,16
8458,0.00,0.00,16
8482,0.00,0.00,16
8498,0.00,0.00,16
8522,0.00,0.00,16
8546,0.00,0.00,16
8570,0.00,0.00,16
8594,0.00,0.00,16
8618,0.00,0.00,16
8634,0.00,0.00,16
8658,0.00,0.00,16
8682,0.00,0.00,16
8706,0.00,0.00,16
8730,0.00,0.00,16
8746,0.00,0.00,16
8770,0.00,0.00,16
8794,0.00,0.00,16
8818,0.00,0.00,16
8842,0.00,0.00,16
8866,0.00,0.00,16
8890,0.00,0.00,16
8906,0.00,0.00,16
8930,0.00,0.00,16
8954,0.00,0.00,16
8978,0.00,0.00,16
9002,0.00,0.00,16
9019,0.00,0.00,16
9044,0.00,0.00,16
9067,0.00,0.00,16
9091,0.00,0.00,16
9115,0.00,0.00,16
9133,0.00,0.00,16
9157,0.00,0.00,16
9181,0.00,0.00,16
9205,0.00,0.00,16
9229,0.00,0.00,16
9253,0.00,0.00,16
9269,0.00,0.00,16
9293,0.00,0.00,16
9317,0.00,0.00,16
9341,0.00,0.00,16
9365,0.00,0.00,16
9381,0.00,0.00,16
9405,0.00,0.00,16
9429,0.00,0.00,16
9453,0.00,0.00,16
9477,0.00,0.00,16
9501,0.00,0.00,16
9517,0.00,0.00,16
9541,0.00,0.00,16
9565,0.00,0.00,16
9589,0.00,0.00,16
9613,0.00,0.00,16
9637,0.00,0.00,16
9661,0.00,0.00,16
9677,0.00,0.00,16
9701,0.00,0.00,16
9725,0.00,0.00,16
9749,0.00,0.00,16
9773,0.00,0.00,16
9789,0.00,0.00,16
9813,0.00,0.00,16
9837,0.00,0.00,16
9861,0.00,0.00,16
9885,0.00,0.00,16
9909,0.00,0.00,16
9933,0.00,0.00,16
9949,0.00,0.00,16
9973,0.00,0.00,16
9997,0.00,0.00,16
10021,0.00,0.00,16
10045,0.00,0.00,16
10069,0.00,0.00,16
10085,0.00,0.00,16
10109,0.00,0.00,16
10133,0.00,0.00,16
10157,0.00,0.00,16
10181,0.00,0.00,16
10197,0.00,0.00,16
10221,0.00,0.00,16
10245,0.00,0.00,16
10269,0.00,0.00,16
10293,0.00,0.00,16
10317,0.00,0.00,16
10341,0.00,0.00,16
10357,0.00,0.00,16
10382,0.00,0.00,16
10406,0.00,0.00,16
10429,0.00,0.00,16
10453,0.00,0.00,16
10470,0.00,0.00,16
10495,0.00,0.00,16
10519,0.00,0.00,16
10543,0.00,0.00,16
10567,0.00,0.00,16
10583,0.00,0.00,16
10607,0.00,0.00,16
10631,0.00,0.00,16
10655,0.00,0.00,16
10679,0.00,0.00,16
10695,0.00,0.00,16
10719,0.00,0.00,16
10743,0.00,0.00,16
10767,0.00,0.00,16
10791,0.00,0.00,16
10815,0.00,0.00,16
10838,0.00,0.00,16
10858,0.00,0.00,16
10882,0.00,0.00,16
10905,0.00,0.00,16
10929,0.00,0.00,16
10946,0.00,0.00,16
10970,0.00,0.00,16
10994,0.00,0.00,16
11020,0.00,0.00,16
11044,0.00,0.00,16
11068,0.00,0.00,16
11084,0.00,0.00,16
11108,0.00,0.00,16
11132,0.00,0.00,16
11156,0.00,0.00,16
11180,0.00,0.00,16
11196,0.00,0.00,16
11220,0.00,0.00,16
11244,0.00,0.00,16
11268,0.00,0.00,16
11292,0.00,0.00,16
11316,0.00,0.00,16
11332,0.00,0.00,16
11356,0.00,0.00,16
11380,0.00,0.00,16
11404,0.00,0.00,16
11427,0.00,0.00,16
11451,0.00,0.00,16
11475,0.00,0.00,16
11492,0.00,0.00,16
11516,0.00,0.00,16
11540,0.00,0.00,16
11563,0.00,0.00,16
11587,0.00,0.00,16
11604,0.00,0.00,16
11627,0.00,0.00,16
11651,0.00,0.00,16
11691,0.00,0.00,16
11699,0.00,0.00,16
11723,0.00,0.00,16
11750,0.00,0.00,16
11768,0.00,0.00,16
11792,0.00,0.00,16
11816,0.00,0.00,16
11832,0.00,0.00,16
11856,0.00,0.00,16
11883,0.00,0.00,16
11899,0.00,0.00,16
11923,0.00,0.00,16
11947,0.00,0.00,16
11971,0.00,0.00,16
11995,0.00,0.00,16
12019,0.00,0.00,16
12035,0.00,0.00,16
12059,0.00,0.00,16
12083,0.00,0.00,16
12107,0.00,0.00,16
12131,0.00,0.00,16
12155,0.00,0.00,16
12171,0.00,0.00,16
12195,0.00,0.00,16
12219,0.00,0.00,16
12243,0.00,0.00,16
12267,0.00,0.00,16
12291,0.00,0.00,16
12307,0.00,0.00,16
12331,0.00,0.00,16
12355,0.00,0.00,16
12379,0.00,0.00,16
12403,0.00,0.00,16
12427,0.00,0.00,16
12443,0.00,0.00,16
12467,0.00,0.00,16
12491,0.00,0.00,16
12516,0.00,0.00,16
12540,0.00,0.00,16
12557,0.00,0.00,16
12581,0.00,0.00,16
12605,0.00,0.00,16
12629,0.00,0.00,16
12652,0.00,0.00,16
12676,0.00,0.00,16
12700,0.00,0.00,16
12717,0.00,0.00,16
12740,0.00,0.00,16
12764,0.00,0.00,16
12789,0.00,0.00,16
12812,0.00,0.00,16
12836,0.00,0.00,16
12852,0.00,0.00,16
12877,0.00,0.00,16
