Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
2833,0.00,0.00,16,0,0.0
2865,0.00,0.00,16,0,0.0
2897,0.00,0.00,16,0,0.0
2921,0.00,0.00,16,0,0.0
2953,0.00,0.00,16,0,0.0
2986,0.00,0.00,16,0,0.0
3010,0.00,0.00,16,0,0.0
3042,0.00,0.00,16,0,0.0
3074,0.00,0.00,16,0,0.0
3098,0.00,0.00,16,0,0.0
3130,0.00,0.00,16,0,0.0
3163,0.00,0.00,16,0,0.0
3187,0.00,0.00,16,0,0.0
3221,0.00,0.00,16,0,0.0
3245,0.00,0.00,16,0,0.0
3277,0.00,0.00,16,0,0.0
3311,0.00,0.00,16,0,0.0
3335,0.00,0.00,16,0,0.0
3367,0.00,0.00,16,0,0.0
3399,0.00,0.00,16,0,0.0
3423,0.00,0.00,16,0,0.0
3455,0.00,0.00,16,0,0.0
3487,0.00,0.00,16,0,0.0
3511,0.00,0.00,16,0,0.0
3544,0.00,0.00,16,0,0.0
3576,0.00,0.00,16,0,0.0
3600,0.00,0.00,16,0,0.0
3632,0.00,0.00,16,0,0.0
3664,0.00,0.00,16,0,0.0
3696,0.00,0.00,16,0,0.0
3720,0.00,0.00,16,0,0.0
3752,0.00,0.00,16,0,0.0
3784,0.00,0.00,16,0,0.0
3811,0.00,0.00,16,0,0.0
3843,0.00,0.00,16,0,0.0
3868,0.00,0.00,16,0,0.0
3900,0.00,0.00,16,0,0.0
3931,0.00,0.00,16,0,0.0
3956,0.00,0.00,16,0,0.0
3987,0.00,0.00,16,0,0.0
4019,0.00,0.00,16,0,0.0
4044,0.00,0.00,16,0,0.0
4076,0.00,0.00,16,0,0.0
6092,0.00,0.00,16,0,0.0
6589,0.00,0.00,16,0,0.0
6617,0.00,0.00,16,0,0.0
6645,0.00,0.00,16,0,0.0
6670,0.00,0.00,16,0,0.0
6702,0.00,0.00,16,0,0.0
6731,0.00,0.00,16,0,0.0
6763,0.00,0.00,16,0,0.0
6787,0.00,0.00,16,0,0.0
6819,0.00,0.00,16,0,0.0
6851,0.00,0.00,16,0,0.0
6883,0.00,0.00,16,0,0.0
6907,0.00,0.00,16,0,0.0
6939,0.00,0.00,16,0,0.0
6971,0.00,0.00,16,0,0.0
7000,0.00,0.00,16,0,0.0
7024,0.00,0.00,16,0,0.0
7056,0.00,0.00,16,0,0.0
7088,0.00,0.00,16,0,0.0
7114,0.00,0.00,16,0,0.0
7146,0.00,0.00,16,0,0.0
7178,0.00,0.00,16,0,0.0
